,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,33.4,25.0,31.0,43.4,55.0,65.2,69.4,67.8,58.3,53.2,42.7,29.8,Connecticut
1,1951,29.6,30.5,36.8,48.0,57.6,64.5,70.8,68.2,61.1,52.4,37.1,31.2,Connecticut
2,1952,29.2,29.4,34.9,49.4,54.6,67.5,73.7,69.2,62.2,48.6,41.3,32.3,Connecticut
3,1953,31.0,32.6,37.8,47.2,58.5,66.7,70.6,68.4,62.8,52.8,42.4,35.5,Connecticut
4,1954,23.6,33.8,36.8,48.0,54.5,66.1,69.1,66.2,59.9,55.3,40.3,30.7,Connecticut
5,1955,24.8,28.9,35.4,48.6,59.9,64.0,74.9,72.2,60.8,52.5,38.7,23.3,Connecticut
6,1956,27.0,30.1,30.9,42.4,53.3,66.8,68.3,68.2,58.1,51.1,41.4,33.8,Connecticut
7,1957,20.6,31.2,36.9,48.6,57.3,69.0,70.2,66.0,62.2,49.9,43.5,35.2,Connecticut
8,1958,26.0,22.2,36.2,47.1,53.6,60.9,70.4,68.5,60.8,49.1,42.2,22.5,Connecticut
9,1959,25.2,24.7,34.5,48.2,60.0,64.7,71.3,71.6,64.9,52.8,41.0,31.7,Connecticut
10,1960,26.6,31.9,28.6,49.1,57.8,65.8,68.6,68.9,61.1,50.6,42.6,24.0,Connecticut
11,1961,19.3,28.5,35.2,44.1,54.3,66.0,70.6,69.0,67.7,53.8,41.8,29.2,Connecticut
12,1962,25.7,24.0,35.5,47.0,56.9,66.2,66.9,67.1,58.6,50.5,37.6,25.0,Connecticut
13,1963,23.7,21.4,36.0,46.3,55.7,65.6,70.7,66.5,57.9,55.1,44.8,22.7,Connecticut
14,1964,27.2,25.2,36.7,45.2,59.4,64.6,70.8,64.9,61.0,49.2,42.0,29.8,Connecticut
15,1965,22.1,25.8,34.0,44.0,60.1,64.7,68.8,68.5,62.1,49.5,39.0,31.8,Connecticut
16,1966,25.1,27.5,36.5,43.1,53.5,66.5,71.7,69.4,59.8,49.4,43.3,29.6,Connecticut
17,1967,30.8,23.3,31.2,44.2,50.2,66.7,71.0,68.6,60.6,51.2,36.4,31.3,Connecticut
18,1968,20.8,22.9,37.4,49.6,54.9,64.3,71.8,68.7,63.0,53.6,39.3,26.6,Connecticut
19,1969,24.6,26.6,33.0,48.6,56.5,66.0,69.1,70.8,62.1,50.8,40.3,27.0,Connecticut
20,1970,17.5,27.2,33.2,45.7,57.9,64.8,71.3,70.5,62.6,52.9,42.5,26.9,Connecticut
21,1971,20.0,27.8,34.1,43.8,54.9,66.6,70.1,69.0,65.0,56.4,38.3,33.1,Connecticut
22,1972,27.8,24.6,33.5,42.1,57.5,63.2,71.4,68.0,62.6,47.0,37.8,31.8,Connecticut
23,1973,28.7,26.4,41.6,48.2,54.7,68.2,71.5,72.0,61.8,52.0,41.7,33.8,Connecticut
24,1974,27.8,25.6,36.2,48.7,54.6,64.5,70.6,69.5,60.7,46.5,41.9,32.2,Connecticut
25,1975,30.5,28.3,33.9,42.4,60.2,65.4,71.8,69.2,58.5,53.3,45.8,29.4,Connecticut
26,1976,21.2,32.6,37.8,50.0,55.8,68.7,69.2,68.2,59.8,47.6,36.3,23.8,Connecticut
27,1977,17.3,26.2,40.4,47.8,59.0,63.9,71.1,69.5,61.8,50.0,43.1,28.2,Connecticut
28,1978,23.3,20.0,32.3,44.9,56.2,65.2,68.9,70.0,58.8,49.5,40.7,30.9,Connecticut
29,1979,27.1,18.0,39.6,46.0,59.6,64.6,71.8,69.1,61.2,50.3,45.1,33.5,Connecticut
30,1980,27.5,24.0,34.6,47.8,59.0,63.4,72.0,71.6,63.4,48.8,37.8,25.3,Connecticut
31,1981,17.7,33.5,36.0,49.2,58.2,66.7,72.2,68.8,60.6,47.8,41.0,29.2,Connecticut
32,1982,17.8,28.0,34.8,44.1,58.8,62.6,71.0,66.6,61.7,50.1,44.2,35.6,Connecticut
33,1983,27.0,29.5,38.6,46.9,54.9,67.2,72.1,70.6,64.4,51.1,42.0,28.6,Connecticut
34,1984,22.5,34.3,31.0,46.1,55.3,67.7,69.6,71.2,58.8,54.2,41.0,35.7,Connecticut
35,1985,21.8,29.1,39.0,49.0,59.0,62.4,70.5,68.6,62.6,51.8,42.8,27.3,Connecticut
36,1986,27.4,25.7,37.4,48.9,59.1,64.4,70.2,67.0,60.2,51.0,38.3,32.3,Connecticut
37,1987,25.5,26.3,38.3,48.2,57.7,67.3,72.3,67.3,61.2,48.2,41.0,32.6,Connecticut
38,1988,22.4,28.2,37.1,45.6,57.6,65.4,73.1,72.4,60.4,46.6,42.0,29.1,Connecticut
39,1989,30.1,27.7,36.1,44.9,57.9,66.9,70.4,69.2,62.3,51.8,40.1,17.9,Connecticut
40,1990,34.3,32.6,38.6,47.2,54.6,66.5,71.5,70.5,61.3,55.9,43.5,36.3,Connecticut
41,1991,26.7,32.9,39.4,50.6,62.6,68.0,71.6,70.7,60.8,53.0,42.1,33.1,Connecticut
42,1992,28.3,29.8,33.6,44.3,56.6,64.3,68.4,67.1,61.2,48.1,39.7,30.8,Connecticut
43,1993,29.3,23.1,33.1,47.4,59.2,66.3,72.5,71.2,61.8,48.8,40.7,30.4,Connecticut
44,1994,18.7,22.8,35.2,48.9,56.0,68.8,75.0,68.4,61.5,50.7,45.2,35.1,Connecticut
45,1995,32.3,25.8,39.3,45.3,55.7,67.0,73.8,70.3,60.5,54.5,37.8,26.1,Connecticut
46,1996,25.2,27.4,33.4,46.5,55.8,67.1,69.4,69.8,62.3,50.3,37.4,35.9,Connecticut
47,1997,26.9,33.9,35.8,45.2,54.2,66.3,70.8,68.4,61.6,50.0,38.6,32.0,Connecticut
48,1998,33.1,35.2,39.3,48.6,61.0,65.2,71.2,71.6,64.2,51.8,41.3,36.6,Connecticut
49,1999,27.4,31.7,37.4,47.9,58.5,68.8,74.8,69.8,64.6,50.1,45.4,33.8,Connecticut
50,2000,24.6,31.3,41.9,46.1,57.9,66.0,67.8,67.9,61.2,51.1,40.5,26.1,Connecticut
51,2001,25.8,29.5,34.1,47.9,58.9,68.1,68.2,72.8,62.5,52.7,45.3,37.1,Connecticut
52,2002,33.3,34.1,38.6,50.1,55.1,65.5,72.8,71.9,64.8,49.6,40.0,29.8,Connecticut
53,2003,21.4,23.8,36.0,44.5,55.0,64.7,71.5,72.2,63.3,49.3,43.8,32.4,Connecticut
54,2004,18.7,28.5,38.0,48.0,59.9,65.0,70.0,69.6,63.8,50.9,41.9,30.8,Connecticut
55,2005,24.3,29.7,32.3,49.3,53.1,69.6,72.4,73.0,66.0,52.7,43.0,28.7,Connecticut
56,2006,33.7,29.5,36.7,49.0,57.2,67.1,74.1,69.8,61.2,51.0,46.3,38.0,Connecticut
57,2007,31.3,23.3,35.1,44.8,59.6,66.6,70.9,70.3,64.6,57.8,39.9,30.2,Connecticut
58,2008,29.7,29.8,36.5,49.6,55.1,68.6,73.3,67.8,63.3,50.0,40.5,32.2,Connecticut
59,2009,21.0,30.2,36.8,49.3,57.8,64.0,68.7,71.7,61.0,49.5,46.0,30.1,Connecticut
60,2010,27.0,29.8,43.0,52.0,60.9,68.9,75.1,71.0,65.6,52.8,41.9,28.2,Connecticut
61,2011,23.2,27.1,37.0,48.9,59.7,66.9,74.1,70.8,66.4,53.4,45.9,36.9,Connecticut
62,2012,31.7,35.0,45.8,49.7,61.6,66.4,74.1,72.0,63.3,54.7,39.4,35.9,Connecticut
63,2013,28.8,29.2,36.0,47.3,58.2,67.7,75.9,68.7,61.4,53.4,39.8,31.0,Connecticut
64,2014,23.6,25.0,30.6,46.7,58.3,66.8,71.9,68.4,63.6,54.1,39.7,35.4,Connecticut
65,2015,23.3,15.8,31.0,47.0,62.7,65.3,72.2,72.0,67.8,51.4,46.1,43.5,Connecticut
