,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,-2.3,23.9,24.4,36.9,46.5,55.8,62.6,61.5,52.7,45.1,26.1,24.6,Montana
1,1951,13.3,20.4,18.4,37.5,50.9,52.4,65.4,61.4,50.1,39.4,27.9,12.1,Montana
2,1952,11.8,21.8,22.7,45.6,51.5,59.0,63.3,63.8,57.5,44.6,27.7,23.8,Montana
3,1953,27.4,26.5,32.2,35.6,46.3,56.9,66.2,64.8,56.4,47.8,36.1,26.9,Montana
4,1954,10.8,33.4,23.4,37.3,49.1,54.6,67.7,62.6,53.4,41.7,38.1,26.4,Montana
5,1955,18.7,16.5,21.5,39.1,48.4,56.9,65.1,66.2,52.9,45.4,17.6,15.9,Montana
6,1956,14.9,16.6,29.1,38.0,51.2,61.5,65.1,62.1,54.9,43.8,30.5,24.9,Montana
7,1957,5.4,19.9,29.7,38.6,52.2,57.8,67.4,63.8,54.2,40.0,29.7,29.8,Montana
8,1958,27.0,22.2,26.8,40.2,57.2,56.7,61.9,67.1,54.8,45.3,29.0,22.9,Montana
9,1959,16.5,13.6,32.9,39.9,46.2,60.4,65.9,63.3,52.0,40.3,24.5,27.6,Montana
10,1960,15.8,18.3,27.2,39.9,49.6,58.4,69.8,62.6,55.5,44.8,29.6,22.2,Montana
11,1961,24.2,30.7,34.7,37.5,51.1,64.9,67.4,69.1,48.1,42.1,27.0,16.9,Montana
12,1962,15.0,19.8,24.5,44.3,49.2,58.7,62.4,62.8,53.2,46.3,35.0,27.1,Montana
13,1963,8.4,29.6,34.9,39.8,50.1,58.3,65.6,65.3,60.0,49.5,32.6,18.8,Montana
14,1964,22.6,26.2,25.3,40.0,50.7,57.4,67.6,61.2,50.7,45.6,27.4,11.7,Montana
15,1965,18.8,20.7,17.6,40.3,47.9,56.8,65.0,63.1,43.6,47.9,30.7,24.3,Montana
16,1966,12.3,19.4,32.2,37.3,52.4,57.0,67.8,62.4,58.8,43.5,27.1,22.4,Montana
17,1967,22.5,25.7,26.4,35.4,47.6,56.4,66.3,66.4,59.2,44.6,30.2,17.6,Montana
18,1968,16.5,25.7,36.7,38.0,47.2,56.5,65.0,60.8,53.8,43.2,30.8,13.9,Montana
19,1969,3.4,16.9,24.0,45.1,51.9,55.5,63.6,67.0,56.9,36.4,33.7,24.4,Montana
20,1970,14.6,26.5,25.9,35.1,50.3,61.6,67.0,66.6,51.0,39.8,27.9,18.0,Montana
21,1971,14.2,22.7,28.3,40.5,50.8,58.1,63.2,70.0,51.1,40.6,31.1,14.3,Montana
22,1972,10.6,19.9,33.9,39.5,50.2,60.6,61.1,65.6,50.3,40.0,30.1,13.7,Montana
23,1973,19.4,24.6,34.5,37.8,50.2,59.0,65.3,66.2,53.0,45.0,24.5,23.9,Montana
24,1974,16.1,28.5,30.3,42.9,46.1,61.4,67.6,60.0,52.2,45.8,32.1,25.6,Montana
25,1975,19.4,15.0,25.4,32.5,47.4,55.8,68.2,60.8,53.2,42.2,28.0,24.1,Montana
26,1976,21.2,28.2,27.8,42.4,52.7,56.5,66.4,64.1,56.7,41.6,29.7,24.9,Montana
27,1977,12.6,30.8,31.4,45.0,51.7,62.1,65.0,60.4,53.1,43.9,26.6,16.5,Montana
28,1978,10.0,16.3,30.8,41.6,49.2,58.6,63.5,62.0,55.4,44.6,22.0,12.6,Montana
29,1979,2.1,14.4,29.9,37.6,48.5,59.3,65.9,64.6,58.5,46.0,26.9,28.3,Montana
30,1980,12.6,23.7,28.3,46.1,53.6,58.9,66.1,59.8,54.7,44.1,33.7,23.8,Montana
31,1981,28.3,26.5,36.0,43.7,50.7,55.7,65.2,66.6,56.5,41.7,34.8,21.8,Montana
32,1982,8.0,18.3,28.5,36.6,47.3,57.3,63.9,65.1,52.7,42.3,25.9,22.0,Montana
33,1983,26.6,30.9,33.6,38.7,48.2,57.6,65.2,69.7,52.1,44.7,31.4,3.4,Montana
34,1984,23.6,31.3,31.9,40.7,49.5,57.8,67.2,67.8,49.1,38.5,30.0,12.7,Montana
35,1985,14.8,17.1,30.2,44.6,54.4,57.9,69.2,60.9,47.8,41.1,13.0,18.7,Montana
36,1986,28.3,19.3,40.0,40.6,50.8,63.5,62.6,65.2,48.9,44.8,26.7,25.1,Montana
37,1987,24.2,29.8,33.0,48.0,54.7,61.9,64.4,60.0,56.5,43.9,34.7,24.1,Montana
38,1988,17.4,24.4,33.6,44.1,54.7,67.9,67.9,65.2,53.8,46.7,30.6,23.1,Montana
39,1989,21.4,9.4,26.7,41.0,49.9,58.8,68.8,63.1,54.3,43.1,33.0,20.2,Montana
40,1990,25.6,23.8,33.4,42.3,48.8,58.9,65.6,66.1,60.3,42.6,33.1,13.2,Montana
41,1991,15.6,33.9,32.1,40.6,49.8,58.2,66.3,68.6,55.6,40.4,27.2,27.0,Montana
42,1992,28.0,32.3,38.7,43.8,53.5,60.9,59.9,61.4,53.4,44.7,29.7,15.4,Montana
43,1993,12.2,15.1,34.4,41.5,53.7,55.8,57.2,59.7,51.6,43.0,25.2,26.3,Montana
44,1994,20.8,15.2,35.9,42.6,53.6,59.3,65.9,66.6,58.6,42.5,27.5,23.9,Montana
45,1995,22.4,27.8,29.9,38.0,48.4,57.9,64.1,64.4,54.5,41.3,31.4,20.8,Montana
46,1996,11.3,23.1,24.2,41.7,45.9,60.5,66.0,66.5,52.6,41.8,22.3,15.0,Montana
47,1997,14.3,26.0,31.8,36.0,51.0,60.6,64.4,64.8,58.1,43.4,30.4,25.8,Montana
48,1998,19.0,30.4,28.9,43.7,52.7,54.4,69.1,68.1,61.4,44.2,33.1,21.2,Montana
49,1999,22.2,30.2,35.2,40.0,48.7,57.0,64.0,66.4,51.6,44.7,39.0,29.5,Montana
50,2000,22.1,26.9,35.5,43.2,51.5,58.0,68.4,66.8,54.4,43.5,22.1,15.8,Montana
51,2001,24.6,16.5,33.8,41.1,53.3,58.4,67.1,68.9,58.7,42.7,36.3,22.4,Montana
52,2002,22.7,26.4,19.8,37.6,47.5,59.5,69.6,61.3,55.7,36.6,33.8,26.8,Montana
53,2003,24.7,21.4,29.8,44.1,50.1,58.4,70.3,70.0,54.6,47.5,24.0,25.1,Montana
54,2004,17.0,24.1,37.5,44.3,48.1,56.1,66.1,62.4,54.1,43.1,33.6,27.4,Montana
55,2005,18.1,28.9,34.6,42.7,49.0,57.7,67.6,63.9,55.4,45.1,33.2,20.5,Montana
56,2006,31.4,23.4,30.6,44.9,52.9,61.6,71.2,65.5,54.8,40.4,30.3,25.5,Montana
57,2007,21.8,22.0,38.9,40.9,52.1,60.7,73.3,65.8,55.0,44.6,31.6,21.6,Montana
58,2008,18.1,24.2,31.2,37.6,49.6,56.7,66.5,65.6,53.6,43.7,35.8,14.0,Montana
59,2009,21.1,25.1,28.3,39.8,50.5,56.6,64.6,63.4,60.7,36.4,35.2,12.0,Montana
60,2010,20.6,21.1,36.2,41.6,46.3,57.5,64.3,63.8,54.1,47.6,26.6,19.0,Montana
61,2011,19.1,16.4,28.6,37.7,47.1,56.3,66.6,66.8,58.3,45.9,30.0,26.2,Montana
62,2012,25.1,24.9,39.4,44.8,49.5,60.2,70.7,66.7,58.2,41.0,32.4,21.5,Montana
63,2013,21.7,27.4,30.5,36.9,51.9,59.0,67.5,67.3,58.8,40.8,30.4,16.4,Montana
64,2014,24.5,14.7,29.4,41.0,51.1,56.5,67.6,64.8,55.1,47.9,25.3,25.0,Montana
65,2015,24.7,26.9,39.5,42.8,49.6,63.8,66.2,65.9,57.3,48.0,30.0,23.6,Montana
66,2016,23.4,33.6,37.4,45.0,51.0,62.4,65.9,64.4,54.8,44.3,39.1,14.2,Montana
67,2017,15.2,25.4,35.8,42.1,52.3,60.6,71.6,65.5,55.2,42.6,30.7,21.1,Montana
68,2018,21.7,11.4,28.3,37.9,55.7,59.2,66.8,64.5,53.0,41.6,30.2,25.0,Montana
69,2019,24.7,5.1,25.2,41.9,47.7,58.6,65.0,64.8,55.0,35.4,29.3,25.8,Montana
70,2020,23.4,25.6,31.6,38.3,50.6,59.3,65.6,67.4,57.0,39.3,32.8,28.5,Montana
71,2021,26.7,13.7,36.1,40.4,48.6,65.3,72.5,64.7,58.3,45.6,36.3,19.3,Montana
