,State,date,January,February,March,April,May,June,July,August,September,October,November,December
0,Kentucky,1950,43.9,38.9,42.1,51.2,66.1,71.4,72.7,71.1,66.0,61.0,39.4,30.4
1,Kentucky,1951,36.0,36.8,43.8,52.5,64.6,72.6,76.1,75.0,66.8,58.3,39.0,38.2
2,Kentucky,1952,40.0,40.2,44.3,54.8,65.0,78.4,78.9,75.7,67.1,50.9,45.0,38.2
3,Kentucky,1953,39.8,40.3,47.7,52.6,68.0,76.4,76.8,75.4,69.1,59.2,44.3,35.5
4,Kentucky,1954,35.3,43.6,43.6,61.0,59.8,74.5,78.7,76.8,72.0,58.1,43.9,35.6
5,Kentucky,1955,32.9,37.2,47.0,59.6,66.6,67.5,78.8,77.2,71.7,56.6,42.6,33.8
6,Kentucky,1956,31.1,41.4,45.0,52.9,65.9,72.2,75.7,74.4,65.9,60.3,44.0,44.3
7,Kentucky,1957,31.9,42.1,43.8,58.6,65.6,73.8,75.8,74.0,69.0,53.0,45.0,40.5
8,Kentucky,1958,30.7,26.6,39.3,54.9,64.1,70.3,76.3,73.8,67.8,55.5,47.1,30.0
9,Kentucky,1959,31.6,38.0,43.1,55.8,68.3,71.6,75.9,76.9,70.2,57.9,42.0,38.7
10,Kentucky,1960,35.8,32.5,30.7,58.0,61.6,71.3,74.3,76.1,70.2,58.1,45.2,29.8
11,Kentucky,1961,28.7,40.8,48.2,49.7,59.8,69.5,74.4,73.4,70.6,56.8,45.8,36.0
12,Kentucky,1962,30.8,40.3,41.6,51.8,71.0,71.9,74.8,74.7,65.2,58.9,43.8,31.0
13,Kentucky,1963,26.4,29.3,49.5,57.5,62.9,71.9,73.7,72.8,66.4,61.5,46.4,25.7
14,Kentucky,1964,34.0,32.9,45.1,58.5,66.2,73.6,75.4,74.1,67.7,53.1,48.6,37.9
15,Kentucky,1965,34.7,35.3,39.3,57.6,68.8,71.6,74.4,74.0,69.4,54.4,47.6,39.8
16,Kentucky,1966,27.5,35.0,46.0,53.4,61.8,71.0,77.9,72.7,65.5,52.8,46.2,35.5
17,Kentucky,1967,37.2,32.0,49.9,59.0,61.2,71.7,71.8,70.0,63.7,55.8,41.2,39.2
18,Kentucky,1968,29.8,28.5,45.2,56.0,62.4,72.0,75.3,75.6,67.0,56.2,45.8,34.1
19,Kentucky,1969,31.7,35.6,37.9,56.8,64.7,72.5,77.7,73.5,66.6,56.3,41.7,31.8
20,Kentucky,1970,26.2,33.4,42.0,57.5,66.4,71.3,74.4,74.7,72.6,57.9,44.6,39.5
21,Kentucky,1971,30.9,34.9,41.1,54.0,60.1,74.5,73.4,72.3,70.5,63.0,45.7,44.8
22,Kentucky,1972,35.6,34.8,44.1,55.3,63.9,68.4,74.4,73.8,70.7,54.1,43.2,38.6
23,Kentucky,1973,33.4,35.3,52.8,53.3,60.1,73.4,75.8,74.3,71.2,60.6,48.3,36.6
24,Kentucky,1974,40.2,38.2,49.8,56.2,64.6,67.8,74.8,73.2,63.3,54.0,46.2,37.1
25,Kentucky,1975,37.7,39.0,41.8,52.3,66.9,72.3,74.9,76.6,64.2,57.8,48.5,37.3
26,Kentucky,1976,30.0,44.0,51.0,55.2,60.0,70.8,73.4,71.2,64.6,50.4,37.5,31.8
27,Kentucky,1977,17.7,33.9,49.9,58.8,67.8,71.5,77.7,74.8,70.5,53.2,47.9,33.8
28,Kentucky,1978,22.5,23.2,41.1,56.8,62.1,72.6,76.1,74.8,71.1,53.9,48.8,37.4
29,Kentucky,1979,24.9,28.0,47.4,54.3,62.3,70.8,73.6,73.9,66.7,55.6,45.7,37.9
30,Kentucky,1980,34.4,29.4,41.2,53.1,63.9,71.0,78.7,78.5,71.1,53.8,43.7,36.8
31,Kentucky,1981,28.4,36.7,42.6,60.3,60.4,73.8,76.4,73.3,65.6,55.0,46.4,33.2
32,Kentucky,1982,28.7,35.6,47.8,51.0,68.4,68.9,76.4,72.2,65.7,57.4,47.8,43.9
33,Kentucky,1983,33.7,37.7,46.0,50.3,61.0,71.3,78.1,79.3,69.0,58.4,46.7,29.1
34,Kentucky,1984,28.3,40.8,41.1,53.6,60.9,74.8,73.4,74.5,66.0,62.6,43.0,44.9
35,Kentucky,1985,25.0,31.9,48.7,58.9,65.2,70.9,75.4,73.1,67.3,60.6,53.0,30.4
36,Kentucky,1986,33.0,39.9,46.8,57.7,65.9,73.8,78.8,72.5,70.8,58.2,45.8,36.2
37,Kentucky,1987,32.5,38.7,47.8,53.4,69.5,74.3,76.8,76.7,68.5,51.0,49.3,39.2
38,Kentucky,1988,30.2,34.8,45.4,54.8,63.6,72.4,77.4,77.6,67.7,50.0,46.7,37.0
39,Kentucky,1989,40.3,33.8,47.9,54.5,60.6,71.4,75.5,73.9,66.9,56.7,45.7,24.9
40,Kentucky,1990,41.6,44.6,49.4,53.9,62.0,72.2,75.4,73.7,69.0,56.0,49.8,40.2
41,Kentucky,1991,34.3,39.5,48.3,58.8,70.0,74.0,77.4,75.0,68.7,58.4,43.8,40.3
42,Kentucky,1992,35.6,42.2,45.7,55.6,61.9,68.8,75.9,70.7,67.0,55.0,46.1,36.5
43,Kentucky,1993,37.7,34.3,42.2,53.1,64.3,71.8,79.3,76.0,66.5,54.5,44.4,35.9
44,Kentucky,1994,27.0,37.8,44.8,58.0,60.0,74.6,75.6,72.7,65.4,57.0,50.7,41.1
45,Kentucky,1995,35.0,35.0,48.4,56.1,63.6,72.0,76.8,79.3,66.5,57.2,40.6,33.9
46,Kentucky,1996,32.4,36.4,40.0,52.5,66.5,72.4,73.8,74.3,66.2,57.0,41.0,40.3
47,Kentucky,1997,32.5,41.9,48.5,50.2,59.0,70.1,76.3,73.0,67.2,56.2,42.2,36.6
48,Kentucky,1998,40.8,42.4,46.5,54.5,67.9,73.5,76.0,75.4,73.0,59.2,48.3,40.7
49,Kentucky,1999,37.5,41.4,41.7,58.4,64.9,73.5,79.5,75.3,68.1,56.8,51.3,38.7
50,Kentucky,2000,33.8,43.1,50.1,53.9,67.0,73.1,74.5,74.8,67.2,59.6,44.2,26.7
51,Kentucky,2001,31.8,41.3,41.4,59.9,66.2,71.0,75.7,76.4,66.3,56.1,51.2,41.8
52,Kentucky,2002,37.9,38.8,45.6,58.6,62.1,74.3,78.3,77.2,71.7,57.4,43.6,36.5
53,Kentucky,2003,28.4,33.6,48.8,57.7,64.2,68.7,75.2,75.9,66.2,56.7,50.5,37.0
54,Kentucky,2004,32.5,36.9,49.3,55.8,69.2,72.1,74.3,71.2,68.7,60.0,50.5,36.4
55,Kentucky,2005,39.0,40.9,42.6,57.0,61.7,73.9,77.4,78.0,71.5,57.9,48.2,33.3
56,Kentucky,2006,43.1,36.2,46.1,60.3,62.6,71.4,76.7,77.4,64.8,54.2,47.3,41.6
57,Kentucky,2007,38.0,29.8,53.3,53.5,67.8,73.7,74.6,80.9,71.9,62.4,46.0,40.7
58,Kentucky,2008,33.3,37.5,45.2,55.4,61.8,74.3,75.2,73.9,71.0,56.7,43.2,36.7
59,Kentucky,2009,30.2,38.9,48.1,55.8,64.8,73.9,71.8,73.6,69.0,53.8,49.2,35.6
60,Kentucky,2010,29.8,30.6,46.5,59.9,67.3,77.0,78.4,78.3,70.0,58.2,47.1,29.0
61,Kentucky,2011,30.2,39.1,47.9,58.8,64.2,74.2,79.5,75.8,66.9,55.6,49.9,41.0
62,Kentucky,2012,38.7,41.2,58.0,57.3,69.4,72.5,80.5,74.6,67.3,55.2,43.2,43.0
63,Kentucky,2013,36.7,36.8,39.4,55.2,64.9,72.9,74.0,73.7,69.1,57.6,42.8,37.4
64,Kentucky,2014,26.8,33.2,41.5,57.4,66.1,74.1,72.6,75.1,68.2,57.6,39.8,39.7
65,Kentucky,2015,32.2,26.3,44.5,57.4,67.3,74.2,76.5,72.8,70.2,57.8,50.9,48.7
66,Kentucky,2016,31.6,38.9,51.8,57.3,62.9,74.9,77.9,78.0,72.2,62.7,49.9,37.0
67,Kentucky,2017,40.9,46.2,47.9,61.5,65.0,71.7,76.9,73.1,68.3,59.4,47.1,35.8
68,Kentucky,2018,30.0,44.6,44.1,50.7,71.8,75.5,76.6,75.8,73.1,58.9,41.9,40.5
69,Kentucky,2019,35.1,42.3,43.1,57.8,68.4,71.9,77.4,75.6,74.8,60.0,41.2,42.1
70,Kentucky,2020,40.2,39.7,51.4,52.8,62.2,72.6,78.7,74.8,68.3,57.8,49.9,37.3
71,Kentucky,2021,35.7,32.3,50.5,54.5,62.4,73.4,75.8,76.7,68.9,62.4,43.4,47.6
0,Pennsylvania,1950,35.8,27.4,30.8,42.5,57.5,64.9,67.8,67.4,59.1,52.9,38.2,24.8
1,Pennsylvania,1951,28.4,28.9,36.1,46.5,58.4,66.1,70.3,67.8,61.1,53.0,33.8,29.7
2,Pennsylvania,1952,29.7,30.6,34.6,48.7,55.3,68.7,73.1,68.6,61.6,46.4,40.9,31.4
3,Pennsylvania,1953,31.4,31.8,37.8,45.5,60.6,67.4,70.8,68.4,61.9,52.4,40.4,33.0
4,Pennsylvania,1954,25.0,33.6,35.0,51.1,54.6,67.2,69.3,67.0,62.5,53.7,38.4,28.3
5,Pennsylvania,1955,24.0,27.3,37.2,51.5,60.2,63.5,74.9,72.5,61.5,52.2,36.4,24.8
6,Pennsylvania,1956,25.1,29.8,32.9,44.4,55.1,66.4,68.0,67.4,58.2,52.1,39.7,35.4
7,Pennsylvania,1957,21.9,31.4,36.1,49.3,58.1,68.8,69.6,66.6,62.2,47.9,40.3,32.9
8,Pennsylvania,1958,24.5,20.4,33.7,48.3,55.6,61.7,71.2,67.4,60.9,49.7,41.0,20.9
9,Pennsylvania,1959,23.4,27.0,34.1,48.6,61.1,66.7,71.1,71.9,65.0,52.8,37.6,31.7
10,Pennsylvania,1960,28.4,28.6,24.5,51.4,56.1,65.3,67.5,69.7,63.3,49.7,40.8,21.2
11,Pennsylvania,1961,19.5,28.9,37.1,42.5,54.0,65.2,70.1,69.2,67.1,52.8,40.6,28.4
12,Pennsylvania,1962,23.8,25.4,34.2,46.6,61.4,66.7,67.9,67.7,57.4,51.2,36.8,23.7
13,Pennsylvania,1963,20.7,18.4,37.5,47.3,55.5,65.9,69.6,65.5,57.9,54.9,42.7,22.2
14,Pennsylvania,1964,26.3,23.6,36.9,46.1,59.6,65.8,71.4,65.3,61.1,47.5,42.4,30.5
15,Pennsylvania,1965,22.9,26.2,32.1,44.2,61.6,64.5,68.0,67.6,63.7,48.0,39.5,33.1
16,Pennsylvania,1966,22.1,26.5,37.5,43.7,53.9,66.7,72.0,69.0,58.7,47.9,40.5,28.7
17,Pennsylvania,1967,30.5,22.6,34.4,47.9,50.7,68.5,68.6,66.7,58.8,49.4,35.1,31.0
18,Pennsylvania,1968,20.1,22.3,38.4,49.7,53.5,65.2,70.9,70.0,62.8,51.9,40.0,26.4
19,Pennsylvania,1969,24.1,26.7,32.7,49.2,58.4,66.6,70.1,68.5,61.4,49.6,38.0,25.1
20,Pennsylvania,1970,17.7,25.2,31.6,47.5,60.5,65.2,70.2,69.4,64.7,53.4,41.4,30.0
21,Pennsylvania,1971,21.1,27.4,32.5,44.3,54.5,68.0,68.5,67.0,65.1,56.4,38.7,35.0
22,Pennsylvania,1972,27.9,23.2,33.1,44.4,58.6,62.1,70.3,67.8,62.6,46.0,36.7,33.4
23,Pennsylvania,1973,28.3,25.5,42.8,47.6,54.1,68.4,70.7,70.5,62.6,53.0,41.7,31.1
24,Pennsylvania,1974,30.1,26.2,36.9,48.6,56.1,63.6,69.4,68.7,59.1,47.2,41.0,31.1
25,Pennsylvania,1975,29.2,28.8,33.7,41.5,61.1,66.4,70.4,69.8,57.9,53.3,45.0,29.7
26,Pennsylvania,1976,20.7,33.5,40.8,49.3,54.8,68.4,67.4,66.5,59.0,45.6,33.2,22.8
27,Pennsylvania,1977,12.7,26.1,41.2,49.7,60.9,63.3,71.3,68.7,63.4,48.5,42.1,26.8
28,Pennsylvania,1978,20.2,17.2,31.9,45.6,56.5,65.1,68.5,70.4,62.3,48.4,40.9,30.3
29,Pennsylvania,1979,22.5,16.4,39.4,46.1,57.2,64.1,69.0,68.1,61.3,49.6,43.2,32.7
30,Pennsylvania,1980,25.7,23.0,33.3,47.5,58.8,63.1,71.0,71.8,64.0,47.4,36.5,25.9
31,Pennsylvania,1981,19.2,30.7,34.0,49.9,57.2,66.6,70.3,67.5,60.2,47.3,39.2,27.9
32,Pennsylvania,1982,18.2,26.9,34.9,44.0,60.8,63.1,70.3,65.1,61.1,51.2,43.0,36.5
33,Pennsylvania,1983,27.2,29.8,38.7,45.2,54.9,66.2,71.4,71.3,62.4,51.1,41.0,25.2
34,Pennsylvania,1984,20.9,33.8,29.5,46.3,54.6,66.8,68.0,69.7,59.0,55.7,38.3,36.2
35,Pennsylvania,1985,21.2,27.1,38.3,51.2,59.2,62.8,68.9,68.0,63.1,52.1,44.4,25.7
36,Pennsylvania,1986,25.9,26.7,38.0,49.2,60.2,65.8,70.7,66.4,61.9,51.7,37.6,31.4
37,Pennsylvania,1987,24.9,26.8,39.0,48.8,59.4,68.3,72.9,68.2,61.7,46.0,41.7,32.8
38,Pennsylvania,1988,21.7,26.8,37.2,46.3,58.3,65.1,73.6,71.9,59.8,45.6,41.4,29.2
39,Pennsylvania,1989,30.9,27.1,36.7,44.6,55.7,67.0,70.5,68.0,61.7,51.5,38.5,17.4
40,Pennsylvania,1990,34.2,33.9,40.2,48.8,55.2,66.0,69.9,68.2,60.8,53.5,43.1,34.4
41,Pennsylvania,1991,26.6,32.4,39.4,50.0,64.4,68.4,72.0,70.7,60.9,51.9,39.3,32.7
42,Pennsylvania,1992,28.2,30.9,34.4,46.8,55.8,63.1,69.1,65.4,60.6,47.0,40.2,30.3
43,Pennsylvania,1993,30.4,23.5,32.8,47.4,58.7,65.8,72.3,70.2,60.6,48.5,39.8,28.8
44,Pennsylvania,1994,17.8,24.1,33.8,50.5,53.9,68.8,72.1,66.4,60.3,49.3,44.4,34.6
45,Pennsylvania,1995,29.8,23.9,39.7,45.0,56.4,67.6,72.1,72.4,60.4,53.8,35.4,25.1
46,Pennsylvania,1996,23.6,27.0,31.8,47.1,55.6,67.9,68.1,68.7,61.9,50.5,35.2,34.0
47,Pennsylvania,1997,25.1,33.0,37.6,44.6,52.7,65.9,69.5,66.8,60.4,50.5,37.4,32.1
48,Pennsylvania,1998,34.3,35.8,39.6,49.5,62.4,65.6,69.6,70.2,64.7,51.8,41.5,36.0
49,Pennsylvania,1999,27.0,31.7,34.2,48.6,59.3,67.3,74.0,68.5,62.8,49.3,44.8,32.4
50,Pennsylvania,2000,25.6,31.6,42.6,47.5,60.0,67.2,66.9,67.3,60.6,52.0,38.3,22.4
51,Pennsylvania,2001,26.1,31.5,33.3,49.2,58.6,66.8,67.8,71.7,60.4,51.7,45.8,36.4
52,Pennsylvania,2002,33.0,33.9,38.2,50.0,55.0,67.9,72.5,71.8,64.9,49.4,39.2,27.8
