,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,51.5,45.5,46.9,56.1,67.8,73.9,75.4,74.0,68.8,62.4,46.4,36.5,North_Carolina
1,1951,41.4,43.2,48.8,57.0,65.4,74.3,77.3,76.7,70.3,62.5,45.4,43.6,North_Carolina
2,1952,45.8,43.9,48.3,58.2,67.7,78.6,78.6,75.5,69.2,55.5,49.2,40.5,North_Carolina
3,1953,44.8,45.2,50.6,58.0,71.8,74.3,77.7,75.8,69.6,61.2,48.5,42.1,North_Carolina
4,1954,41.1,46.0,48.5,62.2,62.5,74.4,77.9,77.3,72.9,61.4,46.2,38.8,North_Carolina
5,1955,38.2,42.3,52.4,61.4,68.4,69.5,78.4,77.1,71.2,59.1,47.9,37.4,North_Carolina
6,1956,37.1,45.9,48.4,56.2,67.1,73.9,77.0,75.9,68.2,61.4,48.1,50.3,North_Carolina
7,1957,41.0,47.0,47.8,61.2,67.7,74.9,76.6,74.3,71.8,55.2,50.6,43.4,North_Carolina
8,1958,34.8,34.5,44.3,57.7,66.8,72.7,78.1,76.0,69.2,57.8,52.5,36.8,North_Carolina
9,1959,38.7,43.7,47.4,59.4,69.2,73.3,76.6,77.3,70.4,61.9,49.0,42.3,North_Carolina
10,1960,40.8,40.2,37.1,60.8,65.4,73.6,75.6,76.6,70.3,60.5,49.8,35.6,North_Carolina
11,1961,35.7,44.5,52.4,53.0,63.2,71.5,76.3,75.3,72.1,58.1,52.1,41.2,North_Carolina
12,1962,38.4,44.5,45.4,55.9,70.8,72.4,75.3,74.9,67.9,61.1,47.2,37.4,North_Carolina
13,1963,36.0,35.8,52.4,59.5,64.7,72.0,74.8,74.9,66.9,59.7,49.9,33.8,North_Carolina
14,1964,39.6,38.4,49.3,58.4,67.0,74.4,75.1,73.6,68.9,55.2,53.0,44.0,North_Carolina
15,1965,40.1,41.1,45.6,58.1,70.3,70.9,75.2,75.6,70.8,57.7,50.3,42.2,North_Carolina
16,1966,35.2,40.2,47.9,55.8,65.0,70.8,76.9,74.7,68.5,57.7,49.2,40.3,North_Carolina
17,1967,42.3,38.5,51.2,60.4,62.7,70.2,74.5,73.4,64.6,57.7,45.3,45.0,North_Carolina
18,1968,35.7,34.8,50.2,58.0,64.0,72.9,76.4,77.7,68.9,60.2,49.6,38.1,North_Carolina
19,1969,36.7,39.5,43.5,58.8,65.9,74.8,78.1,73.5,68.1,59.6,46.7,38.3,North_Carolina
20,1970,33.4,40.4,47.8,59.6,67.2,73.1,76.7,75.7,73.2,61.4,49.1,43.6,North_Carolina
21,1971,38.0,41.4,45.4,56.2,63.9,74.6,75.4,74.3,71.4,64.4,48.9,50.1,North_Carolina
22,1972,44.6,40.0,49.0,57.1,63.5,69.3,75.8,74.9,70.3,57.5,48.4,46.1,North_Carolina
23,1973,39.5,39.2,53.5,56.6,64.3,74.1,76.1,75.7,72.6,61.4,52.1,42.3,North_Carolina
24,1974,50.1,43.1,53.4,58.8,66.5,70.5,75.3,74.6,68.2,56.2,49.1,42.3,North_Carolina
25,1975,44.0,45.4,47.6,55.7,68.1,73.2,75.1,77.3,70.0,61.9,52.4,41.3,North_Carolina
26,1976,37.3,49.0,54.1,59.2,64.0,71.6,75.7,73.4,67.6,54.4,43.2,38.1,North_Carolina
27,1977,28.4,39.9,52.9,61.3,67.7,72.5,79.1,76.9,72.1,56.5,52.2,40.3,North_Carolina
28,1978,33.5,33.3,46.7,58.7,64.5,73.4,76.1,77.0,71.8,57.6,53.6,43.1,North_Carolina
29,1979,37.3,35.8,50.6,58.9,65.6,69.8,74.8,75.8,69.9,58.2,52.4,42.3,North_Carolina
30,1980,40.4,36.4,46.2,58.6,66.4,72.2,78.2,78.0,73.5,57.0,47.4,40.8,North_Carolina
31,1981,33.7,42.1,45.8,61.5,63.8,77.0,77.5,73.4,67.6,56.6,49.0,38.1,North_Carolina
32,1982,34.5,44.4,50.6,55.4,68.8,72.6,76.7,74.3,68.0,58.4,51.7,47.2,North_Carolina
33,1983,38.1,40.7,50.1,53.8,64.9,71.7,77.9,78.0,69.8,60.0,49.8,39.4,North_Carolina
34,1984,36.6,45.2,47.1,55.3,65.1,74.4,74.8,75.6,67.0,65.6,47.2,49.4,North_Carolina
35,1985,34.1,41.4,51.9,60.9,67.0,73.7,75.8,74.3,69.4,64.0,58.8,39.1,North_Carolina
36,1986,38.1,44.6,49.8,59.9,66.8,75.9,80.1,74.4,70.8,61.7,53.0,42.4,North_Carolina
37,1987,38.2,40.0,48.2,55.1,68.4,74.8,78.7,77.9,71.0,53.7,51.9,43.7,North_Carolina
38,1988,34.4,41.0,49.2,57.0,64.7,72.0,76.9,78.2,68.7,53.6,50.7,40.7,North_Carolina
39,1989,44.2,43.3,50.4,56.7,63.4,75.1,76.5,74.9,70.2,59.8,50.6,33.4,North_Carolina
40,1990,46.5,49.4,53.3,57.8,66.1,73.7,78.0,76.5,70.0,62.0,52.4,47.3,North_Carolina
41,1991,41.6,45.4,52.2,60.6,70.5,74.0,79.0,75.6,69.9,59.8,48.4,45.6,North_Carolina
42,1992,41.9,45.8,48.8,57.3,62.1,70.5,78.7,73.4,70.3,56.8,51.0,41.9,North_Carolina
43,1993,43.6,40.0,46.5,55.4,67.1,74.4,80.7,76.3,71.7,58.9,50.2,39.8,North_Carolina
44,1994,36.3,43.2,51.2,61.3,62.9,75.5,77.6,74.0,67.6,58.1,53.8,46.6,North_Carolina
45,1995,41.2,40.0,51.7,59.4,66.6,72.2,78.1,77.6,68.7,61.4,45.9,38.3,North_Carolina
46,1996,38.2,41.8,45.2,57.4,67.4,73.9,76.6,74.3,69.2,59.4,45.5,44.4,North_Carolina
47,1997,40.5,46.0,54.4,54.5,62.4,70.3,77.5,74.2,69.6,59.3,46.8,41.6,North_Carolina
48,1998,44.3,45.6,49.4,58.5,68.4,75.8,78.4,76.5,73.2,61.0,51.8,47.0,North_Carolina
49,1999,45.0,44.8,46.6,60.4,65.2,72.4,78.6,77.8,68.6,58.7,54.5,43.4,North_Carolina
50,2000,38.8,45.6,53.4,56.9,69.1,75.0,75.4,75.0,69.1,59.7,47.5,35.1,North_Carolina
51,2001,39.3,46.4,47.2,59.8,66.3,74.3,74.6,76.7,67.6,57.7,54.8,48.0,North_Carolina
52,2002,42.6,44.4,51.1,62.5,65.3,75.2,78.7,77.0,72.2,62.1,48.1,40.5,North_Carolina
53,2003,36.4,41.4,52.8,57.6,65.8,72.5,76.6,77.3,69.4,58.9,55.7,40.3,North_Carolina
54,2004,37.9,40.4,51.8,58.8,71.1,74.4,77.3,73.9,70.2,61.6,52.8,41.9,North_Carolina
55,2005,43.0,43.8,47.2,57.6,63.3,73.5,79.2,78.1,73.6,61.7,52.1,40.0,North_Carolina
56,2006,46.6,42.1,49.8,61.7,64.2,73.1,77.6,78.3,68.1,57.7,51.5,47.1,North_Carolina
57,2007,44.2,39.1,53.8,57.3,66.0,74.1,75.8,80.6,72.4,65.4,49.5,47.5,North_Carolina
58,2008,40.1,46.2,51.0,58.7,64.8,77.1,76.6,75.5,70.8,57.8,47.2,46.1,North_Carolina
59,2009,38.7,42.8,49.3,58.7,67.5,75.1,75.2,77.4,69.6,58.9,52.7,40.7,North_Carolina
60,2010,36.6,36.9,49.5,61.3,69.5,78.8,79.4,78.6,73.1,60.9,50.0,33.6,North_Carolina
61,2011,36.2,45.7,50.6,61.4,67.6,77.0,80.0,77.7,71.0,58.2,52.4,46.9,North_Carolina
62,2012,43.9,45.8,58.7,59.2,69.6,72.3,80.3,75.6,69.8,59.5,46.3,47.6,North_Carolina
63,2013,44.1,41.8,44.0,58.7,65.1,74.3,77.0,74.4,69.4,60.7,47.8,45.4,North_Carolina
64,2014,35.3,43.0,45.5,59.2,68.5,75.2,75.7,74.3,71.2,61.4,45.8,45.1,North_Carolina
65,2015,39.4,34.9,50.7,60.0,68.6,77.3,78.5,76.1,71.6,60.0,54.4,54.7,North_Carolina
66,2016,38.4,43.2,56.2,58.7,65.8,75.3,80.1,79.2,74.3,63.2,51.7,44.0,North_Carolina
