,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,38.3,45.1,47.5,58.5,68.5,77.0,76.4,75.8,70.0,66.3,46.2,37.8,Oklahoma
1,1951,37.4,42.5,47.7,57.2,67.8,74.9,81.9,84.0,72.3,61.7,42.9,39.8,Oklahoma
2,1952,43.8,45.5,46.6,56.4,68.2,82.4,82.2,84.4,73.8,58.5,46.9,38.0,Oklahoma
3,1953,42.3,43.9,53.8,56.4,68.4,84.7,80.4,79.0,75.1,63.3,48.4,39.2,Oklahoma
4,1954,37.5,50.6,47.4,65.4,63.6,79.0,88.1,85.6,78.6,63.9,50.5,41.4,Oklahoma
5,1955,38.4,40.2,49.9,64.0,70.4,73.9,83.6,80.8,75.4,61.8,46.2,38.3,Oklahoma
6,1956,35.8,41.0,50.7,58.2,73.2,79.7,83.8,84.5,76.7,66.1,46.6,42.4,Oklahoma
7,1957,33.8,46.1,46.6,56.9,66.5,75.3,84.3,81.3,70.0,57.7,45.5,44.4,Oklahoma
8,1958,38.2,36.4,40.5,56.8,69.8,78.0,80.6,80.2,73.8,61.6,50.8,37.1,Oklahoma
9,1959,33.8,40.6,49.2,58.8,70.7,76.8,78.2,80.9,73.1,58.4,43.1,43.0,Oklahoma
10,1960,35.9,35.0,39.8,62.0,66.5,77.4,79.2,79.7,74.4,63.3,50.3,36.7,Oklahoma
11,1961,35.0,43.0,51.0,57.7,67.2,74.1,78.9,77.5,70.2,61.7,45.8,36.5,Oklahoma
12,1962,31.7,45.2,46.9,57.8,73.9,74.8,81.2,81.3,71.4,64.2,48.6,40.2,Oklahoma
13,1963,29.2,40.9,53.0,63.9,70.6,78.7,83.4,82.4,74.8,69.6,50.8,32.1,Oklahoma
14,1964,39.4,37.9,47.2,63.0,70.4,77.0,84.6,80.8,72.2,59.6,50.7,38.2,Oklahoma
15,1965,40.0,39.7,39.7,63.7,70.0,76.0,82.6,79.6,72.8,61.0,54.1,45.1,Oklahoma
16,1966,32.0,37.9,51.7,57.9,67.4,76.7,84.6,76.5,69.5,59.2,52.6,36.9,Oklahoma
17,1967,40.1,40.4,55.5,64.2,65.7,76.6,78.0,77.2,69.0,61.4,47.1,38.7,Oklahoma
18,1968,36.6,37.6,49.9,58.7,65.5,76.2,79.3,79.7,70.3,62.0,45.8,36.6,Oklahoma
19,1969,38.2,41.8,41.1,60.4,68.6,75.2,84.6,80.5,73.0,58.1,47.8,39.8,Oklahoma
20,1970,31.8,42.8,44.3,59.6,70.0,76.4,81.8,82.8,74.0,58.0,46.2,43.3,Oklahoma
21,1971,36.4,39.0,48.4,60.0,67.0,78.9,80.9,76.8,72.3,63.3,49.1,41.9,Oklahoma
22,1972,35.7,42.6,53.7,62.7,67.4,77.7,79.5,79.6,75.0,60.4,41.9,34.0,Oklahoma
23,1973,33.3,39.9,51.8,55.2,66.3,75.7,80.2,79.6,71.2,63.8,52.0,39.2,Oklahoma
24,1974,34.4,44.6,54.6,60.8,72.0,74.5,83.1,77.6,64.7,62.0,48.2,38.5,Oklahoma
25,1975,39.3,36.6,45.5,58.6,68.1,75.6,79.2,80.0,68.6,62.4,49.3,40.8,Oklahoma
26,1976,37.5,50.5,51.7,60.6,63.2,74.7,79.1,79.9,71.0,54.8,42.6,37.9,Oklahoma
27,1977,27.9,44.8,52.1,61.5,70.8,79.6,83.5,80.3,76.0,62.2,50.1,39.8,Oklahoma
28,1978,26.3,29.0,47.2,62.4,67.3,77.2,85.6,81.1,76.8,62.1,49.6,37.1,Oklahoma
29,1979,24.1,32.8,50.2,58.1,65.8,75.4,80.7,78.8,72.0,64.4,44.8,41.5,Oklahoma
30,1980,37.2,37.8,46.6,57.3,67.4,80.3,87.4,85.2,76.2,59.9,48.3,42.0,Oklahoma
31,1981,38.2,43.0,50.6,65.3,65.4,78.6,83.3,78.4,73.0,60.3,50.2,39.1,Oklahoma
32,1982,34.5,36.7,51.3,56.6,68.0,72.6,81.2,82.8,73.2,60.9,48.1,41.5,Oklahoma
33,1983,37.0,41.0,47.4,53.2,64.7,73.0,81.9,84.6,74.6,62.4,50.4,25.7,Oklahoma
34,1984,33.2,44.7,46.5,55.9,67.6,78.6,81.2,81.5,71.1,60.6,48.7,43.2,Oklahoma
35,1985,31.0,36.4,52.8,61.8,69.4,75.8,81.1,81.2,73.2,60.9,46.8,34.4,Oklahoma
36,1986,42.1,43.9,54.2,62.0,68.2,77.6,84.2,78.6,73.9,60.1,44.9,39.5,Oklahoma
37,1987,35.6,44.8,48.8,59.6,71.2,76.3,79.4,81.2,70.9,58.7,49.6,39.0,Oklahoma
38,1988,32.6,39.6,48.3,57.6,68.4,77.6,81.0,82.0,72.3,58.5,50.1,41.8,Oklahoma
39,1989,41.8,32.5,50.2,61.6,68.3,73.0,78.8,78.2,68.1,62.7,50.6,31.0,Oklahoma
40,1990,43.4,44.7,50.7,58.2,66.4,80.4,79.7,80.2,75.5,59.5,53.4,35.8,Oklahoma
41,1991,33.6,47.1,52.7,61.2,71.2,77.5,81.6,79.5,70.2,62.1,44.0,42.6,Oklahoma
42,1992,40.5,47.8,52.9,59.9,65.8,72.9,79.6,74.4,71.4,62.0,45.6,39.2,Oklahoma
43,1993,35.1,38.5,47.6,55.9,66.1,76.1,83.4,82.1,69.6,57.5,43.9,41.6,Oklahoma
44,1994,35.9,38.2,51.9,59.7,66.7,80.1,79.6,79.2,70.9,62.1,50.0,42.3,Oklahoma
45,1995,39.0,45.1,50.0,57.3,64.6,73.6,81.1,82.0,70.6,61.2,49.0,39.2,Oklahoma
46,1996,35.4,43.4,45.0,58.6,73.0,77.5,80.8,77.5,69.1,60.7,45.7,41.1,Oklahoma
47,1997,36.6,42.7,52.2,54.2,65.6,74.4,81.5,78.1,74.0,61.3,45.9,38.3,Oklahoma
48,1998,40.4,44.8,46.3,57.0,72.0,79.9,85.9,82.6,79.6,63.6,52.4,40.6,Oklahoma
49,1999,39.7,49.2,48.7,60.1,67.2,75.1,82.2,83.2,70.3,61.6,56.1,42.7,Oklahoma
50,2000,40.3,48.0,52.8,58.5,70.5,74.0,81.0,85.3,75.3,63.8,43.3,30.9,Oklahoma
51,2001,35.8,41.2,46.7,63.6,69.0,76.8,85.6,82.8,70.9,60.3,54.0,42.7,Oklahoma
52,2002,40.0,41.2,46.8,61.4,66.5,77.2,80.6,81.1,74.0,56.6,47.2,40.4,Oklahoma
53,2003,37.2,38.3,49.7,60.9,68.7,73.3,83.3,82.7,69.0,62.8,50.3,42.2,Oklahoma
54,2004,39.1,39.1,55.1,59.9,70.8,74.9,78.0,76.0,73.6,63.5,50.3,41.5,Oklahoma
55,2005,39.7,45.3,50.3,59.6,67.5,77.4,80.3,80.6,76.4,62.2,52.5,38.3,Oklahoma
56,2006,46.8,41.0,53.3,65.9,70.6,77.9,83.9,84.1,69.3,60.7,50.8,41.6,Oklahoma
57,2007,35.1,39.3,58.3,55.5,68.9,74.9,78.7,82.6,74.1,64.1,50.9,38.2,Oklahoma
58,2008,38.3,41.2,50.8,57.8,68.5,78.2,81.7,79.1,70.1,60.1,50.2,38.6,Oklahoma
59,2009,37.5,47.2,52.1,58.3,66.0,79.1,80.8,78.9,70.1,54.8,53.6,34.6,Oklahoma
60,2010,35.2,35.7,49.0,61.5,68.2,81.0,81.9,83.9,75.0,62.3,50.4,39.5,Oklahoma
61,2011,35.0,39.4,52.4,62.1,67.7,83.4,89.2,87.7,71.1,61.8,50.0,39.9,Oklahoma
62,2012,42.7,43.8,59.6,64.3,72.6,79.0,85.9,81.5,74.4,59.6,52.2,42.2,Oklahoma
63,2013,39.7,41.1,47.5,54.7,67.0,78.1,79.6,80.3,75.8,60.4,46.6,35.2,Oklahoma
64,2014,36.0,36.1,46.3,59.4,68.9,77.3,77.8,80.7,73.3,64.6,44.4,41.8,Oklahoma
65,2015,37.7,37.8,51.1,61.4,66.1,78.4,82.1,79.3,76.6,63.4,51.4,44.6,Oklahoma
66,2016,38.2,47.4,54.7,61.4,66.2,79.2,83.2,80.8,75.3,67.1,55.4,38.8,Oklahoma
67,2017,40.9,50.5,56.2,61.4,66.9,77.3,82.5,77.3,73.3,62.0,52.9,40.5,Oklahoma
68,2018,36.6,41.0,53.0,54.2,75.1,80.6,82.7,79.9,73.9,60.1,44.5,40.8,Oklahoma
69,2019,38.3,40.3,47.3,60.4,67.0,75.4,80.8,82.4,79.7,57.4,46.2,43.2,Oklahoma
70,2020,42.2,41.8,55.5,57.9,67.2,78.8,82.6,79.4,70.3,58.3,53.5,41.0,Oklahoma
71,2021,39.8,31.3,53.9,57.5,65.9,77.4,79.9,81.3,76.7,64.4,51.2,50.4,Oklahoma
