,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,35.8,27.4,30.8,42.5,57.5,64.9,67.8,67.4,59.1,52.9,38.2,24.8,Pennsylvania
1,1951,28.4,28.9,36.1,46.5,58.4,66.1,70.3,67.8,61.1,53.0,33.8,29.7,Pennsylvania
2,1952,29.7,30.6,34.6,48.7,55.3,68.7,73.1,68.6,61.6,46.4,40.9,31.4,Pennsylvania
3,1953,31.4,31.8,37.8,45.5,60.6,67.4,70.8,68.4,61.9,52.4,40.4,33.0,Pennsylvania
4,1954,25.0,33.6,35.0,51.1,54.6,67.2,69.3,67.0,62.5,53.7,38.4,28.3,Pennsylvania
5,1955,24.0,27.3,37.2,51.5,60.2,63.5,74.9,72.5,61.5,52.2,36.4,24.8,Pennsylvania
6,1956,25.1,29.8,32.9,44.4,55.1,66.4,68.0,67.4,58.2,52.1,39.7,35.4,Pennsylvania
7,1957,21.9,31.4,36.1,49.3,58.1,68.8,69.6,66.6,62.2,47.9,40.3,32.9,Pennsylvania
8,1958,24.5,20.4,33.7,48.3,55.6,61.7,71.2,67.4,60.9,49.7,41.0,20.9,Pennsylvania
9,1959,23.4,27.0,34.1,48.6,61.1,66.7,71.1,71.9,65.0,52.8,37.6,31.7,Pennsylvania
10,1960,28.4,28.6,24.5,51.4,56.1,65.3,67.5,69.7,63.3,49.7,40.8,21.2,Pennsylvania
11,1961,19.5,28.9,37.1,42.5,54.0,65.2,70.1,69.2,67.1,52.8,40.6,28.4,Pennsylvania
12,1962,23.8,25.4,34.2,46.6,61.4,66.7,67.9,67.7,57.4,51.2,36.8,23.7,Pennsylvania
13,1963,20.7,18.4,37.5,47.3,55.5,65.9,69.6,65.5,57.9,54.9,42.7,22.2,Pennsylvania
14,1964,26.3,23.6,36.9,46.1,59.6,65.8,71.4,65.3,61.1,47.5,42.4,30.5,Pennsylvania
15,1965,22.9,26.2,32.1,44.2,61.6,64.5,68.0,67.6,63.7,48.0,39.5,33.1,Pennsylvania
16,1966,22.1,26.5,37.5,43.7,53.9,66.7,72.0,69.0,58.7,47.9,40.5,28.7,Pennsylvania
17,1967,30.5,22.6,34.4,47.9,50.7,68.5,68.6,66.7,58.8,49.4,35.1,31.0,Pennsylvania
18,1968,20.1,22.3,38.4,49.7,53.5,65.2,70.9,70.0,62.8,51.9,40.0,26.4,Pennsylvania
19,1969,24.1,26.7,32.7,49.2,58.4,66.6,70.1,68.5,61.4,49.6,38.0,25.1,Pennsylvania
20,1970,17.7,25.2,31.6,47.5,60.5,65.2,70.2,69.4,64.7,53.4,41.4,30.0,Pennsylvania
21,1971,21.1,27.4,32.5,44.3,54.5,68.0,68.5,67.0,65.1,56.4,38.7,35.0,Pennsylvania
