,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,18.1,11.6,21.8,37.0,52.0,60.2,64.8,62.2,51.1,44.6,37.3,23.3,Maine
1,1951,17.7,19.8,27.5,41.5,51.5,58.8,65.1,62.7,55.8,45.4,30.1,18.1,Maine
2,1952,15.6,19.0,27.6,40.4,48.9,61.7,70.0,64.6,56.1,42.1,33.0,22.8,Maine
3,1953,19.8,20.1,28.4,41.0,52.1,60.9,65.4,62.7,56.0,45.7,37.7,27.0,Maine
4,1954,10.6,23.4,26.1,38.0,48.8,59.6,63.0,60.9,53.2,46.9,33.9,21.2,Maine
5,1955,13.6,18.1,23.7,39.7,53.0,60.7,68.0,65.7,53.8,44.6,31.8,12.5,Maine
6,1956,21.7,16.9,20.1,36.6,45.2,59.6,61.9,60.6,51.4,45.1,33.1,19.8,Maine
7,1957,5.9,19.0,28.5,39.2,51.0,61.7,63.5,60.0,56.7,45.9,36.3,25.3,Maine
8,1958,20.2,13.4,31.9,40.9,48.1,55.0,63.8,62.6,55.0,42.2,32.7,9.6,Maine
9,1959,13.9,10.7,23.5,39.4,54.2,57.2,68.4,64.9,57.5,44.0,32.5,22.2,Maine
10,1960,15.2,23.2,23.0,38.0,55.4,61.1,64.2,63.8,55.8,42.5,35.5,17.0,Maine
11,1961,7.4,16.5,24.6,37.2,48.5,60.1,64.5,63.9,61.7,47.1,35.3,22.0,Maine
12,1962,12.6,9.9,29.6,38.0,49.2,60.5,60.7,62.4,52.8,43.5,30.5,18.4,Maine
13,1963,15.6,9.3,24.4,37.6,50.1,62.3,67.5,60.0,51.6,48.8,36.5,11.4,Maine
14,1964,17.7,17.2,26.5,37.5,53.0,59.4,65.7,58.6,52.1,43.2,31.6,18.7,Maine
15,1965,10.9,13.4,26.6,36.9,51.0,61.1,62.2,63.0,55.1,42.4,28.9,20.1,Maine
16,1966,17.0,17.2,28.8,37.2,48.6,60.7,64.4,63.2,52.5,44.2,36.5,22.6,Maine
17,1967,18.0,9.1,20.3,35.7,43.9,62.1,66.8,64.6,55.5,45.6,31.0,20.4,Maine
18,1968,8.9,11.1,27.9,41.9,49.1,57.9,66.4,60.3,57.8,47.8,29.4,18.5,Maine
19,1969,16.4,18.6,25.4,36.5,49.1,60.6,63.3,65.1,54.8,43.2,35.7,22.1,Maine
20,1970,7.7,16.4,26.2,38.1,51.1,60.5,67.6,65.0,54.8,47.1,34.7,12.0,Maine
21,1971,7.3,15.7,25.4,37.2,51.2,60.4,65.4,63.5,57.8,48.7,30.2,17.1,Maine
22,1972,13.7,12.9,21.4,34.7,51.2,60.0,65.1,61.7,55.7,40.6,29.9,15.3,Maine
23,1973,16.6,15.8,32.0,39.8,48.4,62.3,68.0,67.2,54.1,44.9,31.4,26.5,Maine
24,1974,14.0,14.6,24.8,38.2,45.7,60.4,64.5,64.2,53.7,39.4,32.9,22.8,Maine
25,1975,16.0,15.6,24.4,34.9,53.9,60.8,68.3,64.2,54.1,45.4,36.3,16.0,Maine
26,1976,9.3,19.0,25.7,40.5,50.8,63.8,64.0,63.5,54.4,41.6,29.5,12.2,Maine
27,1977,8.5,16.0,33.2,37.9,52.6,58.2,65.0,63.0,53.0,44.3,35.6,18.5,Maine
28,1978,12.9,12.7,23.0,36.2,53.6,60.3,65.4,64.1,51.2,42.7,30.6,18.9,Maine
29,1979,16.8,10.6,32.4,39.7,52.9,60.9,67.4,61.8,54.7,44.6,37.5,22.7,Maine
30,1980,16.3,14.5,25.6,40.8,51.0,58.4,65.1,65.5,53.1,41.4,30.7,12.1,Maine
31,1981,7.0,26.8,29.8,41.0,53.3,60.8,65.9,63.2,54.1,42.1,33.6,23.8,Maine
32,1982,5.4,14.0,25.2,36.3,52.0,57.8,65.5,60.2,55.8,44.9,35.8,25.3,Maine
33,1983,17.6,19.4,30.2,40.7,49.1,61.9,66.2,64.8,58.4,44.3,34.4,18.4,Maine
34,1984,10.9,25.4,20.9,39.9,49.7,60.1,66.4,66.6,53.3,45.7,34.3,23.0,Maine
