date,January,February,March,April,May,June,July,August,September,October,November,December
2012,48.3,50.6,63.2,64.2,72.7,74.8,82.8,78.0,73.6,63.7,50.7,51.5
2013,50.2,46.6,48.4,62.1,67.9,77.4,78.8,77.4,73.5,64.2,51.5,49.9
2014,39.7,48.2,50.0,63.3,71.7,78.4,79.2,78.3,74.3,65.0,49.3,49.2
2015,43.8,41.0,56.4,64.8,71.6,80.5,82.2,79.5,74.3,63.3,58.0,58.5
2016,43.0,48.0,60.6,63.1,70.1,79.8,83.7,81.9,77.1,66.4,55.6,49.0
2017,51.4,55.5,55.5,67.0,71.5,76.9,81.0,79.4,74.3,66.2,54.3,47.8
2018,40.6,57.4,52.0,60.0,73.8,80.2,80.2,80.0,79.4,66.9,51.9,48.6
2019,46.7,53.0,54.1,64.0,75.4,77.2,81.4,80.3,78.3,68.5,51.0,50.3
2020,50.3,50.9,60.4,62.1,68.0,76.1,81.9,80.1,73.3,67.4,59.3,45.6
2021,45.9,47.1,57.6,61.9,69.0,76.7,79.3,80.0,73.4,66.7,51.6,54.6
