date,January,February,March,April,May,June,July,August,September,October,November,December
1994,35.2,37.2,46.0,52.2,61.1,73.7,74.5,73.6,65.4,53.5,42.5,38.4
1995,35.7,44.0,45.7,49.5,58.7,67.4,72.6,73.7,65.0,55.3,46.7,37.5
1996,36.3,42.9,43.4,53.2,66.7,72.0,73.8,71.0,62.3,53.6,43.9,37.0
1997,32.9,36.9,47.4,48.5,61.4,68.5,72.9,71.6,67.9,53.7,41.8,31.3
1998,37.1,37.3,43.1,48.3,61.8,69.9,74.3,71.5,68.9,55.4,45.7,36.9
1999,39.3,42.6,46.9,50.3,59.8,68.3,72.4,71.1,64.4,55.0,47.7,34.2
2000,38.9,43.7,45.7,55.5,66.0,70.7,74.6,73.2,68.0,53.9,37.1,35.2
2001,31.8,39.3,44.4,54.2,63.1,71.5,75.2,71.5,66.7,56.8,45.7,34.7
2002,36.0,37.0,43.6,57.3,62.7,73.8,73.8,73.2,65.4,52.8,42.5,34.5
2003,40.2,38.6,45.1,52.9,63.2,69.2,76.8,73.5,66.0,58.9,44.6,36.8
2004,36.6,35.0,49.7,51.4,63.1,69.9,72.3,69.3,63.9,54.2,41.4,35.7
2005,39.9,40.1,43.1,51.7,61.6,69.8,75.0,70.8,67.3,55.2,45.3,36.8
2006,38.2,40.1,45.3,56.2,65.0,73.0,74.6,70.2,60.9,53.6,45.3,34.5
2007,30.8,39.2,47.6,51.6,60.0,69.8,73.3,73.7,67.0,56.5,46.1,35.0
2008,32.5,39.6,44.9,51.6,60.2,71.9,72.0,71.0,63.7,54.9,44.6,36.8
2009,37.8,41.8,47.2,51.7,63.6,69.0,74.8,72.2,63.9,52.5,45.2,31.6
2010,33.6,35.1,43.1,52.7,59.9,72.6,73.4,72.3,68.3,56.7,42.0,40.4
2011,33.8,35.0,49.2,55.6,59.6,73.1,76.6,76.0,66.3,55.3,43.5,31.4
2012,38.6,38.2,47.8,56.6,63.4,74.2,74.4,73.9,66.2,56.1,46.6,36.0
2013,32.0,36.1,46.6,52.6,61.6,74.1,73.0,72.3,66.0,52.6,42.7,34.5
2014,36.4,41.9,46.0,52.3,60.1,72.4,74.2,70.5,66.5,57.4,42.4,37.6
2015,35.6,41.4,47.6,52.5,58.3,71.6,73.1,73.4,69.0,57.5,43.4,35.9
2016,34.3,42.0,48.3,52.3,59.4,73.0,76.9,70.1,65.9,59.6,46.7,37.8
2017,37.2,44.5,51.2,53.7,60.1,72.8,74.6,70.8,66.4,56.4,50.2,38.7
2018,37.0,41.3,47.2,55.1,65.5,74.3,75.1,73.0,66.9,53.9,41.2,35.6
2019,35.6,38.1,45.6,53.9,58.1,69.4,75.5,75.3,69.0,52.2,43.5,37.2
2020,37.1,38.5,48.0,54.0,65.1,72.5,76.6,76.2,65.0,56.6,47.5,35.0
2021,35.0,37.2,44.9,53.2,62.7,73.1,73.3,72.1,68.3,55.5,47.7,42.0
