date,January,February,March,April,May,June,July,August,September,October,November,December
2012,20.0,21.0,40.6,45.8,55.0,65.5,74.1,67.4,58.2,41.2,27.5,13.3
2013,11.4,16.8,17.6,31.3,53.4,63.3,68.3,68.6,62.0,41.6,26.2,5.0
2014,8.5,5.6,22.7,38.2,53.7,62.5,66.8,67.0,57.8,46.5,20.2,18.2
2015,16.0,8.4,33.0,44.3,52.4,65.1,69.9,68.0,62.0,47.8,32.5,21.1
2016,14.6,25.6,36.3,41.8,56.6,66.0,69.3,68.0,58.6,46.1,39.3,10.2
2017,11.2,20.5,27.4,42.7,54.8,64.8,72.2,65.2,58.3,45.0,26.4,15.6
2018,11.8,5.4,24.7,33.3,60.2,67.4,69.3,67.6,55.0,39.1,22.9,20.8
2019,9.8,-2.7,20.6,41.8,49.6,64.0,69.3,65.5,58.3,37.6,26.1,16.1
2020,12.9,17.8,29.8,37.6,52.5,66.9,70.3,69.2,57.1,37.8,31.8,23.4
2021,21.1,5.8,35.8,40.6,52.7,69.3,73.8,68.9,62.2,48.6,32.6,14.1
