,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,12.7,30.1,36.0,42.2,49.3,57.6,64.0,64.5,58.2,45.4,36.3,35.6,Washington
1,1951,28.6,32.4,33.6,46.0,52.1,58.3,64.8,62.8,58.0,46.0,35.8,26.2,Washington
2,1952,24.4,32.4,36.7,46.5,52.6,56.2,64.5,63.5,59.7,51.6,33.2,32.3,Washington
3,1953,37.2,36.0,39.1,43.7,50.2,53.8,63.4,63.2,58.2,49.1,39.9,34.9,Washington
4,1954,26.9,34.9,35.4,42.2,52.1,53.9,61.2,60.0,56.1,45.3,41.8,31.4,Washington
5,1955,29.4,30.5,32.0,39.8,47.7,57.7,60.9,62.3,56.5,46.5,29.6,27.4,Washington
6,1956,29.0,25.0,35.3,47.0,54.9,55.3,65.6,63.4,57.0,45.3,33.9,31.8,Washington
7,1957,18.4,30.2,38.0,46.1,55.7,58.7,61.6,60.5,60.4,45.7,36.1,35.0,Washington
8,1958,33.9,40.5,38.2,44.3,58.2,62.6,68.6,67.4,56.5,48.5,35.2,34.1,Washington
9,1959,30.2,32.1,38.4,45.5,49.2,57.7,65.2,60.9,54.5,46.7,34.1,31.5,Washington
10,1960,25.2,33.4,37.8,44.8,49.2,57.9,67.5,61.1,56.9,48.3,36.3,29.4,Washington
11,1961,32.7,37.9,39.5,44.0,51.3,62.2,66.5,68.1,54.3,44.9,32.3,30.0,Washington
12,1962,27.6,34.4,35.9,47.1,48.3,56.9,62.8,61.5,58.0,47.5,39.2,34.6,Washington
13,1963,24.8,38.2,39.3,43.3,52.1,57.5,61.2,63.9,61.6,49.4,38.0,30.6,Washington
14,1964,32.1,33.6,36.5,42.4,49.6,56.4,62.9,59.9,54.4,47.5,35.0,26.8,Washington
15,1965,30.6,34.8,37.0,46.2,49.7,57.6,65.0,64.2,54.1,50.2,40.1,31.3,Washington
16,1966,30.3,34.4,38.4,45.4,52.6,55.8,61.9,63.3,60.0,46.6,39.0,35.4,Washington
17,1967,35.0,37.3,37.0,41.0,51.0,60.8,65.0,68.5,62.3,47.8,38.0,30.4,Washington
18,1968,30.8,37.9,41.6,42.7,51.7,57.4,65.8,61.0,57.1,45.0,37.5,27.6,Washington
19,1969,19.7,29.8,38.1,44.6,54.6,62.3,62.5,61.3,57.4,44.9,38.1,32.7,Washington
20,1970,29.1,37.1,38.4,41.2,51.4,61.5,65.2,64.1,53.2,45.1,36.4,28.9,Washington
21,1971,31.0,34.4,34.3,43.3,52.8,54.1,64.6,67.3,53.4,44.8,36.9,27.7,Washington
22,1972,26.6,32.2,40.0,40.9,53.6,57.7,63.2,65.4,53.0,45.7,38.0,26.9,Washington
23,1973,28.1,34.9,39.9,45.1,52.9,57.4,64.7,62.4,57.6,46.3,34.0,35.0,Washington
24,1974,27.1,35.8,38.2,44.6,48.3,59.7,62.4,64.3,59.8,47.8,38.6,34.2,Washington
25,1975,29.0,30.1,35.6,40.9,50.7,56.0,66.4,60.4,58.6,46.2,35.8,32.8,Washington
26,1976,32.2,33.6,35.3,43.8,51.3,54.5,62.7,60.7,59.7,47.1,37.9,32.3,Washington
27,1977,26.1,37.3,37.9,48.0,48.7,60.6,62.3,67.4,54.2,46.1,34.7,31.3,Washington
28,1978,31.5,36.0,41.3,44.8,49.8,60.1,64.6,62.6,55.1,47.6,31.8,25.8,Washington
29,1979,18.8,31.3,40.7,44.5,53.1,58.8,65.4,64.6,60.0,49.9,33.9,35.4,Washington
30,1980,23.8,33.9,37.9,47.9,52.0,55.1,63.5,60.5,57.1,48.0,38.4,34.6,Washington
