,date,January,February,March,April,May,June,July,August,September,October,November,December,State
55,2005,50.7,51.9,56.5,64.3,71.8,80.5,82.4,81.3,79.9,66.4,58.7,47.2,Utah
56,2006,52.9,50.2,61.1,70.7,75.7,80.8,83.4,83.6,74.1,66.8,57.9,48.2,Utah
57,2007,42.5,49.4,61.9,61.7,71.4,77.9,79.0,81.8,77.1,68.6,57.6,49.2,Utah
58,2008,46.1,53.2,58.4,65.3,74.3,82.9,81.7,80.8,73.3,65.4,56.8,48.2,Utah
59,2009,47.9,55.5,59.5,64.8,73.6,81.7,84.1,83.3,74.1,64.2,57.3,43.1,Utah
60,2010,44.4,44.0,54.8,65.0,73.8,82.7,81.4,84.4,77.7,67.2,56.6,49.2,Utah
61,2011,45.0,48.7,61.8,70.3,74.1,85.2,87.0,88.2,77.9,66.9,56.9,46.1,Utah
62,2012,50.4,51.8,63.2,70.2,75.5,82.4,83.4,83.7,76.6,65.9,59.0,51.1,Utah
63,2013,47.9,51.7,57.2,63.0,72.5,81.8,81.3,83.3,78.2,66.7,52.9,44.8,Utah
64,2014,44.5,48.4,54.8,65.4,72.0,80.6,81.7,82.6,76.4,69.6,51.5,50.7,Utah
65,2015,44.0,48.2,56.2,66.6,71.6,79.3,83.2,83.3,79.2,69.2,57.3,51.5,Utah
66,2016,46.4,54.4,61.2,66.1,71.6,80.1,85.4,81.5,77.6,70.9,61.0,49.6,Utah
67,2017,50.8,58.4,63.6,67.1,72.0,80.6,83.6,80.6,76.5,66.5,60.3,47.8,Utah
68,2018,43.8,52.3,61.7,63.0,78.0,83.9,84.5,83.0,76.2,65.4,51.9,48.3,Utah
69,2019,47.2,51.9,55.7,65.0,72.5,79.1,82.8,85.9,81.5,65.2,53.2,50.7,Utah
70,2020,50.7,49.4,63.2,65.1,74.6,80.7,85.2,84.4,74.1,65.9,60.6,48.5,Utah
71,2021,47.3,43.9,59.4,63.7,71.8,80.2,80.8,81.9,78.2,69.8,57.3,59.0,Utah
