date,January,February,March,April,May,June,July,August,September,October,November,December
2012,21.4,25.6,38.7,42.7,57.5,62.2,68.0,67.1,57.2,49.3,33.1,27.4
2013,18.6,21.5,29.5,40.8,55.1,62.0,69.7,64.1,56.5,47.8,31.8,21.4
2014,14.6,16.6,18.6,40.5,53.6,62.6,66.5,63.3,57.5,49.3,33.3,27.0
2015,12.2,5.3,22.3,39.5,58.6,59.9,66.2,66.6,62.4,44.3,39.2,35.1
2016,20.9,23.9,33.6,38.2,54.0,62.0,67.4,67.5,59.9,47.7,36.8,23.9
2017,24.8,25.6,23.5,45.2,51.8,61.5,65.2,63.3,60.8,53.0,33.0,17.9
2018,16.5,25.5,28.2,36.1,56.5,60.1,69.2,68.4,60.6,44.5,30.0,23.0
2019,14.9,19.0,25.9,41.2,50.8,60.5,68.9,64.6,56.8,47.3,29.3,23.3
2020,23.4,22.4,33.0,38.8,52.6,62.8,70.9,65.2,57.2,46.4,37.9,27.3
2021,20.4,18.8,30.9,43.1,53.4,65.7,64.8,68.7,59.3,51.6,34.2,28.1
