,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,43.9,38.9,42.1,51.2,66.1,71.4,72.7,71.1,66.0,61.0,39.4,30.4,Kentucky
1,1951,36.0,36.8,43.8,52.5,64.6,72.6,76.1,75.0,66.8,58.3,39.0,38.2,Kentucky
2,1952,40.0,40.2,44.3,54.8,65.0,78.4,78.9,75.7,67.1,50.9,45.0,38.2,Kentucky
3,1953,39.8,40.3,47.7,52.6,68.0,76.4,76.8,75.4,69.1,59.2,44.3,35.5,Kentucky
4,1954,35.3,43.6,43.6,61.0,59.8,74.5,78.7,76.8,72.0,58.1,43.9,35.6,Kentucky
5,1955,32.9,37.2,47.0,59.6,66.6,67.5,78.8,77.2,71.7,56.6,42.6,33.8,Kentucky
6,1956,31.1,41.4,45.0,52.9,65.9,72.2,75.7,74.4,65.9,60.3,44.0,44.3,Kentucky
7,1957,31.9,42.1,43.8,58.6,65.6,73.8,75.8,74.0,69.0,53.0,45.0,40.5,Kentucky
8,1958,30.7,26.6,39.3,54.9,64.1,70.3,76.3,73.8,67.8,55.5,47.1,30.0,Kentucky
9,1959,31.6,38.0,43.1,55.8,68.3,71.6,75.9,76.9,70.2,57.9,42.0,38.7,Kentucky
10,1960,35.8,32.5,30.7,58.0,61.6,71.3,74.3,76.1,70.2,58.1,45.2,29.8,Kentucky
11,1961,28.7,40.8,48.2,49.7,59.8,69.5,74.4,73.4,70.6,56.8,45.8,36.0,Kentucky
12,1962,30.8,40.3,41.6,51.8,71.0,71.9,74.8,74.7,65.2,58.9,43.8,31.0,Kentucky
13,1963,26.4,29.3,49.5,57.5,62.9,71.9,73.7,72.8,66.4,61.5,46.4,25.7,Kentucky
14,1964,34.0,32.9,45.1,58.5,66.2,73.6,75.4,74.1,67.7,53.1,48.6,37.9,Kentucky
15,1965,34.7,35.3,39.3,57.6,68.8,71.6,74.4,74.0,69.4,54.4,47.6,39.8,Kentucky
16,1966,27.5,35.0,46.0,53.4,61.8,71.0,77.9,72.7,65.5,52.8,46.2,35.5,Kentucky
17,1967,37.2,32.0,49.9,59.0,61.2,71.7,71.8,70.0,63.7,55.8,41.2,39.2,Kentucky
18,1968,29.8,28.5,45.2,56.0,62.4,72.0,75.3,75.6,67.0,56.2,45.8,34.1,Kentucky
19,1969,31.7,35.6,37.9,56.8,64.7,72.5,77.7,73.5,66.6,56.3,41.7,31.8,Kentucky
20,1970,26.2,33.4,42.0,57.5,66.4,71.3,74.4,74.7,72.6,57.9,44.6,39.5,Kentucky
