,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
51,51,2001,0.82,0.87,0.46,3.84,2.48,3.2,3.8,0.7,1.8,0.96,1.19,0.06,South_Dakota
52,52,2002,0.28,0.18,0.95,1.29,1.64,1.55,1.79,3.27,1.59,1.46,0.06,0.24,South_Dakota
53,53,2003,0.45,0.63,0.94,2.28,2.79,3.61,1.63,1.12,1.81,0.84,0.74,0.29,South_Dakota
54,54,2004,0.33,0.46,1.61,0.88,3.7,2.64,2.86,1.78,3.88,2.2,0.36,0.09,South_Dakota
55,55,2005,0.37,0.39,0.69,2.07,3.7,5.04,1.66,1.93,2.14,0.9,1.07,0.74,South_Dakota
56,56,2006,0.3,0.29,1.35,2.36,1.2,1.77,0.75,3.05,3.4,0.38,0.35,0.73,South_Dakota
57,57,2007,0.19,0.9,2.13,2.21,4.53,3.22,0.93,4.0,1.49,2.68,0.05,0.61,South_Dakota
58,58,2008,0.23,0.38,0.9,1.72,4.06,5.04,2.96,1.56,2.11,2.86,1.15,0.71,South_Dakota
59,59,2009,0.4,1.0,1.75,1.86,1.27,3.49,3.45,2.87,1.3,3.94,0.11,1.15,South_Dakota
60,60,2010,0.61,0.6,1.19,2.38,3.69,4.92,3.73,2.02,3.26,1.0,0.33,0.95,South_Dakota
61,61,2011,0.93,1.13,1.05,2.29,4.5,4.52,3.15,2.32,0.63,1.11,0.24,0.26,South_Dakota
62,62,2012,0.41,1.13,0.37,3.06,2.79,2.18,1.54,1.12,0.2,0.83,0.32,0.63,South_Dakota
63,63,2013,0.45,0.7,0.67,2.33,4.82,3.12,2.47,2.41,1.91,5.01,0.3,0.75,South_Dakota
64,64,2014,0.24,0.36,0.76,1.97,2.42,5.89,1.04,4.04,1.61,0.57,0.62,0.67,South_Dakota
65,65,2015,0.27,0.34,0.24,0.87,5.72,4.05,3.02,3.36,1.33,1.44,1.02,1.12,South_Dakota
66,66,2016,0.27,0.58,1.04,3.76,2.54,1.78,2.74,2.61,1.97,1.23,0.91,1.25,South_Dakota
67,67,2017,0.68,0.37,0.66,1.94,2.12,2.19,2.12,3.17,2.49,1.24,0.23,0.42,South_Dakota
68,68,2018,0.3,0.94,1.53,1.7,2.71,4.78,3.4,1.94,2.55,1.7,0.73,0.97,South_Dakota
69,69,2019,0.49,1.01,1.69,2.64,5.9,2.63,5.45,3.65,3.9,2.13,0.94,0.97,South_Dakota
70,70,2020,0.41,0.42,0.78,0.94,2.71,3.04,3.34,1.97,0.74,1.11,0.36,0.35,South_Dakota
71,71,2021,0.32,0.37,1.22,1.48,2.25,1.19,2.47,2.55,2.03,3.42,0.24,0.63,South_Dakota
