,date,January,February,March,April,May,June,July,August,September,October,November,December,State
55,2005,2.76,1.61,1.63,1.75,1.74,1.43,0.41,1.32,0.92,1.38,0.65,1.08,Utah
56,2006,1.35,0.56,2.4,1.16,0.42,0.42,1.21,0.9,1.4,3.08,0.7,0.81,Utah
57,2007,0.53,1.05,0.82,0.91,0.68,0.39,0.91,1.21,1.4,0.85,0.33,2.2,Utah
58,2008,1.67,1.53,0.67,0.42,1.07,0.65,0.53,0.92,0.62,0.82,1.07,1.69,Utah
59,2009,1.12,0.98,0.79,1.56,1.23,1.74,0.49,0.39,0.75,0.79,0.4,1.56,Utah
60,2010,1.58,1.11,1.3,1.39,1.24,0.79,0.83,1.38,0.26,2.57,1.4,3.38,Utah
61,2011,0.39,1.21,1.27,2.02,2.81,0.54,1.72,0.96,0.96,1.42,0.9,0.51,Utah
62,2012,0.97,1.04,0.73,0.73,0.28,0.03,1.41,1.07,1.04,0.96,0.67,1.76,Utah
63,2013,1.01,0.52,0.73,1.28,0.97,0.02,1.5,1.4,2.74,1.01,1.02,1.01,Utah
64,2014,0.61,1.06,0.99,0.94,1.02,0.24,1.14,2.46,2.66,0.2,0.75,1.26,Utah
65,2015,0.92,0.63,0.85,0.98,3.2,0.97,1.46,1.27,0.88,1.8,1.07,1.38,Utah
66,2016,1.42,0.62,1.2,1.7,1.36,0.33,0.62,0.94,2.08,0.89,0.95,1.93,Utah
67,2017,2.76,1.54,1.59,1.17,0.64,0.16,1.39,0.94,1.54,0.18,0.53,0.39,Utah
68,2018,0.86,0.83,1.29,0.86,1.14,0.05,0.84,1.02,0.08,2.93,0.85,0.83,Utah
69,2019,1.51,2.31,2.61,1.74,2.94,0.49,0.59,0.35,0.85,0.24,1.86,1.45,Utah
70,2020,0.77,0.71,1.53,0.56,0.32,0.95,0.4,0.14,0.25,0.2,0.73,0.68,Utah
71,2021,0.74,0.92,1.19,0.73,0.34,0.25,1.67,2.14,0.87,2.21,0.25,2.24,Utah
