date,January,February,March,April,May,June,July,August,September,October,November,December
2012,4.23,5.72,6.76,3.39,3.14,3.46,7.02,8.71,4.18,3.18,2.18,7.20
2013,9.07,7.12,4.00,6.62,6.11,4.15,4.36,3.28,5.29,2.27,5.25,5.41
2014,2.08,6.00,5.60,8.86,5.16,6.96,4.14,3.71,2.54,4.28,3.17,5.72
2015,4.70,4.09,6.40,6.09,6.18,4.05,4.40,3.14,1.58,5.26,7.45,7.23
2016,3.60,5.41,10.83,5.71,2.52,3.71,4.90,5.79,1.80,0.55,3.29,5.02
2017,6.70,2.83,4.10,5.57,6.65,9.39,4.83,6.92,2.64,2.94,1.32,5.04
2018,3.66,10.15,5.57,6.61,3.58,3.87,4.61,4.58,6.60,2.54,6.52,8.52
2019,6.17,7.72,3.32,8.73,5.97,5.24,6.79,5.31,0.41,10.22,2.71,5.47
2020,8.72,9.64,6.10,7.21,3.77,6.35,6.00,4.65,3.57,5.24,2.84,4.75
2021,3.79,5.22,7.90,7.31,4.92,9.82,7.55,7.58,4.60,3.11,1.30,3.65
