,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
53,53,2003,2.51,2.52,2.81,2.65,4.83,4.08,4.53,4.6,5.43,5.34,4.3,4.42,New_York
54,54,2004,2.24,1.49,2.37,3.8,5.57,2.88,6.08,5.72,5.32,2.26,3.25,4.19,New_York
55,55,2005,3.9,2.14,2.66,4.73,1.59,3.62,4.05,4.24,3.88,8.29,4.95,2.8,New_York
56,56,2006,4.07,2.02,1.73,3.36,3.73,7.16,5.21,4.26,4.44,6.16,3.44,3.31,New_York
57,57,2007,3.97,2.42,3.67,4.92,1.92,2.91,4.71,2.55,3.31,5.01,4.25,4.83,New_York
58,58,2008,2.06,5.28,5.15,2.81,2.28,4.38,5.52,4.06,3.39,4.74,2.77,5.29,New_York
59,59,2009,2.53,1.68,2.81,2.51,4.64,5.03,5.51,5.05,2.49,4.42,2.06,3.64,New_York
60,60,2010,2.41,2.72,3.64,2.09,2.63,5.57,4.02,4.47,3.3,6.9,2.86,3.31,New_York
61,61,2011,2.01,3.53,4.51,6.78,6.17,4.25,2.55,7.76,7.12,4.61,2.98,3.44,New_York
62,62,2012,3.29,1.27,1.97,2.9,4.12,3.34,3.14,3.19,4.91,4.94,1.18,5.31,New_York
63,63,2013,2.12,2.38,1.8,3.1,4.31,7.46,4.62,3.85,3.5,3.21,4.03,3.61,New_York
64,64,2014,2.6,2.92,3.05,3.57,4.64,5.11,5.33,3.69,2.12,3.98,2.72,3.49,New_York
65,65,2015,2.34,2.0,1.61,3.02,2.75,7.69,3.6,3.07,4.75,3.7,2.05,4.06,New_York
66,66,2016,1.73,4.36,2.13,2.56,2.53,2.87,3.4,4.54,2.49,5.43,2.66,3.47,New_York
67,67,2017,3.4,3.0,3.44,4.85,5.85,4.85,5.24,3.46,2.42,5.55,2.76,2.56,New_York
68,68,2018,3.45,3.18,3.0,3.86,2.76,3.28,4.62,5.36,5.13,4.73,5.94,3.27,New_York
69,69,2019,4.43,2.72,1.95,4.35,5.33,5.01,3.67,3.91,2.81,6.6,3.43,4.01,New_York
70,70,2020,2.78,3.03,2.89,3.15,3.03,2.38,4.1,4.61,2.58,3.95,2.78,4.0,New_York
71,71,2021,2.08,2.3,1.73,3.47,3.06,3.35,8.12,5.35,4.92,6.6,2.67,2.63,New_York
