,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,3.75,2.38,2.51,3.94,1.86,3.6,3.99,2.65,3.32,1.79,2.95,2.26,Michigan
1,1,1951,1.97,2.05,2.58,3.44,2.49,3.72,3.92,3.74,3.61,4.43,2.66,2.65,Michigan
2,2,1952,2.44,0.95,2.23,2.34,3.0,2.66,5.52,3.42,1.71,0.69,3.11,1.88,Michigan
3,3,1953,1.8,2.14,2.13,3.05,3.07,3.81,3.48,2.97,2.61,1.38,1.51,1.9,Michigan
4,4,1954,1.58,2.41,2.62,4.17,2.36,5.18,2.19,1.88,3.93,5.84,1.78,1.63,Michigan
5,5,1955,1.35,1.37,2.16,2.26,2.8,2.4,2.7,3.62,1.41,3.74,2.81,1.52,Michigan
6,6,1956,0.72,1.41,1.99,3.25,4.24,3.03,3.84,4.0,1.54,0.61,2.36,1.54,Michigan
7,7,1957,1.36,1.25,1.29,3.26,3.57,3.77,3.54,2.26,3.15,2.73,3.39,2.05,Michigan
8,8,1958,1.22,0.83,0.57,1.78,1.61,3.23,3.62,3.44,3.19,2.21,3.02,1.1,Michigan
9,9,1959,1.86,1.78,2.2,3.42,3.21,1.98,3.43,4.89,3.89,4.86,2.69,2.26,Michigan
10,10,1960,2.26,1.95,1.21,3.53,4.55,3.8,3.17,2.98,2.56,1.9,2.77,0.79,Michigan
11,11,1961,0.6,1.54,2.54,2.98,1.9,3.26,3.24,3.08,5.48,2.23,2.32,1.71,Michigan
12,12,1962,2.15,2.14,1.02,1.78,2.95,2.94,2.57,3.04,3.14,2.52,0.88,1.68,Michigan
13,13,1963,1.06,0.72,2.23,2.18,3.1,2.48,2.72,2.76,2.32,0.9,2.42,1.64,Michigan
14,14,1964,1.41,0.66,2.17,3.33,3.2,2.09,3.34,4.05,3.51,1.16,2.47,1.9,Michigan
15,15,1965,2.5,1.98,2.09,2.65,3.02,2.33,1.86,4.22,5.56,2.13,3.03,3.06,Michigan
16,16,1966,1.29,1.16,2.84,2.75,1.67,2.19,2.01,3.72,2.22,2.43,4.44,2.75,Michigan
