date,January,February,March,April,May,June,July,August,September,October,November,December
2012,0.28,0.36,0.27,0.39,0.81,0.33,1.95,1.62,1.31,0.29,0.18,0.62
2013,0.50,0.39,0.22,0.18,0.22,0.64,3.48,2.16,4.19,0.43,0.86,0.40
2014,0.03,0.17,0.47,0.37,1.06,0.55,3.19,2.16,3.15,0.67,0.63,0.75
2015,1.41,0.72,0.71,0.74,2.54,1.57,3.70,2.05,1.10,2.89,0.85,1.05
2016,0.52,0.27,0.08,0.98,0.98,1.05,1.25,3.21,1.83,0.32,1.34,1.11
2017,1.71,0.61,0.48,0.99,0.73,0.94,2.65,2.98,2.42,1.07,0.11,0.11
2018,0.16,0.74,0.27,0.15,0.47,0.87,2.43,1.94,1.81,2.75,0.22,0.91
2019,0.55,0.61,1.03,0.83,1.00,0.86,1.74,1.54,1.50,1.20,1.78,0.74
2020,0.52,0.81,1.20,0.19,0.20,0.46,2.20,0.71,0.80,0.58,0.28,0.40
2021,0.49,0.42,0.54,0.37,1.08,1.71,2.95,2.34,1.27,0.58,0.10,0.52
