,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
51,51,2001,2.02,2.4,6.38,0.96,2.61,5.4,5.24,2.66,3.72,0.88,0.98,1.47,South_Carolina
52,52,2002,3.49,2.06,4.28,1.84,3.49,3.01,3.25,5.94,5.4,4.73,4.42,4.63,South_Carolina
53,53,2003,1.76,4.14,7.52,6.0,5.72,6.39,8.37,4.61,2.98,3.53,1.6,2.57,South_Carolina
54,54,2004,1.77,5.14,0.92,2.02,2.89,6.35,4.96,6.99,8.26,1.43,2.92,2.2,South_Carolina
55,55,2005,2.02,3.82,4.87,2.74,3.77,6.83,5.79,4.96,0.65,4.67,3.2,4.19,South_Carolina
56,56,2006,3.29,2.96,1.24,2.56,2.54,6.8,2.96,5.11,4.55,3.03,4.98,3.71,South_Carolina
57,57,2007,3.66,2.54,2.57,2.54,1.44,4.72,3.79,2.94,2.25,2.76,0.57,5.12,South_Carolina
58,58,2008,2.88,3.94,3.44,3.19,2.74,2.35,4.69,7.08,4.03,4.53,3.94,2.96,South_Carolina
59,59,2009,2.05,2.0,5.11,3.4,5.68,4.04,4.25,3.65,2.91,4.79,4.63,8.05,South_Carolina
60,60,2010,4.92,3.34,3.06,1.34,3.6,4.51,4.86,5.96,4.91,1.47,1.23,1.99,South_Carolina
61,61,2011,1.87,3.4,5.02,2.87,2.95,2.62,3.89,4.27,4.27,2.25,2.85,1.95,South_Carolina
62,62,2012,2.19,2.23,3.64,2.55,5.72,4.17,5.51,7.45,2.54,1.77,1.46,4.54,South_Carolina
63,63,2013,2.48,6.2,3.35,4.7,3.56,7.7,10.38,6.4,2.04,1.16,3.16,5.26,South_Carolina
64,64,2014,3.15,3.31,4.34,4.24,3.97,3.43,4.62,4.31,5.47,1.81,4.44,3.94,South_Carolina
65,65,2015,3.56,4.06,3.18,4.47,1.63,4.12,3.47,5.71,4.35,12.17,7.24,6.7,South_Carolina
66,66,2016,2.83,4.66,2.21,2.4,5.58,3.61,3.78,3.84,6.83,5.55,0.99,3.97,South_Carolina
67,67,2017,4.88,1.38,2.34,5.51,5.15,4.43,5.5,4.55,4.83,3.25,1.19,3.56,South_Carolina
68,68,2018,2.82,2.23,3.11,4.49,6.19,3.72,6.03,4.27,6.13,4.61,5.72,7.98,South_Carolina
69,69,2019,3.6,2.48,2.52,3.99,2.15,5.94,3.91,4.83,2.19,4.01,3.48,6.93,South_Carolina
70,70,2020,4.12,7.17,4.26,5.14,6.64,4.27,4.69,6.95,6.62,2.69,4.49,2.83,South_Carolina
71,71,2021,4.67,6.28,3.26,1.67,2.55,6.09,6.6,5.48,4.1,2.74,0.93,3.1,South_Carolina
