,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,4.27,3.72,3.31,3.12,2.82,3.02,2.44,4.22,2.17,2.07,6.39,3.99,Massachusetts
1,1,1,1951,3.21,4.61,4.83,3.22,3.97,3.15,3.89,3.97,2.56,4.41,6.63,4.74,Massachusetts
2,2,2,1952,4.51,3.66,3.47,4.5,4.07,4.16,1.89,6.18,3.23,1.33,2.36,3.94,Massachusetts
3,3,3,1953,6.26,3.54,8.47,5.66,4.99,1.93,3.28,2.55,2.29,5.22,4.58,4.87,Massachusetts
4,4,4,1954,2.85,2.7,3.66,4.51,6.58,2.93,2.79,5.15,8.19,2.55,5.61,4.93,Massachusetts
5,5,5,1955,0.84,3.86,4.28,4.06,1.61,3.27,2.41,13.47,2.92,8.92,5.11,0.97,Massachusetts
6,6,6,1956,5.0,4.25,5.77,3.68,2.01,2.61,3.75,1.78,4.79,2.56,3.78,5.13,Massachusetts
7,7,7,1957,2.31,1.37,2.66,3.42,3.1,2.08,1.95,2.19,1.61,2.4,4.7,6.15,Massachusetts
8,8,8,1958,7.16,3.13,3.49,6.24,3.73,2.09,4.76,4.27,5.27,3.34,3.7,1.64,Massachusetts
9,9,9,1959,3.1,3.0,4.97,3.93,1.49,4.97,5.56,3.75,1.54,6.67,5.44,4.37,Massachusetts
10,10,10,1960,3.25,4.75,3.03,4.27,3.72,3.18,5.89,2.68,6.99,2.71,3.04,3.44,Massachusetts
11,11,11,1961,2.57,3.31,3.54,5.27,4.1,2.74,3.54,3.4,5.14,2.81,3.84,3.39,Massachusetts
12,12,12,1962,3.61,4.21,1.7,4.08,2.23,3.52,2.21,3.83,3.68,6.95,3.86,3.64,Massachusetts
13,13,13,1963,3.19,3.15,3.88,1.35,3.61,2.75,2.56,2.73,3.86,1.27,6.71,2.64,Massachusetts
14,14,14,1964,4.58,3.38,3.11,4.08,1.04,1.73,3.11,2.19,2.13,2.34,2.41,4.56,Massachusetts
15,15,15,1965,2.33,3.08,1.87,2.76,1.44,2.67,2.08,3.0,2.92,2.77,2.45,2.0,Massachusetts
16,16,16,1966,3.71,3.19,2.5,1.2,3.75,2.32,3.23,1.97,5.12,3.54,4.29,2.83,Massachusetts
17,17,17,1967,1.8,3.23,4.04,4.59,6.68,3.88,4.16,3.83,2.96,2.22,3.41,5.69,Massachusetts
18,18,18,1968,2.78,1.0,6.55,2.33,4.26,7.04,1.29,1.82,2.19,2.39,6.44,5.85,Massachusetts
