,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,1.5,1.53,1.03,2.77,4.89,5.76,4.47,2.4,2.09,1.26,0.57,0.75,Iowa
1,1,1,1951,0.61,2.42,4.18,4.89,4.98,6.19,4.53,6.17,2.47,3.27,1.29,0.97,Iowa
2,2,2,1952,1.31,0.65,3.22,1.87,3.82,5.39,3.78,4.69,0.85,0.02,2.73,1.18,Iowa
3,3,3,1953,0.74,1.66,2.92,3.16,2.37,5.24,3.32,2.31,0.92,0.48,1.33,1.34,Iowa
4,4,4,1954,0.24,1.43,1.75,4.37,3.8,6.4,1.8,7.08,2.19,4.16,0.24,0.72,Iowa
5,5,5,1955,0.9,1.3,0.97,3.5,2.71,2.99,3.46,1.88,3.05,1.48,0.24,0.49,Iowa
6,6,6,1956,0.45,0.54,0.93,1.98,3.28,2.6,4.52,4.49,1.54,1.4,2.03,0.52,Iowa
7,7,7,1957,0.56,0.34,1.88,2.52,4.94,4.77,3.63,3.75,2.7,2.75,2.5,1.18,Iowa
8,8,8,1958,0.7,0.48,0.56,2.23,2.0,3.86,7.17,2.47,3.07,0.92,1.62,0.25,Iowa
9,9,9,1959,0.77,1.32,3.23,2.83,7.58,4.05,2.39,4.91,4.35,2.94,1.86,1.77,Iowa
10,10,10,1960,2.19,1.17,1.54,3.27,5.89,4.29,2.81,5.37,3.53,2.18,0.95,0.62,Iowa
11,11,11,1961,0.27,1.7,4.22,1.99,2.4,3.38,5.54,3.04,7.26,3.01,2.96,1.49,Iowa
12,12,12,1962,0.64,2.04,1.64,1.8,5.55,3.08,6.2,4.18,2.17,2.81,0.56,0.38,Iowa
13,13,13,1963,0.65,0.56,2.58,3.13,2.86,2.66,5.51,3.8,2.47,1.08,1.35,0.49,Iowa
14,14,14,1964,0.4,0.31,1.49,5.13,4.01,5.04,4.04,3.85,4.56,0.28,1.2,0.94,Iowa
15,15,15,1965,1.38,1.29,2.81,4.6,4.76,3.94,3.4,4.19,9.84,1.06,1.3,1.68,Iowa
16,16,16,1966,0.96,0.72,1.83,1.93,3.87,5.63,3.28,2.51,1.43,1.61,0.49,1.06,Iowa
17,17,17,1967,1.17,0.55,1.6,3.34,2.74,8.59,2.15,2.65,2.61,3.15,0.67,0.91,Iowa
18,18,18,1968,0.62,0.18,0.92,4.39,2.69,4.72,4.33,3.55,4.66,3.48,1.19,2.07,Iowa
19,19,19,1969,1.77,0.98,1.09,3.37,3.82,7.19,6.26,2.62,2.34,3.61,0.27,1.46,Iowa
20,20,20,1970,0.27,0.17,2.2,2.31,4.95,3.13,3.54,3.98,6.1,4.06,1.69,1.12,Iowa
21,21,21,1971,1.09,2.42,0.91,1.37,3.57,4.5,3.43,1.24,2.42,3.61,3.08,1.87,Iowa
22,22,22,1972,0.47,0.71,1.31,3.58,4.57,3.7,5.67,4.32,5.61,3.1,2.28,1.73,Iowa
23,23,23,1973,1.73,1.33,3.97,4.63,6.04,3.49,5.22,2.74,6.92,2.57,2.25,2.03,Iowa
