,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,12.61,5.14,3.78,2.96,6.0,6.41,6.3,4.69,5.4,1.84,5.13,2.37,Kentucky
1,1,1,1951,7.43,4.64,4.94,3.37,2.58,5.0,3.07,3.23,4.37,1.8,7.15,7.46,Kentucky
2,2,2,1952,5.51,2.68,7.31,2.65,4.03,2.66,2.73,3.42,2.3,1.41,3.22,3.76,Kentucky
3,3,3,1953,4.73,2.19,5.49,3.94,5.46,3.38,3.52,1.57,1.11,0.88,1.49,2.75,Kentucky
4,4,4,1954,5.5,2.23,2.69,3.72,3.13,2.86,3.19,4.27,3.9,2.81,1.92,4.98,Kentucky
5,5,5,1955,1.76,7.19,7.41,3.61,4.26,4.31,4.06,2.56,3.19,2.75,2.64,1.58,Kentucky
6,6,6,1956,3.91,8.92,5.05,4.92,3.66,3.62,6.0,3.0,2.16,1.97,2.32,4.98,Kentucky
7,7,7,1957,6.42,4.33,2.37,5.52,5.55,5.31,3.08,1.78,4.46,2.73,7.98,5.6,Kentucky
8,8,8,1958,2.55,2.31,3.54,5.51,4.67,4.26,7.89,4.18,3.22,1.43,3.36,1.15,Kentucky
9,9,9,1959,4.82,2.97,2.62,3.0,4.53,2.89,4.8,4.01,2.06,4.25,3.92,3.95,Kentucky
10,10,10,1960,2.84,4.01,3.03,1.83,3.51,7.12,3.54,3.36,3.23,2.27,3.35,2.81,Kentucky
11,11,11,1961,2.51,4.57,5.42,5.29,6.0,5.5,6.07,3.36,1.56,2.01,4.02,5.13,Kentucky
12,12,12,1962,4.76,7.67,4.72,3.28,4.36,4.76,4.34,2.31,4.46,3.54,3.31,2.69,Kentucky
13,13,13,1963,1.39,1.81,7.82,1.71,3.86,3.37,5.54,3.38,1.27,0.14,2.41,1.42,Kentucky
14,14,14,1964,3.22,2.91,10.09,4.13,2.27,2.78,4.27,3.24,4.63,1.34,3.44,5.55,Kentucky
15,15,15,1965,3.73,3.67,6.05,4.16,2.21,3.69,5.15,2.15,5.56,2.63,1.83,0.66,Kentucky
16,16,16,1966,5.08,3.89,1.54,6.25,3.78,1.76,4.4,4.74,3.96,2.34,4.0,4.92,Kentucky
17,17,17,1967,1.69,2.4,5.48,3.69,6.75,3.85,7.09,3.26,2.69,2.58,4.18,4.71,Kentucky
18,18,18,1968,2.06,0.87,6.0,5.11,6.84,2.77,4.71,3.65,2.69,2.4,3.68,3.43,Kentucky
19,19,19,1969,4.56,2.18,2.14,4.54,3.12,5.64,3.85,3.97,1.84,2.2,3.5,5.33,Kentucky
20,20,20,1970,1.25,3.68,4.04,7.49,2.84,4.56,3.19,4.48,4.54,4.73,2.47,4.39,Kentucky
21,21,21,1971,3.55,4.78,2.17,2.7,5.64,4.39,6.34,3.41,4.28,1.65,1.95,3.52,Kentucky
22,22,22,1972,5.65,5.41,4.39,7.54,3.86,2.89,5.68,2.26,4.12,3.16,5.4,6.72,Kentucky
23,23,23,1973,2.43,2.27,6.19,5.83,6.62,5.24,5.48,2.28,2.29,3.06,7.87,3.69,Kentucky
24,24,24,1974,6.85,2.14,5.02,3.74,5.96,4.97,2.67,7.43,5.51,1.68,3.09,4.0,Kentucky
25,25,25,1975,4.32,4.84,10.5,4.87,3.89,3.62,3.24,4.09,5.73,4.66,2.99,4.2,Kentucky
26,26,26,1976,4.17,4.1,5.01,1.13,3.97,6.19,4.59,2.66,4.01,4.3,0.85,1.51,Kentucky
27,27,27,1977,2.1,1.48,4.38,5.38,2.18,5.12,4.68,6.45,3.62,4.34,4.99,3.8,Kentucky
28,28,28,1978,5.73,1.11,3.86,3.13,5.57,2.89,5.51,5.9,1.24,2.89,4.68,10.46,Kentucky
29,29,29,1979,5.73,4.59,3.25,6.85,4.85,4.93,6.7,5.43,8.28,2.57,5.68,3.72,Kentucky
30,30,30,1980,2.47,1.47,5.5,3.27,3.65,2.76,4.82,3.21,2.81,2.29,3.47,1.54,Kentucky
31,31,31,1981,0.87,4.15,2.88,5.09,6.27,4.97,5.28,3.07,3.1,3.24,1.72,3.28,Kentucky
32,32,32,1982,5.71,3.24,4.15,3.31,4.19,4.34,4.23,5.43,4.3,1.45,4.33,5.57,Kentucky
33,33,33,1983,1.78,2.1,2.42,7.13,9.92,3.32,2.8,2.04,1.12,5.68,5.16,4.36,Kentucky
34,34,34,1984,1.44,3.55,4.93,5.26,8.43,1.98,4.74,2.73,2.79,5.08,6.37,5.4,Kentucky
35,35,35,1985,2.83,2.62,3.33,2.67,4.41,4.44,4.13,5.82,1.94,4.82,5.92,1.49,Kentucky
36,36,36,1986,1.04,4.57,2.7,1.43,4.76,2.81,4.1,3.26,4.42,3.06,6.69,3.74,Kentucky
37,37,37,1987,1.84,3.38,3.21,3.37,2.9,3.79,4.86,2.64,2.3,0.62,3.36,6.17,Kentucky
38,38,38,1988,3.32,3.43,2.77,3.18,2.78,0.97,5.21,3.79,4.7,2.27,7.31,3.82,Kentucky
39,39,39,1989,4.56,9.85,5.96,3.22,4.61,6.62,4.71,4.16,4.62,3.92,3.44,2.07,Kentucky
40,40,40,1990,4.05,6.36,3.04,2.96,6.58,3.36,3.79,3.79,3.11,4.8,2.9,10.67,Kentucky
41,41,41,1991,3.4,4.84,5.52,3.2,4.17,3.1,3.72,2.79,2.99,2.6,2.56,7.14,Kentucky
42,42,42,1992,2.43,2.43,5.13,1.94,4.31,4.35,6.51,4.02,3.56,1.48,3.72,2.91,Kentucky
43,43,43,1993,3.18,3.74,4.47,3.72,3.33,4.95,3.12,3.91,3.93,4.05,4.35,4.12,Kentucky
44,44,44,1994,4.8,4.86,7.22,5.71,3.22,3.54,4.22,3.62,2.38,2.42,3.34,3.33,Kentucky
45,45,45,1995,4.72,3.0,3.02,3.8,9.13,4.37,3.19,3.59,2.62,4.65,3.51,2.35,Kentucky
46,46,46,1996,4.78,2.4,5.06,5.39,7.12,4.83,5.63,2.52,6.36,2.9,5.0,4.76,Kentucky
47,47,47,1997,3.36,3.28,11.11,2.45,5.45,7.11,2.4,3.35,2.36,1.88,3.25,3.05,Kentucky
48,48,48,1998,3.75,3.22,3.21,7.55,5.08,8.86,4.92,2.11,1.08,2.71,2.02,4.81,Kentucky
49,49,49,1999,6.7,2.87,3.43,3.48,2.89,4.62,2.13,1.97,1.33,2.98,2.25,3.44,Kentucky
50,50,50,2000,3.79,4.68,3.53,4.55,4.66,4.41,4.72,3.91,3.49,0.88,2.82,3.85,Kentucky
51,51,51,2001,2.09,4.22,2.82,1.91,4.57,3.99,6.33,3.68,2.59,4.4,4.36,4.47,Kentucky
52,52,52,2002,3.87,1.6,7.41,4.96,6.23,3.75,3.4,2.28,6.15,5.47,3.52,4.87,Kentucky
53,53,53,2003,1.98,6.81,2.16,5.52,6.8,6.1,4.67,4.87,5.75,2.42,5.57,3.33,Kentucky
54,54,54,2004,3.88,2.63,4.23,4.65,8.28,4.01,5.26,3.97,3.95,4.76,5.68,4.64,Kentucky
55,55,55,2005,4.9,2.57,3.76,4.86,2.44,2.7,4.23,6.51,1.3,1.09,3.04,2.4,Kentucky
