date,January,February,March,April,May,June,July,August,September,October,November,December
2012,2.12,2.21,1.07,2.71,2.44,2.99,3.16,5.82,3.76,8.10,0.98,3.96
2013,3.03,2.67,3.54,3.68,2.89,9.56,6.57,6.01,1.08,4.28,2.48,4.96
2014,3.09,4.54,3.87,4.40,3.06,2.59,5.24,4.37,3.59,2.44,3.96,3.85
2015,4.96,2.32,4.53,3.13,1.50,9.01,3.33,2.81,3.20,3.84,3.02,4.62
2016,2.67,3.79,1.73,2.73,5.88,3.72,5.53,3.03,9.98,2.87,0.79,2.95
2017,3.00,1.24,4.46,2.63,5.68,2.32,8.04,7.91,2.57,3.59,2.04,1.05
2018,2.98,4.97,4.09,3.40,6.99,3.97,5.77,4.53,6.61,5.04,6.85,4.82
2019,3.45,3.47,3.59,3.57,4.48,5.01,3.41,3.14,1.32,4.13,1.38,4.07
2020,3.19,3.30,3.62,3.96,2.63,2.51,6.37,8.85,4.35,5.28,5.84,6.02
2021,2.34,5.65,4.47,2.28,3.04,3.21,5.24,5.47,3.85,3.47,0.88,0.99
