,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
51,51,51,2001,1.27,0.72,6.52,0.99,2.35,8.17,9.4,6.74,10.41,2.72,1.57,1.35,Florida
52,52,52,2002,3.0,2.68,2.7,2.41,2.36,10.19,7.61,7.37,6.63,3.72,3.64,6.18,Florida
53,53,53,2003,1.5,3.79,6.47,2.86,4.25,10.7,7.25,8.6,5.96,2.69,2.45,2.25,Florida
54,54,54,2004,2.28,5.25,1.02,2.22,1.77,7.94,6.91,9.85,12.52,2.57,2.49,2.4,Florida
55,55,55,2005,1.76,2.47,5.73,4.96,3.96,11.09,7.22,7.04,4.29,4.84,2.88,3.24,Florida
56,56,56,2006,1.47,4.08,0.43,1.44,2.67,5.57,6.27,6.76,5.25,1.97,1.85,3.24,Florida
57,57,57,2007,2.53,2.41,1.24,2.15,1.37,6.11,7.5,4.94,6.2,5.64,1.16,2.47,Florida
58,58,58,2008,2.85,4.13,3.39,3.41,1.58,6.65,8.1,12.77,3.19,3.64,1.39,2.03,Florida
59,59,59,2009,1.85,1.32,2.78,3.72,8.91,6.03,6.65,6.46,5.88,2.22,2.24,5.71,Florida
60,60,60,2010,4.23,3.7,5.87,2.75,4.22,5.24,6.0,8.16,4.33,0.44,2.07,1.11,Florida
61,61,61,2011,4.24,1.93,4.06,2.16,1.61,4.74,6.96,6.65,5.53,5.73,1.41,1.75,Florida
62,62,62,2012,1.13,2.53,2.34,2.63,5.29,12.57,5.84,10.38,5.59,3.65,0.43,2.71,Florida
63,63,63,2013,0.8,4.43,1.94,3.96,4.62,8.63,11.68,7.56,6.05,1.58,3.11,2.51,Florida
64,64,64,2014,3.91,3.52,5.2,5.29,4.74,5.88,7.18,5.24,8.85,2.48,4.06,2.78,Florida
65,65,65,2015,2.84,3.23,2.0,4.28,2.39,6.05,7.83,8.44,6.67,1.84,3.8,3.49,Florida
66,66,66,2016,6.05,3.25,3.43,2.93,4.62,7.11,4.87,8.12,7.43,2.67,0.21,2.72,Florida
67,67,67,2017,3.71,1.88,1.24,2.23,3.84,12.26,7.57,8.52,8.87,5.19,1.64,1.68,Florida
68,68,68,2018,2.96,2.4,2.15,3.74,9.31,6.59,8.4,7.61,4.91,2.12,3.15,7.18,Florida
69,69,69,2019,3.98,1.98,1.94,3.12,3.41,7.99,7.53,8.79,1.73,5.16,1.83,4.64,Florida
70,70,70,2020,1.57,3.48,0.53,4.31,5.25,7.19,7.99,7.92,9.3,4.26,3.85,2.33,Florida
71,71,71,2021,1.83,4.1,1.75,4.51,1.54,8.34,8.86,8.76,7.05,3.93,2.94,1.75,Florida
