date,January,February,March,April,May,June,July,August,September,October,November,December
2012,0.56,1.18,1.63,2.76,5.96,4.36,3.28,2.04,0.61,1.88,0.87,1.04
2013,1.01,1.16,1.70,3.05,4.39,5.22,2.86,1.84,2.45,3.34,0.62,1.37
2014,0.80,0.86,0.87,3.70,3.51,8.07,2.50,3.72,2.36,1.19,0.81,0.73
2015,0.49,0.47,0.60,1.39,5.30,3.80,4.07,3.89,2.71,2.15,2.68,1.91
2016,0.54,0.74,1.96,2.15,2.53,4.15,6.07,5.31,4.62,2.17,1.72,1.58
2017,0.98,0.97,0.81,2.50,3.21,3.76,2.64,5.23,3.72,3.26,0.51,0.71
2018,0.57,1.02,1.17,1.13,2.79,5.72,4.30,3.11,4.32,3.57,1.05,1.33
2019,0.65,1.72,1.66,2.71,4.11,3.55,4.62,3.31,6.12,4.22,1.17,1.82
2020,0.88,0.34,1.18,1.27,2.08,4.05,4.88,4.58,1.46,1.87,1.13,0.68
2021,0.57,0.31,1.43,2.49,1.75,1.82,1.79,4.06,2.96,3.31,1.23,1.95
