date,January,February,March,April,May,June,July,August,September,October,November,December
2012,3.12,1.22,4.74,2.48,0.20,0.32,0.26,0.30,0.10,0.99,3.57,6.15
2013,1.19,0.58,1.33,0.71,0.62,0.38,0.28,0.38,0.77,0.26,0.99,0.44
2014,0.54,4.02,3.28,1.06,0.35,0.06,0.22,0.45,0.72,1.06,1.84,6.30
2015,0.65,2.86,0.78,1.06,0.93,0.23,0.66,0.08,0.33,0.90,1.87,4.69
2016,6.39,1.21,4.88,1.52,0.77,0.27,0.06,0.06,0.10,3.82,2.16,4.49
2017,9.92,7.94,2.45,2.76,0.43,0.26,0.09,0.27,0.43,0.34,2.98,0.30
2018,3.33,0.57,5.12,2.13,0.66,0.07,0.22,0.04,0.06,0.70,2.81,2.38
2019,5.23,8.57,4.05,1.22,2.50,0.09,0.08,0.13,0.61,0.16,1.61,4.87
2020,2.06,0.21,3.19,1.99,1.20,0.16,0.05,0.10,0.04,0.05,1.19,1.83
2021,3.65,1.39,1.73,0.29,0.11,0.14,0.29,0.10,0.36,3.66,0.95,6.27
