date,January,February,March,April,May,June,July,August,September,October,November,December
1969,0.71,2.27,2.47,3.01,4.18,1.81,1.34,2.63,3.00,4.16,1.83,2.28
1970,0.84,2.19,2.58,1.80,3.38,1.78,1.06,1.80,4.74,2.75,0.40,0.49
1971,0.16,1.15,0.28,1.49,2.21,2.27,2.51,5.14,4.76,3.95,1.30,2.80
1972,1.40,0.52,0.83,1.48,4.01,2.91,2.48,3.49,3.63,3.21,2.05,0.83
1973,2.58,2.23,2.93,3.44,1.68,4.96,3.81,1.83,5.19,4.63,1.09,0.93
1974,1.99,0.53,1.44,1.78,2.94,1.94,1.20,5.49,6.32,3.99,2.61,1.65
1975,1.18,2.09,1.06,2.08,5.10,2.95,3.59,2.49,2.55,1.60,1.37,1.21
1976,0.48,0.44,1.58,4.09,3.39,2.45,4.96,1.46,4.14,4.22,1.49,1.95
1977,1.59,1.30,2.05,3.91,2.28,2.52,1.24,2.24,1.48,1.56,1.91,0.56
1978,1.65,1.74,0.84,1.07,3.03,2.97,1.34,2.87,4.60,1.17,3.16,1.25
1979,2.46,1.76,2.90,2.98,3.87,3.48,3.72,2.96,2.70,1.20,0.87,2.09
1980,1.67,1.04,1.51,1.41,4.54,1.28,0.65,2.40,5.51,1.18,2.07,1.11
1981,1.18,1.10,2.22,2.65,4.33,5.26,2.39,3.22,2.33,5.86,1.16,0.48
1982,0.99,1.69,1.10,2.00,5.38,3.69,1.73,1.24,1.25,1.84,3.05,2.72
1983,1.51,2.30,2.32,0.57,3.62,2.84,1.98,2.14,2.06,3.40,1.92,1.09
1984,1.49,1.26,1.53,0.59,2.20,2.47,1.67,1.99,2.04,5.95,2.08,2.91
1985,1.49,1.98,2.61,2.36,2.68,3.62,2.15,1.04,3.99,4.55,2.43,0.98
1986,0.48,1.59,0.58,1.74,4.49,4.97,1.20,2.99,3.88,5.38,2.93,3.30
1987,1.15,3.16,1.34,0.90,5.47,5.23,2.03,2.43,2.82,0.74,2.48,2.61
1988,0.59,0.86,1.67,1.48,1.98,2.45,3.32,1.66,3.52,1.17,0.89,1.37
1989,2.34,1.90,1.86,1.13,3.95,4.93,1.73,2.45,2.12,1.41,0.75,0.67
1990,2.23,2.53,3.14,3.56,3.20,1.18,4.16,2.13,3.73,2.20,2.31,1.07
1991,3.53,1.65,1.01,2.92,3.62,4.14,3.08,3.03,4.80,2.33,1.50,5.59
1992,3.15,3.98,2.24,2.31,5.09,4.31,2.42,1.98,1.86,0.93,3.08,2.25
1993,2.16,1.91,2.42,2.39,3.46,4.34,1.28,1.61,2.09,3.01,1.25,1.45
1994,1.48,1.51,1.77,1.96,4.52,1.91,2.00,2.07,2.50,5.04,1.80,2.75
1995,1.61,1.02,2.21,2.47,4.67,2.97,2.11,2.75,3.66,1.14,1.50,1.57
1996,0.49,0.25,0.75,1.51,1.34,2.96,2.51,5.23,4.08,1.72,2.71,1.05
1997,1.24,3.79,2.42,4.91,3.52,4.55,1.37,2.32,2.15,3.27,1.81,2.84
1998,2.16,2.64,2.35,0.67,0.70,1.14,1.20,3.69,3.39,5.18,3.15,1.72
1999,1.72,0.23,2.84,1.95,3.66,3.89,2.04,1.35,1.57,1.34,0.26,1.20
2000,1.05,1.01,2.36,1.91,3.13,5.03,0.70,0.47,1.18,4.00,5.24,1.75
2001,2.35,2.03,3.25,0.79,3.02,2.55,0.97,3.60,3.23,1.74,3.31,2.27
2002,0.96,1.05,1.98,1.79,1.90,2.39,4.73,1.75,2.99,6.17,1.83,3.11
2003,0.58,2.40,1.13,0.77,1.50,4.48,2.36,2.09,3.91,2.71,1.56,0.71
2004,2.17,2.81,2.35,3.94,2.39,6.66,2.37,3.18,2.55,3.95,6.18,0.81
2005,1.89,2.51,1.80,0.70,2.89,1.24,3.01,3.42,1.41,2.15,0.73,0.45
2006,1.06,1.14,2.07,1.51,2.20,1.96,2.31,2.36,3.27,4.03,0.72,2.50
2007,3.55,0.48,4.47,2.15,5.54,5.33,5.37,2.92,2.68,1.15,1.34,1.22
2008,0.94,1.10,2.34,1.87,2.29,1.93,2.29,4.52,2.85,2.16,0.99,0.52
2009,0.40,0.62,2.21,3.20,2.30,1.87,3.09,1.62,4.20,5.55,1.26,2.22
