date,January,February,March,April,May,June,July,August,September,October,November,December
2012,4.70,7.40,8.02,4.79,2.17,4.25,7.74,8.86,5.66,1.63,1.68,5.98
2013,10.93,6.28,1.47,6.70,5.43,4.58,4.41,2.94,5.71,4.18,5.02,3.78
2014,2.06,5.56,4.47,4.49,7.46,6.23,5.95,5.80,2.99,3.28,3.50,4.15
2015,5.86,3.03,5.85,8.19,8.24,5.42,3.00,2.66,2.76,7.52,9.09,5.69
2016,4.28,3.24,10.60,6.51,5.72,6.03,4.83,13.02,3.18,0.42,2.95,6.30
2017,6.63,2.33,3.64,5.58,9.14,8.99,4.76,12.94,0.88,2.61,1.58,4.98
2018,4.70,8.22,4.88,4.78,2.07,3.61,5.10,4.47,7.61,5.24,6.98,8.73
2019,5.71,4.47,2.01,8.39,8.17,6.38,7.38,4.96,1.79,7.96,1.68,2.97
2020,7.54,5.83,3.85,6.34,5.67,5.33,6.96,6.30,4.24,6.10,3.57,5.23
2021,3.54,4.24,5.38,8.60,11.37,6.73,6.83,6.23,6.93,2.59,1.33,2.72
