,date,January,February,March,April,May,June,July,August,September,October,November,December,State
52,2002,0.5,1.78,2.27,4.21,3.0,5.64,3.63,4.58,4.57,3.93,0.39,0.58,Wisconsin
53,2003,0.36,0.64,1.85,2.76,4.82,3.35,3.28,1.96,3.15,1.37,3.17,1.31,Wisconsin
54,2004,0.81,1.66,3.08,2.17,7.54,4.57,3.1,3.05,2.17,3.61,1.65,1.5,Wisconsin
55,2005,1.66,1.24,1.22,1.6,2.61,3.81,3.08,2.7,3.77,2.92,2.92,1.02,Wisconsin
56,2006,1.4,0.75,2.09,2.62,4.16,2.22,3.5,4.34,3.19,2.32,1.71,1.78,Wisconsin
57,2007,0.93,1.11,2.29,2.48,2.62,2.99,3.06,6.94,3.3,4.85,0.31,2.61,Wisconsin
58,2008,1.32,1.61,1.1,5.19,3.11,6.19,3.97,1.67,2.67,2.12,1.28,2.49,Wisconsin
59,2009,0.63,1.1,2.17,3.08,2.88,3.29,2.17,4.79,1.15,5.36,0.85,2.29,Wisconsin
60,2010,0.89,0.57,0.73,2.34,3.15,7.12,7.5,4.64,6.31,2.34,1.71,1.72,Wisconsin
61,2011,0.91,1.13,2.38,3.71,3.05,4.22,4.61,3.04,3.08,1.51,1.95,1.45,Wisconsin
62,2012,1.02,1.29,2.0,2.68,4.81,3.34,3.19,2.34,1.5,3.78,1.11,1.74,Wisconsin
63,2013,1.69,1.63,1.93,4.85,5.37,6.21,2.46,2.77,2.17,3.54,2.33,1.58,Wisconsin
64,2014,1.13,1.27,1.1,5.04,3.8,6.71,2.51,5.2,3.86,3.07,2.03,1.36,Wisconsin
65,2015,0.53,0.42,0.73,2.94,4.65,4.44,3.38,4.0,4.39,2.7,3.42,4.28,Wisconsin
66,2016,0.84,0.82,3.93,2.21,3.06,5.36,5.2,5.21,5.99,2.95,1.84,1.98,Wisconsin
67,2017,2.03,1.34,1.99,4.59,4.94,5.94,4.46,4.1,1.9,4.3,0.91,1.07,Wisconsin
68,2018,1.2,1.51,0.92,2.53,4.7,5.44,3.11,6.07,5.52,5.25,1.94,1.55,Wisconsin
69,2019,1.43,3.12,1.34,3.72,5.56,3.91,5.33,3.54,7.03,4.88,2.03,2.66,Wisconsin
70,2020,1.34,0.68,3.04,2.27,3.97,5.0,5.55,3.33,3.17,3.0,2.06,0.78,Wisconsin
71,2021,0.84,0.88,1.87,2.37,2.99,3.92,4.35,5.46,2.08,2.02,1.24,1.91,Wisconsin
