,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,4.01,2.55,3.59,3.24,0.93,5.04,2.81,4.53,1.49,2.58,8.33,5.42,Maine
1,1,1,1951,3.04,4.45,3.7,5.55,3.0,2.42,6.33,4.22,2.74,3.52,6.07,4.71,Maine
2,2,2,1952,3.77,4.33,2.0,2.7,3.78,4.9,1.27,2.66,2.98,3.63,2.02,4.54,Maine
3,3,3,1953,4.01,3.16,7.32,4.44,3.04,2.37,3.84,2.98,2.97,4.21,3.9,4.31,Maine
4,4,4,1954,3.15,4.12,3.23,4.19,5.34,5.87,4.22,5.65,8.24,5.04,4.04,5.46,Maine
5,5,5,1955,1.91,5.29,4.5,2.05,3.29,3.01,2.45,4.79,1.83,2.53,3.34,1.28,Maine
6,6,6,1956,4.66,2.57,3.6,3.26,3.15,2.8,3.84,3.12,3.5,2.84,3.11,2.97,Maine
7,7,7,1957,2.07,1.66,2.05,2.44,2.52,3.34,3.77,2.03,2.97,2.14,5.32,5.63,Maine
8,8,8,1958,6.54,3.08,2.88,4.11,2.83,3.19,5.18,4.48,3.01,4.86,3.7,1.62,Maine
9,9,9,1959,3.48,2.18,3.87,2.44,1.28,6.48,2.51,4.73,2.57,6.15,6.57,3.59,Maine
10,10,10,1960,3.42,5.56,2.36,3.23,4.32,3.87,4.06,1.71,3.72,3.94,3.41,4.36,Maine
11,11,11,1961,2.24,3.17,2.86,4.68,5.03,3.56,3.65,2.72,4.47,2.72,4.45,3.34,Maine
12,12,12,1962,2.58,1.88,1.49,4.18,2.41,2.64,5.03,4.3,3.49,4.93,5.39,4.67,Maine
13,13,13,1963,2.94,2.97,2.82,2.67,3.34,1.42,3.78,5.78,3.2,3.19,8.55,1.8,Maine
14,14,14,1964,3.48,1.34,2.95,2.95,2.29,2.24,4.47,3.45,1.73,3.44,3.17,3.82,Maine
15,15,15,1965,1.64,3.56,0.56,2.31,1.75,2.03,2.51,3.97,3.22,3.88,4.58,1.93,Maine
16,16,16,1966,3.48,2.34,3.38,0.83,2.5,2.98,3.82,2.89,3.58,3.75,5.48,3.01,Maine
17,17,17,1967,2.18,2.78,1.16,2.07,4.6,4.29,3.91,3.99,5.53,2.73,3.32,4.81,Maine
18,18,18,1968,2.66,1.61,3.57,2.84,2.94,3.77,2.17,2.03,1.93,3.08,5.55,5.45,Maine
19,19,19,1969,3.15,4.49,2.54,3.05,3.09,3.49,4.71,3.38,5.32,1.64,7.0,7.8,Maine
20,20,20,1970,0.7,4.87,2.74,3.79,3.89,3.34,2.72,3.79,3.58,4.64,2.76,3.96,Maine
21,21,21,1971,2.09,4.39,3.51,1.92,3.49,2.14,3.62,4.5,3.03,2.9,3.3,2.73,Maine
22,22,22,1972,2.01,3.73,5.86,2.39,2.83,5.92,4.62,2.82,4.04,3.99,4.65,5.76,Maine
23,23,23,1973,3.51,3.21,2.91,5.79,5.38,4.32,4.11,4.77,3.77,3.38,3.23,9.04,Maine
24,24,24,1974,2.88,2.33,3.97,4.88,5.02,3.79,4.05,2.92,4.32,1.56,4.24,2.98,Maine
25,25,25,1975,3.31,1.8,3.44,2.59,2.15,4.23,3.79,2.26,4.3,3.81,4.76,4.95,Maine
26,26,26,1976,4.32,3.87,2.84,3.83,5.11,3.32,6.91,5.85,2.82,5.79,2.22,4.16,Maine
27,27,27,1977,3.27,2.88,4.25,2.72,1.71,6.8,2.03,4.6,5.49,6.63,3.29,5.22,Maine
28,28,28,1978,6.86,1.06,3.05,3.11,2.46,4.19,2.45,2.08,2.07,3.64,2.1,2.92,Maine
29,29,29,1979,7.79,2.3,4.45,4.79,6.09,2.1,3.05,5.1,3.5,4.77,3.76,2.68,Maine
30,30,30,1980,1.31,0.96,3.7,4.24,1.44,2.87,5.22,2.75,4.63,3.91,4.07,2.29,Maine
31,31,31,1981,1.44,3.64,1.87,3.31,3.6,4.3,4.64,5.34,6.29,6.32,3.04,4.59,Maine
32,32,32,1982,3.67,2.68,2.85,3.66,1.19,4.87,2.65,4.2,3.35,1.45,4.97,2.18,Maine
33,33,33,1983,3.46,2.76,5.4,7.36,5.69,1.79,4.74,3.55,2.53,2.92,9.44,6.27,Maine
34,34,34,1984,2.02,4.11,4.45,2.96,7.26,6.13,4.37,2.26,1.59,2.36,2.76,3.26,Maine
35,35,35,1985,1.0,2.88,2.76,1.54,3.04,3.96,3.84,3.72,3.48,2.79,4.37,2.16,Maine
36,36,36,1986,5.39,1.46,3.46,2.73,3.95,3.33,4.8,5.22,3.66,1.65,3.83,3.05,Maine
37,37,37,1987,3.47,0.53,2.92,4.02,2.89,4.48,2.39,1.98,5.61,3.64,2.74,3.37,Maine
38,38,38,1988,2.26,2.93,1.4,3.26,2.34,2.48,4.64,5.91,1.84,3.96,5.94,1.39,Maine
39,39,39,1989,1.79,2.15,2.49,3.09,7.07,4.08,2.31,4.83,3.96,3.03,5.08,1.94,Maine
40,40,40,1990,4.06,2.24,1.98,3.56,5.28,4.46,3.57,4.87,3.56,7.71,4.28,5.61,Maine
