,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,6.65,3.59,2.26,5.3,2.48,5.51,3.88,3.34,3.41,1.25,2.69,1.4,Illinois
1,1,1,1951,2.16,3.92,3.53,3.41,3.24,5.96,4.87,3.69,3.33,3.23,3.29,2.37,Illinois
2,2,2,1952,1.71,1.58,4.22,3.66,3.48,4.79,3.33,3.12,1.86,0.67,3.04,2.07,Illinois
3,3,3,1953,1.79,1.52,4.49,2.87,3.05,3.3,3.62,1.16,1.56,1.52,0.84,1.72,Illinois
4,4,4,1954,1.59,1.83,2.6,4.18,2.76,3.74,2.7,5.08,1.96,5.1,1.22,2.59,Illinois
5,5,5,1955,1.86,2.55,2.46,3.98,4.1,3.82,3.31,2.58,2.83,4.54,1.88,0.45,Illinois
6,6,6,1956,0.71,2.88,1.17,3.46,4.08,2.57,4.57,4.17,1.12,0.72,2.34,2.42,Illinois
7,7,7,1957,2.11,2.13,2.21,6.99,6.12,6.38,4.04,2.78,1.52,3.34,3.51,4.16,Illinois
8,8,8,1958,1.65,0.69,1.62,2.83,2.72,6.24,8.1,3.19,2.75,1.44,3.61,0.5,Illinois
9,9,9,1959,2.46,2.49,3.1,3.15,4.36,1.5,3.3,4.39,4.08,4.2,2.08,2.7,Illinois
10,10,10,1960,2.3,2.19,2.26,3.48,4.66,5.63,2.97,2.97,1.87,2.57,2.18,1.54,Illinois
11,11,11,1961,0.54,1.82,4.29,3.29,5.17,3.34,5.75,3.09,7.15,2.68,3.54,2.35,Illinois
12,12,12,1962,3.26,2.29,2.94,1.86,4.54,3.35,4.82,2.43,2.36,3.28,1.22,1.06,Illinois
13,13,13,1963,0.71,0.58,5.23,2.83,2.95,2.1,4.98,2.93,1.34,0.93,2.37,0.87,Illinois
14,14,14,1964,1.38,1.29,4.83,5.69,1.9,3.74,3.24,2.36,2.78,0.18,2.98,1.74,Illinois
15,15,15,1965,4.06,1.92,2.58,4.81,2.82,3.84,3.46,6.07,6.8,1.41,1.16,2.88,Illinois
16,16,16,1966,1.4,2.17,1.6,5.32,4.51,2.49,2.18,2.74,3.61,1.89,3.34,3.66,Illinois
