,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
53,53,2003,1.37,1.21,2.1,2.03,2.33,2.18,0.5,0.71,1.08,1.33,1.15,1.4,Montana
54,54,2004,1.3,0.72,0.64,1.15,3.0,2.03,1.48,1.97,1.53,1.49,0.6,0.93,Montana
55,55,2005,0.79,0.27,1.46,1.94,2.72,4.8,0.67,1.24,1.3,1.93,1.66,1.23,Montana
56,56,2006,1.4,0.91,1.25,2.68,1.8,2.35,0.59,0.82,1.92,1.94,1.71,0.87,Montana
57,57,2007,0.72,1.42,1.16,1.78,4.05,2.09,0.83,0.74,1.46,1.61,0.92,1.19,Montana
58,58,2008,1.26,1.08,0.93,0.98,4.05,2.85,1.05,1.16,1.62,1.32,1.37,1.81,Montana
59,59,2009,1.34,0.74,1.72,1.94,1.34,2.15,2.03,1.86,0.55,2.17,0.56,1.05,Montana
60,60,2010,1.08,0.5,0.74,2.08,3.93,3.66,1.51,2.18,1.87,0.91,1.92,1.61,Montana
61,61,2011,1.77,1.37,1.62,2.52,5.7,3.36,1.39,0.77,0.47,1.99,1.08,0.81,Montana
62,62,2012,1.23,0.95,1.6,1.98,2.42,2.01,1.29,0.57,0.17,1.82,1.45,1.32,Montana
63,63,2013,1.05,0.55,0.91,1.5,4.15,3.12,1.19,1.46,2.53,1.19,0.91,1.46,Montana
64,64,2014,1.21,1.71,2.26,1.47,1.92,3.2,0.69,3.7,1.2,0.96,1.98,1.3,Montana
65,65,2015,1.18,0.9,0.99,1.08,2.43,1.77,1.88,1.01,1.29,1.4,1.34,1.61,Montana
66,66,2016,0.91,0.85,1.37,2.33,3.1,1.53,2.07,1.04,2.47,3.36,0.65,1.49,Montana
67,67,2017,0.91,1.72,1.84,2.13,1.54,1.72,0.43,0.37,2.1,1.16,1.7,1.81,Montana
68,68,2018,1.16,2.12,1.44,2.17,2.8,3.62,0.76,1.05,1.09,1.34,1.44,0.99,Montana
69,69,2019,1.04,1.92,0.63,2.18,2.67,2.56,2.03,1.53,3.58,1.36,1.12,0.79,Montana
70,70,2020,1.2,1.22,0.94,1.15,2.48,3.43,1.08,0.47,0.94,2.07,1.23,0.68,Montana
71,71,2021,0.75,1.4,0.58,1.0,2.48,0.83,0.65,2.04,0.44,1.49,0.98,1.66,Montana
