date,January,February,March,April,May,June,July,August,September,October,November,December
2012,3.33,1.78,4.25,2.12,1.91,1.60,0.93,0.28,0.32,2.32,2.75,4.12
2013,1.90,1.07,1.47,1.81,1.51,1.35,0.53,0.71,2.96,0.85,1.72,1.76
2014,2.02,3.68,3.92,2.15,1.26,1.32,0.39,2.29,1.53,1.29,3.32,3.30
2015,2.06,1.86,1.51,1.23,2.89,0.77,1.37,0.76,1.31,1.69,2.51,4.56
2016,2.66,1.65,3.58,1.65,2.21,0.80,0.72,0.15,1.82,4.54,1.44,3.66
2017,3.33,4.91,4.14,2.95,1.60,1.69,0.33,0.35,2.09,1.65,3.55,2.24
2018,2.78,2.33,2.75,2.54,2.47,1.64,0.12,0.53,0.16,1.94,2.38,2.24
2019,2.22,4.78,1.40,3.20,2.83,1.09,0.54,0.60,2.09,1.58,0.82,2.26
2020,3.96,2.12,2.01,1.44,2.45,2.99,0.43,0.25,0.68,1.52,2.43,1.91
2021,2.31,3.07,1.18,0.86,1.38,0.56,0.59,1.22,0.84,2.88,2.18,3.87
