,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,1.89,2.22,6.07,2.01,4.08,3.24,7.32,3.9,4.89,4.22,1.02,3.95,Georgia
1,1,1,1951,1.69,2.04,6.04,3.5,1.55,4.55,5.38,2.97,5.6,1.96,4.13,5.97,Georgia
2,2,2,1952,2.68,4.78,7.26,2.69,4.6,2.96,2.74,6.54,3.5,1.3,2.0,4.0,Georgia
3,3,3,1953,4.38,6.18,3.5,5.06,4.33,4.44,6.92,3.91,8.38,0.84,1.53,8.63,Georgia
4,4,4,1954,2.7,1.95,3.16,2.46,2.84,2.57,3.44,3.0,1.83,0.88,3.05,3.18,Georgia
5,5,5,1955,4.46,3.45,1.87,4.9,4.25,3.0,6.89,3.31,3.9,2.47,2.18,0.95,Georgia
6,6,6,1956,2.32,6.43,4.56,3.8,3.12,3.84,5.83,2.94,6.06,2.94,1.04,3.45,Georgia
7,7,7,1957,2.83,2.97,4.76,4.56,6.39,5.14,4.82,3.06,7.57,2.97,6.65,2.83,Georgia
8,8,8,1958,3.42,4.57,5.19,6.09,2.99,4.78,7.03,3.34,2.04,1.52,1.46,2.81,Georgia
9,9,9,1959,4.37,6.04,7.61,2.84,6.56,3.6,5.62,3.86,4.5,7.33,1.52,2.56,Georgia
10,10,10,1960,5.57,6.15,4.88,4.42,2.06,3.86,5.58,4.58,5.09,1.76,0.98,1.99,Georgia
11,11,11,1961,3.41,7.17,4.96,6.95,4.21,4.96,4.32,7.09,1.98,0.28,2.16,6.63,Georgia
12,12,12,1962,5.28,4.12,5.67,5.52,1.32,5.58,4.64,3.84,4.21,2.34,4.15,2.6,Georgia
13,13,13,1963,5.63,4.03,4.33,4.03,4.07,7.66,5.79,2.68,4.74,0.06,3.44,3.93,Georgia
14,14,14,1964,8.46,6.36,6.79,7.32,3.47,3.62,9.46,5.86,3.76,6.67,2.29,6.4,Georgia
15,15,15,1965,2.43,6.13,7.29,3.21,1.41,6.88,5.4,3.98,4.11,3.06,1.96,2.53,Georgia
