,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,10.0,6.46,4.85,3.21,7.41,3.5,6.53,6.96,5.38,1.93,2.37,1.44,Arkansas
1,1,1,1951,5.78,4.99,2.51,4.31,1.83,6.66,5.91,2.55,4.79,3.85,5.3,4.18,Arkansas
2,2,2,1952,3.96,3.89,5.52,5.72,4.09,0.49,2.51,3.19,2.04,0.73,7.04,3.81,Arkansas
3,3,3,1953,3.81,3.38,7.34,7.27,7.95,0.66,4.75,1.48,0.94,1.41,2.22,3.36,Arkansas
4,4,4,1954,6.17,2.36,2.01,3.86,5.73,1.36,1.57,1.5,2.44,4.67,1.51,4.61,Arkansas
5,5,5,1955,1.72,4.53,5.79,4.76,6.45,3.68,3.8,2.85,3.11,2.51,2.01,1.26,Arkansas
6,6,6,1956,3.41,8.52,2.47,4.42,3.55,3.83,3.0,2.27,1.06,2.73,3.96,2.82,Arkansas
7,7,7,1957,6.18,5.08,4.1,11.8,8.49,5.65,4.08,4.5,4.83,4.57,9.17,3.33,Arkansas
8,8,8,1958,3.07,1.99,5.57,7.16,7.35,6.01,5.83,3.34,6.71,1.47,5.66,1.09,Arkansas
9,9,9,1959,2.38,4.51,4.12,3.53,3.42,5.03,5.43,2.91,4.31,3.73,2.93,5.81,Arkansas
10,10,10,1960,3.7,3.22,3.28,2.18,6.05,5.37,3.48,3.16,3.18,3.41,2.79,5.67,Arkansas
11,11,11,1961,1.25,4.77,8.35,3.03,7.44,3.25,6.07,3.69,2.89,1.86,6.65,6.46,Arkansas
12,12,12,1962,5.02,5.28,4.16,2.98,2.24,5.28,3.36,3.18,5.96,4.57,2.1,1.66,Arkansas
13,13,13,1963,1.01,1.38,4.57,3.62,3.47,3.17,4.91,1.78,1.85,0.13,4.01,2.9,Arkansas
14,14,14,1964,1.34,2.86,7.21,8.11,2.8,1.67,2.66,5.67,5.29,0.79,3.94,3.57,Arkansas
15,15,15,1965,4.02,5.28,4.61,2.55,5.12,4.0,3.15,3.0,7.76,0.49,1.74,2.23,Arkansas
16,16,16,1966,4.3,5.69,1.07,8.5,4.06,0.92,3.48,6.48,2.41,2.71,2.16,4.22,Arkansas
17,17,17,1967,1.56,2.05,2.63,5.35,7.85,3.77,4.85,2.64,4.03,4.64,1.87,6.43,Arkansas
18,18,18,1968,4.64,1.87,6.34,5.36,9.75,3.82,3.34,2.79,5.8,2.72,5.95,5.95,Arkansas
19,19,19,1969,5.84,3.45,3.83,3.99,3.5,3.94,3.48,2.28,1.67,4.37,3.81,6.2,Arkansas
20,20,20,1970,1.04,3.39,5.62,6.9,3.27,4.07,3.08,4.57,5.12,6.64,2.55,3.32,Arkansas
21,21,21,1971,2.5,3.65,2.7,2.51,4.37,2.7,6.01,4.12,1.84,2.03,2.77,7.5,Arkansas
22,22,22,1972,3.15,1.15,3.15,3.6,2.92,3.18,4.06,2.41,5.71,6.29,7.74,5.67,Arkansas
23,23,23,1973,4.74,3.36,10.15,10.07,5.35,4.76,4.26,1.9,6.42,5.5,8.09,5.41,Arkansas
24,24,24,1974,5.22,2.81,2.93,5.81,5.48,8.19,2.63,5.89,6.64,3.17,6.79,3.25,Arkansas
25,25,25,1975,3.59,5.46,8.78,3.64,6.31,4.87,3.49,4.39,3.93,1.53,3.84,3.63,Arkansas
26,26,26,1976,2.37,3.11,5.88,2.44,5.12,6.06,2.82,1.54,3.15,4.75,1.63,2.16,Arkansas
27,27,27,1977,2.86,2.33,7.23,3.84,2.08,4.02,4.45,3.47,6.53,1.27,5.78,2.55,Arkansas
28,28,28,1978,4.72,2.02,4.11,3.06,7.06,3.61,2.79,4.36,2.62,1.35,6.92,6.65,Arkansas
29,29,29,1979,4.62,4.94,5.63,7.83,9.26,4.13,5.31,3.56,3.9,3.24,4.06,3.78,Arkansas
30,30,30,1980,2.89,1.59,6.05,4.52,5.65,2.44,1.39,0.66,6.1,3.43,3.69,1.69,Arkansas
31,31,31,1981,1.12,3.3,4.01,2.54,7.73,5.41,4.49,3.83,1.79,5.72,2.22,0.93,Arkansas
32,32,32,1982,5.85,2.8,2.07,5.29,4.61,6.24,2.78,3.62,1.28,3.96,6.96,12.34,Arkansas
33,33,33,1983,1.13,3.5,3.15,5.79,7.68,3.94,2.44,1.6,1.8,2.9,6.09,6.49,Arkansas
34,34,34,1984,1.67,4.5,5.56,4.02,7.19,2.2,3.54,4.59,4.23,12.82,6.18,4.68,Arkansas
35,35,35,1985,3.01,3.96,5.6,5.49,3.39,3.02,2.93,3.26,3.32,5.65,6.14,3.16,Arkansas
36,36,36,1986,0.45,3.19,2.65,6.41,4.57,6.0,1.32,4.05,3.24,5.18,5.94,3.39,Arkansas
37,37,37,1987,2.42,6.57,3.74,1.17,5.11,3.42,3.2,2.61,3.32,2.53,8.89,10.12,Arkansas
38,38,38,1988,2.6,2.87,5.23,3.56,1.84,1.38,5.41,2.65,3.55,3.95,9.37,3.62,Arkansas
39,39,39,1989,4.57,8.57,5.89,2.09,6.51,6.73,6.76,1.85,3.49,1.34,1.74,1.81,Arkansas
40,40,40,1990,6.27,6.93,8.9,6.14,9.53,2.71,2.32,2.32,3.99,6.75,3.77,7.28,Arkansas
41,41,41,1991,4.59,3.74,3.65,12.28,5.57,2.84,3.17,3.69,3.46,7.21,5.16,6.16,Arkansas
42,42,42,1992,2.42,3.28,5.24,2.61,3.38,6.95,5.49,2.68,4.39,1.59,5.4,4.83,Arkansas
43,43,43,1993,4.77,2.97,3.32,5.96,5.11,4.12,1.4,3.6,5.14,5.53,5.42,4.7,Arkansas
44,44,44,1994,5.44,3.87,5.16,4.25,3.97,4.06,6.59,3.1,2.2,3.88,7.14,4.73,Arkansas
45,45,45,1995,5.08,2.05,3.47,6.03,4.9,3.67,4.22,1.24,2.63,2.39,2.82,4.34,Arkansas
46,46,46,1996,2.81,1.63,3.64,4.52,3.85,4.34,5.44,3.02,6.09,3.99,8.89,3.53,Arkansas
47,47,47,1997,2.93,6.02,6.15,7.72,3.92,5.07,1.99,3.17,2.9,4.52,3.47,4.07,Arkansas
48,48,48,1998,6.33,4.77,5.79,3.23,3.41,2.0,3.47,3.24,4.24,5.11,3.01,4.57,Arkansas
49,49,49,1999,6.89,1.33,5.33,5.59,4.62,5.35,1.79,1.2,1.77,3.12,1.85,4.96,Arkansas
50,50,50,2000,2.32,2.66,4.24,3.61,6.69,6.93,1.54,0.43,2.95,1.76,8.97,3.6,Arkansas
51,51,51,2001,3.48,8.07,3.78,2.34,5.64,3.15,2.58,2.84,3.65,5.82,5.78,8.28,Arkansas
52,52,52,2002,4.01,2.73,9.5,3.33,6.16,2.57,4.13,3.36,2.98,4.35,2.17,7.54,Arkansas
53,53,53,2003,0.67,6.05,2.01,2.6,6.87,5.75,3.56,2.93,3.6,2.43,5.26,3.11,Arkansas
54,54,54,2004,3.26,4.1,4.48,6.28,5.0,5.81,4.71,2.76,0.4,8.17,8.99,3.06,Arkansas
55,55,55,2005,5.32,2.84,3.5,4.12,1.93,1.98,4.05,3.04,4.77,0.26,3.2,0.74,Arkansas
56,56,56,2006,4.61,2.51,5.02,4.56,3.93,2.56,2.79,3.74,4.33,4.52,4.88,5.88,Arkansas
57,57,57,2007,6.92,2.44,1.64,4.22,3.69,3.65,5.75,0.89,4.56,5.15,2.06,5.73,Arkansas
58,58,58,2008,1.73,4.67,9.06,8.13,4.55,4.06,2.9,7.27,7.63,3.71,2.31,4.46,Arkansas
59,59,59,2009,2.74,2.71,5.35,5.21,11.03,2.61,7.55,3.55,8.64,14.13,1.7,6.98,Arkansas
60,60,60,2010,3.92,3.32,2.99,3.06,6.2,2.61,4.46,1.73,3.3,1.31,4.35,1.54,Arkansas
61,61,61,2011,1.6,4.12,2.8,10.6,8.31,1.67,2.03,4.26,2.49,2.54,8.45,6.97,Arkansas
62,62,62,2012,2.92,3.03,6.71,2.56,1.47,1.98,2.82,4.37,5.01,3.29,1.74,3.91,Arkansas
63,63,63,2013,6.04,4.07,3.51,5.23,6.29,3.32,4.04,3.83,3.47,4.84,3.85,5.75,Arkansas
64,64,64,2014,1.98,2.67,4.66,5.54,6.05,6.24,4.34,2.89,2.42,5.43,2.68,3.01,Arkansas
65,65,65,2015,3.49,3.18,8.02,5.75,10.56,3.99,4.92,3.02,1.47,3.75,10.72,8.44,Arkansas
66,66,66,2016,2.02,2.43,9.89,5.8,4.54,3.1,4.82,7.42,1.8,1.58,3.28,3.76,Arkansas
67,67,67,2017,3.02,2.76,4.56,8.74,6.59,4.24,4.72,6.3,1.21,1.82,1.11,5.19,Arkansas
68,68,68,2018,2.7,11.81,5.45,5.06,3.28,2.94,3.24,6.43,5.32,5.22,5.11,7.76,Arkansas
69,69,69,2019,4.51,7.76,3.98,8.25,9.18,6.12,4.83,4.51,1.98,7.56,4.66,2.31,Arkansas
70,70,70,2020,6.15,5.79,7.39,6.11,6.94,4.67,3.64,6.74,5.65,4.42,1.94,4.38,Arkansas
71,71,71,2021,4.14,3.4,6.17,5.58,6.77,4.89,4.71,3.03,1.88,4.25,2.12,3.48,Arkansas
