date,January,February,March,April,May,June,July,August,September,October,November,December
2012,2.95,1.22,1.77,3.30,5.56,3.87,3.54,3.29,5.51,5.18,1.13,5.03
2013,1.87,1.92,2.38,2.62,5.98,7.96,6.33,3.41,4.41,2.37,3.88,3.43
2014,3.11,3.18,3.38,3.25,4.68,4.57,6.27,3.48,1.85,5.13,2.55,4.63
2015,2.79,1.79,1.34,2.71,3.06,8.63,4.08,2.95,4.73,3.48,1.81,5.07
2016,1.62,4.71,2.96,2.60,2.74,3.29,3.83,4.82,2.12,3.55,2.78,3.60
2017,2.53,2.84,3.30,4.19,5.72,6.46,4.23,3.55,2.93,5.26,2.19,3.10
2018,3.49,2.95,3.03,4.70,1.99,3.85,4.35,4.20,4.03,4.40,6.33,3.75
2019,5.05,2.71,2.06,5.59,5.66,5.61,3.39,3.79,3.18,6.83,3.98,3.55
2020,2.82,3.23,2.93,3.94,2.95,2.38,4.07,4.35,2.63,4.52,2.91,3.48
2021,2.16,2.21,1.50,4.06,2.58,2.89,7.65,3.73,3.89,4.82,3.33,3.06
