date,January,February,March,April,May,June,July,August,September,October,November,December
1950,4.92,4.29,6.72,3.48,4.17,3.35,9.12,5.59,3.83,1.78,1.78,4.01
1951,3.96,3.39,9.26,5.02,1.48,4.68,4.15,2.24,5.81,1.72,3.68,7.53
1952,3.96,4.30,6.59,2.95,5.30,2.07,2.23,6.28,3.21,1.21,2.67,5.93
1953,5.47,7.48,3.70,7.72,4.49,3.71,5.94,2.61,4.77,0.56,2.62,10.38
1954,4.20,3.12,3.70,3.57,2.36,2.24,3.91,1.85,1.16,1.53,3.05,4.71
1955,4.43,5.46,3.25,7.39,5.68,3.12,7.17,3.07,0.93,2.45,3.17,2.04
1956,2.68,7.89,6.87,4.62,2.60,4.26,5.55,2.88,4.70,3.70,1.78,6.19
1957,4.59,3.71,4.24,7.15,5.13,5.85,3.00,2.28,8.95,2.37,8.07,3.52
1958,3.31,4.33,5.69,5.12,2.92,4.86,8.32,3.00,5.19,1.41,3.00,2.07
1959,4.53,4.84,5.99,4.10,6.10,4.23,4.61,3.70,5.14,6.86,2.64,3.37
1960,5.88,4.37,6.91,3.86,3.49,2.99,4.33,5.70,5.34,3.38,2.17,2.60
1961,3.31,12.03,9.17,4.95,3.20,6.72,4.99,5.03,2.76,0.96,4.50,12.21
1962,7.03,4.86,5.47,6.11,1.06,4.88,4.25,2.74,3.37,2.60,4.76,2.97
1963,6.25,3.29,5.13,4.10,3.26,5.92,5.93,2.72,3.04,0.03,4.31,4.84
1964,6.80,4.54,8.17,11.50,2.67,3.42,7.29,4.70,3.53,4.85,3.79,5.24
1965,4.21,6.28,6.81,2.54,1.18,5.60,5.94,4.38,3.98,2.86,1.83,3.17
1966,5.96,8.59,4.01,4.46,4.90,2.41,4.04,4.97,4.30,4.08,3.35,4.75
1967,3.73,4.75,1.92,2.31,5.59,4.40,6.91,6.76,3.36,4.01,3.76,8.31
1968,4.62,1.87,3.65,5.05,4.01,1.85,5.26,3.69,2.73,1.37,4.31,6.80
1969,3.59,4.25,5.12,5.43,5.99,2.43,5.46,4.96,4.42,2.58,1.90,6.44
1970,3.19,3.75,7.73,4.74,3.17,5.91,4.05,6.24,1.86,6.33,2.20,4.72
1971,4.08,7.78,8.79,4.04,4.07,3.74,7.41,4.05,4.81,1.09,2.49,7.72
1972,8.52,3.56,5.93,2.39,4.44,4.57,4.51,2.42,3.78,2.95,4.66,8.23
1973,5.90,3.99,11.78,6.87,6.69,5.56,5.45,3.62,3.77,1.89,4.95,6.70
1974,8.20,5.21,3.92,5.90,5.08,4.07,4.39,6.00,6.52,1.27,3.94,5.90
1975,6.65,7.17,8.63,6.77,5.24,5.25,8.22,5.56,6.72,6.55,3.27,4.73
1976,4.46,2.63,10.45,1.68,8.08,4.36,4.52,3.33,3.74,3.66,4.41,4.66
1977,4.95,3.56,9.86,4.32,2.13,2.63,5.09,4.27,7.02,4.51,6.31,3.22
1978,7.09,1.90,3.99,3.83,8.20,5.06,4.30,4.07,2.00,0.46,3.30,5.30
1979,7.68,6.61,6.64,10.89,4.37,2.63,7.56,4.19,7.43,1.56,5.80,2.56
1980,5.50,2.45,13.81,7.65,7.07,3.26,2.96,2.51,5.18,3.77,3.17,1.15
1981,1.33,6.64,5.71,2.95,3.87,3.46,3.85,4.78,2.07,3.11,1.75,6.28
1982,6.50,7.67,2.95,7.57,2.96,5.01,6.08,3.77,2.03,2.68,5.62,8.29
1983,4.34,7.76,7.73,9.44,6.37,5.94,1.98,3.07,4.61,2.44,7.47,9.22
