Tennessee, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,5.94,2.09
195108,2.03,-1.82
195208,4.48,0.63
195308,1.20,-2.65
195408,2.70,-1.15
195508,2.57,-1.28
195608,3.01,-0.84
195708,2.64,-1.21
195808,3.18,-0.67
195908,4.27,0.42
196008,3.91,0.06
196108,3.18,-0.67
196208,2.44,-1.41
196308,3.57,-0.28
196408,5.54,1.69
196508,2.39,-1.46
196608,5.68,1.83
196708,4.47,0.62
196808,1.84,-2.01
196908,4.38,0.53
197008,4.47,0.62
197108,5.06,1.21
197208,2.64,-1.21
197308,2.54,-1.31
197408,5.81,1.96
197508,3.83,-0.02
197608,2.45,-1.40
197708,3.99,0.14
197808,4.91,1.06
197908,4.54,0.69
198008,2.42,-1.43
198108,3.72,-0.13
198208,5.19,1.34
198308,2.32,-1.53
198408,2.62,-1.23
198508,5.75,1.90
198608,3.71,-0.14
198708,2.40,-1.45
198808,3.26,-0.59
198908,3.26,-0.59
199008,2.36,-1.49
199108,3.45,-0.40
199208,4.65,0.80
199308,3.88,0.03
199408,3.82,-0.03
199508,4.37,0.52
199608,3.18,-0.67
199708,3.73,-0.12
199808,2.87,-0.98
199908,1.38,-2.47
200008,2.60,-1.25
200108,4.21,0.36
200208,3.33,-0.52
200308,4.41,0.56
200408,4.14,0.29
200508,5.74,1.89
200608,4.09,0.24
200708,1.35,-2.50
200808,3.30,-0.55
200908,3.34,-0.51
201008,4.37,0.52
201108,1.58,-2.27
201208,3.58,-0.27
201308,4.25,0.40
201408,5.00,1.15
201508,4.53,0.68
201608,5.03,1.18
201708,4.90,1.05
201808,4.26,0.41
201908,3.97,0.12
202008,5.93,2.08
202108,7.17,3.32
