New Mexico, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.20,0.53
195109,0.26,-1.41
195209,0.98,-0.69
195309,0.15,-1.52
195409,1.35,-0.32
195509,1.00,-0.67
195609,0.07,-1.60
195709,0.27,-1.40
195809,3.21,1.54
195909,0.22,-1.45
196009,0.93,-0.74
196109,1.80,0.13
196209,2.62,0.95
196309,1.53,-0.14
196409,2.24,0.57
196509,2.09,0.42
196609,1.25,-0.42
196709,1.70,0.03
196809,0.32,-1.35
196909,2.21,0.54
197009,1.50,-0.17
197109,2.01,0.34
197209,2.69,1.02
197309,0.94,-0.73
197409,2.76,1.09
197509,3.06,1.39
197609,2.08,0.41
197709,1.23,-0.44
197809,1.86,0.19
197909,1.06,-0.61
198009,2.94,1.27
198109,1.79,0.12
198209,2.24,0.57
198309,1.75,0.08
198409,1.25,-0.42
198509,2.58,0.91
198609,2.04,0.37
198709,1.00,-0.67
198809,2.26,0.59
198909,1.21,-0.46
199009,2.69,1.02
199109,2.90,1.23
199209,0.84,-0.83
199309,0.74,-0.93
199409,1.39,-0.28
199509,2.43,0.76
199609,2.24,0.57
199709,2.67,1.00
199809,0.82,-0.85
199909,1.57,-0.10
200009,0.22,-1.45
200109,0.92,-0.75
200209,2.61,0.94
200309,0.94,-0.73
200409,2.22,0.55
200509,1.83,0.16
200609,2.36,0.69
200709,1.80,0.13
200809,1.27,-0.40
200909,1.75,0.08
201009,1.43,-0.24
201109,1.66,-0.01
201209,1.31,-0.36
201309,4.19,2.52
201409,3.15,1.48
201509,1.10,-0.57
201609,1.83,0.16
201709,2.42,0.75
201809,1.81,0.14
201909,1.50,-0.17
202009,0.80,-0.87
202109,1.27,-0.40
