Delaware, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.86,-1.63
195101,2.04,-1.45
195201,5.27,1.78
195301,4.30,0.81
195401,2.57,-0.92
195501,0.56,-2.93
195601,2.54,-0.95
195701,2.24,-1.25
195801,3.50,0.01
195901,1.70,-1.79
196001,2.43,-1.06
196101,3.04,-0.45
196201,3.78,0.29
196301,2.19,-1.30
196401,4.42,0.93
196501,3.09,-0.40
196601,3.32,-0.17
196701,1.57,-1.92
196801,2.23,-1.26
196901,2.33,-1.16
197001,1.69,-1.80
197101,2.68,-0.81
197201,3.11,-0.38
197301,3.14,-0.35
197401,3.22,-0.27
197501,4.98,1.49
197601,5.29,1.80
197701,2.41,-1.08
197801,7.01,3.52
197901,7.52,4.03
198001,3.13,-0.36
198101,0.52,-2.97
198201,3.80,0.31
198301,2.10,-1.39
198401,2.40,-1.09
198501,2.43,-1.06
198601,3.94,0.45
198701,6.23,2.74
198801,3.25,-0.24
198901,2.66,-0.83
199001,3.63,0.14
199101,4.72,1.23
199201,1.31,-2.18
199301,3.20,-0.29
199401,4.67,1.18
199501,3.36,-0.13
199601,4.94,1.45
199701,2.48,-1.01
199801,6.14,2.65
199901,5.84,2.35
200001,3.33,-0.16
200101,3.06,-0.43
200201,2.50,-0.99
200301,1.59,-1.90
200401,2.31,-1.18
200501,4.39,0.90
200601,3.91,0.42
200701,3.95,0.46
200801,1.86,-1.63
200901,2.36,-1.13
201001,2.85,-0.64
201101,3.18,-0.31
201201,2.12,-1.37
201301,3.03,-0.46
201401,3.09,-0.40
201501,4.96,1.47
201601,2.67,-0.82
201701,3.00,-0.49
201801,2.98,-0.51
201901,3.45,-0.04
202001,3.19,-0.30
202101,2.34,-1.15
