Massachusetts, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,4.22,0.32
195108,3.97,0.07
195208,6.18,2.28
195308,2.55,-1.35
195408,5.15,1.25
195508,13.47,9.57
195608,1.78,-2.12
195708,2.19,-1.71
195808,4.27,0.37
195908,3.75,-0.15
196008,2.68,-1.22
196108,3.40,-0.50
196208,3.83,-0.07
196308,2.73,-1.17
196408,2.19,-1.71
196508,3.00,-0.90
196608,1.97,-1.93
196708,3.83,-0.07
196808,1.82,-2.08
196908,3.37,-0.53
197008,4.57,0.67
197108,4.38,0.48
197208,2.46,-1.44
197308,3.77,-0.13
197408,3.30,-0.60
197508,5.53,1.63
197608,6.90,3.00
197708,3.98,0.08
197808,5.30,1.40
197908,6.08,2.18
198008,2.07,-1.83
198108,1.77,-2.13
198208,2.60,-1.30
198308,4.17,0.27
198408,1.31,-2.59
198508,6.80,2.90
198608,4.02,0.12
198708,3.61,-0.29
198808,3.07,-0.83
198908,5.63,1.73
199008,7.37,3.47
199108,7.33,3.43
199208,5.65,1.75
199308,2.04,-1.86
199408,5.55,1.65
199508,2.12,-1.78
199608,2.48,-1.42
199708,4.63,0.73
199808,2.82,-1.08
199908,2.90,-1.00
200008,3.63,-0.27
200108,3.36,-0.54
200208,2.85,-1.05
200308,5.75,1.85
200408,5.60,1.70
200508,3.21,-0.69
200608,4.34,0.44
200708,1.43,-2.47
200808,3.76,-0.14
200908,4.72,0.82
201008,3.86,-0.04
201108,9.49,5.59
201208,4.80,0.90
201308,3.62,-0.28
201408,3.07,-0.83
201508,2.95,-0.95
201608,3.18,-0.72
201708,2.89,-1.01
201808,6.24,2.34
201908,3.83,-0.07
202008,2.70,-1.20
202108,5.17,1.27
