Arizona, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,0.78,-0.40
195109,0.53,-0.65
195209,1.24,0.06
195309,0.01,-1.17
195409,1.37,0.19
195509,0.08,-1.10
195609,0.07,-1.11
195709,0.05,-1.13
195809,2.52,1.34
195909,0.27,-0.91
196009,1.11,-0.07
196109,1.10,-0.08
196209,1.96,0.78
196309,1.38,0.20
196409,1.76,0.58
196509,1.34,0.16
196609,1.63,0.45
196709,1.73,0.55
196809,0.12,-1.06
196909,1.23,0.05
197009,1.91,0.73
197109,1.50,0.32
197209,0.93,-0.25
197309,0.11,-1.07
197409,1.12,-0.06
197509,1.58,0.40
197609,2.34,1.16
197709,1.32,0.14
197809,0.67,-0.51
197909,0.18,-1.00
198009,0.86,-0.32
198109,1.23,0.05
198209,1.48,0.30
198309,3.32,2.14
198409,1.72,0.54
198509,1.87,0.69
198609,1.19,0.01
198709,0.74,-0.44
198809,0.52,-0.66
198909,0.24,-0.94
199009,2.08,0.90
199109,1.12,-0.06
199209,0.53,-0.65
199309,0.35,-0.83
199409,1.40,0.22
199509,1.30,0.12
199609,1.86,0.68
199709,2.18,1.00
199809,1.44,0.26
199909,1.80,0.62
200009,0.19,-0.99
200109,0.39,-0.79
200209,1.88,0.70
200309,1.09,-0.09
200409,1.58,0.40
200509,0.42,-0.76
200609,1.42,0.24
200709,0.98,-0.20
200809,0.62,-0.56
200909,0.69,-0.49
201009,0.60,-0.58
201109,1.31,0.13
201209,1.07,-0.11
201309,1.88,0.70
201409,2.49,1.31
201509,1.37,0.19
201609,1.35,0.17
201709,0.61,-0.57
201809,0.81,-0.37
201909,1.68,0.50
202009,0.11,-1.07
202109,1.29,0.11
