Texas, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.02,0.42
195102,1.30,-0.30
195202,1.56,-0.04
195302,1.27,-0.33
195402,0.29,-1.31
195502,1.77,0.17
195602,1.55,-0.05
195702,2.07,0.47
195802,2.27,0.67
195902,2.13,0.53
196002,1.83,0.23
196102,2.14,0.54
196202,0.73,-0.87
196302,1.16,-0.44
196402,1.53,-0.07
196502,2.88,1.28
196602,1.88,0.28
196702,0.81,-0.79
196802,1.64,0.04
196902,2.27,0.67
197002,2.19,0.59
197102,1.15,-0.45
197202,0.52,-1.08
197302,2.23,0.63
197402,0.53,-1.07
197502,2.09,0.49
197602,0.44,-1.16
197702,1.30,-0.30
197802,1.74,0.14
197902,1.76,0.16
198002,1.04,-0.56
198102,1.10,-0.50
198202,1.69,0.09
198302,2.30,0.70
198402,1.26,-0.34
198502,1.98,0.38
198602,1.59,-0.01
198702,3.16,1.56
198802,0.86,-0.74
198902,1.90,0.30
199002,2.53,0.93
199102,1.65,0.05
199202,3.98,2.38
199302,1.91,0.31
199402,1.51,-0.09
199502,1.02,-0.58
199602,0.25,-1.35
199702,3.79,2.19
199802,2.64,1.04
199902,0.23,-1.37
200002,1.01,-0.59
200102,2.03,0.43
200202,1.05,-0.55
200302,2.40,0.80
200402,2.81,1.21
200502,2.51,0.91
200602,1.14,-0.46
200702,0.48,-1.12
200802,1.10,-0.50
200902,0.62,-0.98
201002,2.59,0.99
201102,0.65,-0.95
201202,2.29,0.69
201302,1.21,-0.39
201402,0.73,-0.87
201502,1.09,-0.51
201602,1.06,-0.54
201702,1.71,0.11
201802,2.43,0.83
201902,0.92,-0.68
202002,1.90,0.30
202102,0.99,-0.61
