Utah, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,0.63,-0.59
195104,1.59,0.37
195204,1.29,0.07
195304,1.20,-0.02
195404,0.56,-0.66
195504,0.42,-0.80
195604,0.96,-0.26
195704,2.23,1.01
195804,0.85,-0.37
195904,0.78,-0.44
196004,0.85,-0.37
196104,0.96,-0.26
196204,0.85,-0.37
196304,1.94,0.72
196404,1.88,0.66
196504,2.03,0.81
196604,0.58,-0.64
196704,1.15,-0.07
196804,1.93,0.71
196904,0.94,-0.28
197004,1.12,-0.10
197104,1.46,0.24
197204,1.08,-0.14
197304,1.59,0.37
197404,1.27,0.05
197504,1.31,0.09
197604,1.35,0.13
197704,0.32,-0.90
197804,2.03,0.81
197904,0.55,-0.67
198004,0.88,-0.34
198104,1.09,-0.13
198204,0.64,-0.58
198304,1.48,0.26
198404,1.54,0.32
198504,1.20,-0.02
198604,2.27,1.05
198704,0.50,-0.72
198804,1.89,0.67
198904,0.43,-0.79
199004,1.35,0.13
199104,1.12,-0.10
199204,0.38,-0.84
199304,0.82,-0.40
199404,1.85,0.63
199504,1.74,0.52
199604,0.84,-0.38
199704,1.85,0.63
199804,1.34,0.12
199904,2.60,1.38
200004,0.58,-0.64
200104,1.49,0.27
200204,0.87,-0.35
200304,0.93,-0.29
200404,1.82,0.60
200504,1.75,0.53
200604,1.16,-0.06
200704,0.91,-0.31
200804,0.42,-0.80
200904,1.56,0.34
201004,1.39,0.17
201104,2.02,0.80
201204,0.73,-0.49
201304,1.28,0.06
201404,0.94,-0.28
201504,0.98,-0.24
201604,1.70,0.48
201704,1.17,-0.05
201804,0.86,-0.36
201904,1.74,0.52
202004,0.56,-0.66
202104,0.73,-0.49
