Maryland, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.17,-1.19
195101,2.42,-0.94
195201,4.82,1.46
195301,4.41,1.05
195401,2.47,-0.89
195501,0.62,-2.74
195601,2.44,-0.92
195701,2.81,-0.55
195801,3.72,0.36
195901,2.26,-1.10
196001,2.70,-0.66
196101,3.00,-0.36
196201,2.90,-0.46
196301,1.97,-1.39
196401,4.24,0.88
196501,3.18,-0.18
196601,3.82,0.46
196701,1.40,-1.96
196801,2.53,-0.83
196901,1.90,-1.46
197001,1.46,-1.90
197101,3.01,-0.35
197201,3.02,-0.34
197301,2.95,-0.41
197401,3.53,0.17
197501,4.12,0.76
197601,4.87,1.51
197701,1.86,-1.50
197801,7.10,3.74
197901,7.30,3.94
198001,2.61,-0.75
198101,0.50,-2.86
198201,3.44,0.08
198301,1.92,-1.44
198401,2.14,-1.22
198501,2.26,-1.10
198601,2.84,-0.52
198701,5.06,1.70
198801,3.05,-0.31
198901,2.71,-0.65
199001,3.98,0.62
199101,3.71,0.35
199201,1.72,-1.64
199301,2.80,-0.56
199401,4.42,1.06
199501,3.74,0.38
199601,5.70,2.34
199701,2.37,-0.99
199801,6.16,2.80
199901,5.40,2.04
200001,3.15,-0.21
200101,2.75,-0.61
200201,2.32,-1.04
200301,2.25,-1.11
200401,2.25,-1.11
200501,3.91,0.55
200601,3.62,0.26
200701,3.03,-0.33
200801,1.65,-1.71
200901,2.49,-0.87
201001,2.77,-0.59
201101,2.38,-0.98
201201,2.27,-1.09
201301,3.45,0.09
201401,2.65,-0.71
201501,3.79,0.43
201601,3.00,-0.36
201701,3.14,-0.22
201801,2.40,-0.96
201901,3.26,-0.10
202001,3.04,-0.32
202101,2.08,-1.28
