Colorado, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,1.85,0.42
195109,0.83,-0.60
195209,0.97,-0.46
195309,0.14,-1.29
195409,1.68,0.25
195509,0.82,-0.61
195609,0.11,-1.32
195709,0.50,-0.93
195809,1.35,-0.08
195909,2.14,0.71
196009,1.03,-0.40
196109,3.09,1.66
196209,1.06,-0.37
196309,1.80,0.37
196409,1.11,-0.32
196509,2.55,1.12
196609,1.46,0.03
196709,1.33,-0.10
196809,0.58,-0.85
196909,1.70,0.27
197009,2.29,0.86
197109,1.80,0.37
197209,1.69,0.26
197309,1.89,0.46
197409,0.73,-0.70
197509,0.80,-0.63
197609,2.24,0.81
197709,0.84,-0.59
197809,0.51,-0.92
197909,0.53,-0.90
198009,1.09,-0.34
198109,1.07,-0.36
198209,2.63,1.20
198309,0.67,-0.76
198409,1.08,-0.35
198509,2.38,0.95
198609,2.06,0.63
198709,0.80,-0.63
198809,1.80,0.37
198909,1.48,0.05
199009,2.10,0.67
199109,1.36,-0.07
199209,0.69,-0.74
199309,1.27,-0.16
199409,1.26,-0.17
199509,1.91,0.48
199609,2.25,0.82
199709,2.43,1.00
199809,0.89,-0.54
199909,1.39,-0.04
200009,1.35,-0.08
200109,1.04,-0.39
200209,2.10,0.67
200309,1.44,0.01
200409,2.17,0.74
200509,1.35,-0.08
200609,2.19,0.76
200709,1.80,0.37
200809,1.10,-0.33
200909,1.46,0.03
201009,0.73,-0.70
201109,1.27,-0.16
201209,1.29,-0.14
201309,3.88,2.45
201409,2.08,0.65
201509,0.76,-0.67
201609,1.00,-0.43
201709,1.98,0.55
201809,0.66,-0.77
201909,0.71,-0.72
202009,0.97,-0.46
202109,1.23,-0.20
