Arizona, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,0.82,-1.28
195108,4.22,2.12
195208,1.75,-0.35
195308,1.74,-0.36
195408,1.84,-0.26
195508,3.49,1.39
195608,1.02,-1.08
195708,2.63,0.53
195808,2.17,0.07
195908,3.12,1.02
196008,1.31,-0.79
196108,2.87,0.77
196208,0.62,-1.48
196308,3.88,1.78
196408,2.41,0.31
196508,1.34,-0.76
196608,2.02,-0.08
196708,2.37,0.27
196808,1.96,-0.14
196908,2.00,-0.10
197008,2.24,0.14
197108,3.57,1.47
197208,1.71,-0.39
197308,1.06,-1.04
197408,1.26,-0.84
197508,0.63,-1.47
197608,0.71,-1.39
197708,1.97,-0.13
197808,1.31,-0.79
197908,1.91,-0.19
198008,1.51,-0.59
198108,1.76,-0.34
198208,2.93,0.83
198308,3.00,0.90
198408,3.14,1.04
198508,0.97,-1.13
198608,2.48,0.38
198708,2.05,-0.05
198808,3.61,1.51
198908,1.61,-0.49
199008,2.30,0.20
199108,1.62,-0.48
199208,3.25,1.15
199308,2.88,0.78
199408,1.62,-0.48
199508,1.98,-0.12
199608,1.39,-0.71
199708,2.26,0.16
199808,1.60,-0.50
199908,2.55,0.45
200008,2.45,0.35
200108,2.04,-0.06
200208,0.87,-1.23
200308,1.80,-0.30
200408,1.48,-0.62
200508,2.43,0.33
200608,2.02,-0.08
200708,1.87,-0.23
200808,2.31,0.21
200908,0.66,-1.44
201008,1.84,-0.26
201108,1.28,-0.82
201208,2.22,0.12
201308,2.39,0.29
201408,3.13,1.03
201508,2.10,0.00
201608,2.57,0.47
201708,1.39,-0.71
201808,2.00,-0.10
201908,0.88,-1.22
202008,0.60,-1.50
202108,2.18,0.08
