Kansas, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,2.85,-1.16
195106,9.36,5.35
195206,0.90,-3.11
195306,2.24,-1.77
195406,2.45,-1.56
195506,3.75,-0.26
195606,2.24,-1.77
195706,6.95,2.94
195806,4.26,0.25
195906,2.13,-1.88
196006,3.90,-0.11
196106,3.95,-0.06
196206,5.57,1.56
196306,3.74,-0.27
196406,4.09,0.08
196506,8.15,4.14
196606,3.12,-0.89
196706,8.17,4.16
196806,3.05,-0.96
196906,4.72,0.71
197006,4.36,0.35
197106,3.54,-0.47
197206,2.91,-1.10
197306,1.82,-2.19
197406,3.38,-0.63
197506,5.93,1.92
197606,2.19,-1.82
197706,4.64,0.63
197806,3.36,-0.65
197906,4.05,0.04
198006,1.98,-2.03
198106,3.84,-0.17
198206,4.91,0.90
198306,4.27,0.26
198406,4.34,0.33
198506,4.11,0.10
198606,3.84,-0.17
198706,3.93,-0.08
198806,1.75,-2.26
198906,6.03,2.02
199006,2.96,-1.05
199106,2.61,-1.40
199206,5.81,1.80
199306,4.27,0.26
199406,2.97,-1.04
199506,4.84,0.83
199606,4.11,0.10
199706,4.25,0.24
199806,2.90,-1.11
199906,5.31,1.30
200006,4.25,0.24
200106,3.81,-0.20
200206,2.74,-1.27
200306,4.19,0.18
200406,5.34,1.33
200506,6.03,2.02
200606,3.02,-0.99
200706,5.69,1.68
200806,4.81,0.80
200906,4.71,0.70
201006,4.70,0.69
201106,2.66,-1.35
201206,2.16,-1.85
201306,2.78,-1.23
201406,7.58,3.57
201506,3.34,-0.67
201606,2.30,-1.71
201706,3.20,-0.81
201806,3.82,-0.19
201906,4.45,0.44
202006,2.73,-1.28
202106,2.80,-1.21
