Indiana, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,3.88,0.08
195107,3.99,0.19
195207,2.45,-1.35
195307,4.44,0.64
195407,3.16,-0.64
195507,4.61,0.81
195607,3.63,-0.17
195707,4.21,0.41
195807,8.02,4.22
195907,3.84,0.04
196007,3.30,-0.50
196107,4.76,0.96
196207,5.63,1.83
196307,5.24,1.44
196407,4.09,0.29
196507,3.67,-0.13
196607,2.98,-0.82
196707,2.62,-1.18
196807,3.84,0.04
196907,6.04,2.24
197007,4.40,0.60
197107,5.12,1.32
197207,3.51,-0.29
197307,5.41,1.61
197407,1.31,-2.49
197507,2.39,-1.41
197607,3.65,-0.15
197707,3.68,-0.12
197807,5.14,1.34
197907,8.05,4.25
198007,3.97,0.17
198107,4.94,1.14
198207,3.72,-0.08
198307,2.24,-1.56
198407,3.78,-0.02
198507,3.14,-0.66
198607,5.51,1.71
198707,5.39,1.59
198807,4.20,0.40
198907,5.39,1.59
199007,4.87,1.07
199107,2.44,-1.36
199207,8.55,4.75
199307,4.37,0.57
199407,3.37,-0.43
199507,2.83,-0.97
199607,5.08,1.28
199707,2.95,-0.85
199807,4.96,1.16
199907,2.70,-1.10
200007,3.89,0.09
200107,5.46,1.66
200207,2.64,-1.16
200307,8.18,4.38
200407,5.19,1.39
200507,4.43,0.63
200607,4.85,1.05
200707,3.17,-0.63
200807,4.32,0.52
200907,4.43,0.63
201007,4.15,0.35
201107,2.74,-1.06
201207,2.53,-1.27
201307,3.21,-0.59
201407,3.36,-0.44
201507,6.23,2.43
201607,5.13,1.33
201707,6.07,2.27
201807,3.37,-0.43
201907,3.61,-0.19
202007,4.58,0.78
202107,5.50,1.70
