Indiana, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,3.42,-0.06
195108,2.49,-0.99
195208,2.95,-0.53
195308,1.91,-1.57
195408,4.83,1.35
195508,2.45,-1.03
195608,2.88,-0.60
195708,2.73,-0.75
195808,4.16,0.68
195908,2.96,-0.52
196008,3.16,-0.32
196108,3.17,-0.31
196208,3.10,-0.38
196308,2.75,-0.73
196408,1.91,-1.57
196508,4.11,0.63
196608,3.14,-0.34
196708,2.48,-1.00
196808,4.20,0.72
196908,2.26,-1.22
197008,2.61,-0.87
197108,2.40,-1.08
197208,3.35,-0.13
197308,3.13,-0.35
197408,5.17,1.69
197508,5.53,2.05
197608,2.28,-1.20
197708,6.85,3.37
197808,5.26,1.78
197908,6.09,2.61
198008,5.24,1.76
198108,4.11,0.63
198208,3.54,0.06
198308,2.45,-1.03
198408,2.21,-1.27
198508,5.45,1.97
198608,2.50,-0.98
198708,3.27,-0.21
198808,2.92,-0.56
198908,4.34,0.86
199008,5.13,1.65
199108,3.25,-0.23
199208,2.97,-0.51
199308,4.39,0.91
199408,3.46,-0.02
199508,4.30,0.82
199608,1.62,-1.86
199708,3.96,0.48
199808,3.58,0.10
199908,2.24,-1.24
200008,4.41,0.93
200108,4.02,0.54
200208,2.82,-0.66
200308,3.54,0.06
200408,4.85,1.37
200508,4.76,1.28
200608,4.76,1.28
200708,4.55,1.07
200808,2.01,-1.47
200908,3.76,0.28
201008,1.84,-1.64
201108,2.55,-0.93
201208,4.05,0.57
201308,1.84,-1.64
201408,4.96,1.48
201508,2.57,-0.91
201608,6.48,3.00
201708,2.26,-1.22
201808,5.33,1.85
201908,3.51,0.03
202008,3.31,-0.17
202108,3.42,-0.06
