Pennsylvania, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.58,0.47
195112,4.70,1.59
195212,3.25,0.14
195312,3.09,-0.02
195412,3.61,0.50
195512,0.61,-2.50
195612,4.05,0.94
195712,4.98,1.87
195812,1.07,-2.04
195912,3.44,0.33
196012,1.76,-1.35
196112,2.50,-0.61
196212,2.60,-0.51
196312,2.11,-1.00
196412,3.74,0.63
196512,1.26,-1.85
196612,2.59,-0.52
196712,3.21,0.10
196812,3.19,0.08
196912,5.10,1.99
197012,3.35,0.24
197112,3.17,0.06
197212,4.86,1.75
197312,5.21,2.10
197412,4.06,0.95
197512,3.19,0.08
197612,2.01,-1.10
197712,4.59,1.48
197812,4.19,1.08
197912,2.15,-0.96
198012,1.31,-1.80
198112,2.61,-0.50
198212,2.21,-0.90
198312,5.58,2.47
198412,3.28,0.17
198512,2.10,-1.01
198612,3.57,0.46
198712,2.20,-0.91
198812,1.52,-1.59
198912,1.29,-1.82
199012,6.30,3.19
199112,3.61,0.50
199212,3.83,0.72
199312,3.18,0.07
199412,2.62,-0.49
199512,2.23,-0.88
199612,5.17,2.06
199712,2.65,-0.46
199812,1.46,-1.65
199912,2.44,-0.67
200012,2.94,-0.17
200112,2.66,-0.45
200212,3.81,0.70
200312,4.17,1.06
200412,3.49,0.38
200512,2.40,-0.71
200612,2.31,-0.80
200712,4.96,1.85
200812,5.57,2.46
200912,4.39,1.28
201012,3.44,0.33
201112,3.78,0.67
201212,5.24,2.13
201312,3.99,0.88
201412,2.96,-0.15
201512,4.10,0.99
201612,3.62,0.51
201712,1.70,-1.41
201812,4.26,1.15
201912,3.71,0.60
202012,4.44,1.33
202112,2.43,-0.68
