Utah, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,0.90,-0.46
195103,0.70,-0.66
195203,2.26,0.90
195303,0.85,-0.51
195403,1.72,0.36
195503,0.29,-1.07
195603,0.13,-1.23
195703,1.19,-0.17
195803,2.00,0.64
195903,0.65,-0.71
196003,0.99,-0.37
196103,2.00,0.64
196203,1.14,-0.22
196303,1.03,-0.33
196403,1.30,-0.06
196503,0.92,-0.44
196603,0.39,-0.97
196703,0.87,-0.49
196803,1.20,-0.16
196903,0.76,-0.60
197003,1.41,0.05
197103,0.36,-1.00
197203,0.27,-1.09
197303,2.11,0.75
197403,0.61,-0.75
197503,2.17,0.81
197603,0.90,-0.46
197703,0.71,-0.65
197803,2.48,1.12
197903,2.08,0.72
198003,2.04,0.68
198103,2.20,0.84
198203,2.14,0.78
198303,2.55,1.19
198403,1.28,-0.08
198503,1.80,0.44
198603,1.53,0.17
198703,1.55,0.19
198803,0.97,-0.39
198903,1.20,-0.16
199003,1.27,-0.09
199103,1.66,0.30
199203,1.83,0.47
199303,1.52,0.16
199403,0.83,-0.53
199503,2.40,1.04
199603,1.33,-0.03
199703,0.32,-1.04
199803,1.61,0.25
199903,0.41,-0.95
200003,1.29,-0.07
200103,1.24,-0.12
200203,0.80,-0.56
200303,1.33,-0.03
200403,0.33,-1.03
200503,1.63,0.27
200603,2.40,1.04
200703,0.82,-0.54
200803,0.67,-0.69
200903,0.79,-0.57
201003,1.30,-0.06
201103,1.27,-0.09
201203,0.73,-0.63
201303,0.73,-0.63
201403,0.99,-0.37
201503,0.85,-0.51
201603,1.20,-0.16
201703,1.59,0.23
201803,1.29,-0.07
201903,2.61,1.25
202003,1.53,0.17
202103,1.19,-0.17
