New Hampshire, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.83,-0.11
195106,2.88,-1.06
195206,5.19,1.25
195306,1.70,-2.24
195406,5.29,1.35
195506,4.61,0.67
195606,2.67,-1.27
195706,3.63,-0.31
195806,2.29,-1.65
195906,4.99,1.05
196006,4.14,0.20
196106,3.39,-0.55
196206,2.80,-1.14
196306,2.03,-1.91
196406,1.89,-2.05
196506,3.55,-0.39
196606,3.35,-0.59
196706,3.64,-0.30
196806,6.27,2.33
196906,4.25,0.31
197006,3.10,-0.84
197106,2.48,-1.46
197206,5.43,1.49
197306,7.03,3.09
197406,3.08,-0.86
197506,4.05,0.11
197606,2.98,-0.96
197706,4.98,1.04
197806,5.46,1.52
197906,1.41,-2.53
198006,3.26,-0.68
198106,3.90,-0.04
198206,7.21,3.27
198306,2.29,-1.65
198406,3.94,0.00
198506,3.46,-0.48
198606,5.01,1.07
198706,6.02,2.08
198806,1.90,-2.04
198906,5.61,1.67
199006,4.36,0.42
199106,2.70,-1.24
199206,3.95,0.01
199306,3.38,-0.56
199406,3.35,-0.59
199506,1.68,-2.26
199606,3.74,-0.20
199706,2.38,-1.56
199806,10.14,6.20
199906,2.76,-1.18
200006,3.83,-0.11
200106,4.84,0.90
200206,6.03,2.09
200306,2.90,-1.04
200406,2.59,-1.35
200506,5.36,1.42
200606,9.20,5.26
200706,3.43,-0.51
200806,6.29,2.35
200906,6.24,2.30
201006,4.62,0.68
201106,4.44,0.50
201206,5.39,1.45
201306,7.04,3.10
201406,3.91,-0.03
201506,7.34,3.40
201606,2.89,-1.05
201706,5.24,1.30
201806,3.75,-0.19
201906,5.30,1.36
202006,2.47,-1.47
202106,2.23,-1.71
