Montana, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.46,-0.05
195104,1.42,-0.09
195204,0.44,-1.07
195304,2.15,0.64
195404,1.42,-0.09
195504,2.11,0.60
195604,1.20,-0.31
195704,1.89,0.38
195804,1.76,0.25
195904,1.49,-0.02
196004,1.71,0.20
196104,1.87,0.36
196204,0.92,-0.59
196304,2.00,0.49
196404,2.00,0.49
196504,2.13,0.62
196604,1.24,-0.27
196704,2.29,0.78
196804,1.08,-0.43
196904,1.79,0.28
197004,2.41,0.90
197104,1.65,0.14
197204,1.21,-0.30
197304,2.27,0.76
197404,1.44,-0.07
197504,2.73,1.22
197604,2.05,0.54
197704,0.41,-1.10
197804,1.79,0.28
197904,1.81,0.30
198004,1.07,-0.44
198104,1.03,-0.48
198204,1.54,0.03
198304,0.80,-0.71
198404,1.75,0.24
198504,1.10,-0.41
198604,1.60,0.09
198704,0.65,-0.86
198804,1.34,-0.17
198904,2.26,0.75
199004,1.64,0.13
199104,2.75,1.24
199204,2.02,0.51
199304,1.95,0.44
199404,1.91,0.40
199504,1.90,0.39
199604,1.61,0.10
199704,1.78,0.27
199804,1.33,-0.18
199904,1.75,0.24
200004,1.28,-0.23
200104,1.72,0.21
200204,1.25,-0.26
200304,2.03,0.52
200404,1.15,-0.36
200504,1.94,0.43
200604,2.68,1.17
200704,1.78,0.27
200804,0.98,-0.53
200904,1.94,0.43
201004,2.08,0.57
201104,2.52,1.01
201204,1.98,0.47
201304,1.50,-0.01
201404,1.47,-0.04
201504,1.08,-0.43
201604,2.33,0.82
201704,2.13,0.62
201804,2.17,0.66
201904,2.18,0.67
202004,1.15,-0.36
202104,1.00,-0.51
