Kansas, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.03,-1.45
195104,2.49,0.01
195204,3.34,0.86
195304,1.75,-0.73
195404,1.92,-0.56
195504,1.89,-0.59
195604,1.19,-1.29
195704,3.52,1.04
195804,1.79,-0.69
195904,1.52,-0.96
196004,2.20,-0.28
196104,2.04,-0.44
196204,1.07,-1.41
196304,0.76,-1.72
196404,2.61,0.13
196504,1.88,-0.60
196604,1.60,-0.88
196704,3.01,0.53
196804,2.21,-0.27
196904,3.28,0.80
197004,3.38,0.90
197104,1.85,-0.63
197204,2.05,-0.43
197304,2.78,0.30
197404,2.66,0.18
197504,2.09,-0.39
197604,4.82,2.34
197704,3.07,0.59
197804,1.97,-0.51
197904,1.82,-0.66
198004,1.71,-0.77
198104,1.64,-0.84
198204,1.34,-1.14
198304,3.42,0.94
198404,5.02,2.54
198504,3.13,0.65
198604,2.72,0.24
198704,1.68,-0.80
198804,3.33,0.85
198904,0.41,-2.07
199004,2.12,-0.36
199104,2.62,0.14
199204,1.36,-1.12
199304,2.18,-0.30
199404,4.62,2.14
199504,2.79,0.31
199604,1.35,-1.13
199704,2.83,0.35
199804,2.28,-0.20
199904,5.18,2.70
200004,1.35,-1.13
200104,1.81,-0.67
200204,2.34,-0.14
200304,3.23,0.75
200404,2.50,0.02
200504,2.02,-0.46
200604,2.43,-0.05
200704,2.98,0.50
200804,2.81,0.33
200904,4.80,2.32
201004,2.62,0.14
201104,1.86,-0.62
201204,3.08,0.60
201304,2.44,-0.04
201404,1.59,-0.89
201504,2.76,0.28
201604,5.34,2.86
201704,5.07,2.59
201804,1.21,-1.27
201904,1.67,-0.81
202004,1.37,-1.11
202104,1.51,-0.97
