Minnesota, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.60,-0.28
195109,3.36,0.48
195209,0.61,-2.27
195309,1.75,-1.13
195409,3.22,0.34
195509,2.43,-0.45
195609,1.07,-1.81
195709,3.43,0.55
195809,2.33,-0.55
195909,2.89,0.01
196009,2.34,-0.54
196109,4.52,1.64
196209,3.03,0.15
196309,2.40,-0.48
196409,4.27,1.39
196509,6.19,3.31
196609,1.46,-1.42
196709,1.10,-1.78
196809,4.40,1.52
196909,2.46,-0.42
197009,2.96,0.08
197109,3.01,0.13
197209,2.92,0.04
197309,4.35,1.47
197409,0.97,-1.91
197509,2.12,-0.76
197609,1.05,-1.83
197709,4.83,1.95
197809,3.29,0.41
197909,1.40,-1.48
198009,3.58,0.70
198109,2.08,-0.80
198209,3.37,0.49
198309,3.40,0.52
198409,2.22,-0.66
198509,4.36,1.48
198609,5.61,2.73
198709,2.39,-0.49
198809,3.69,0.81
198909,2.72,-0.16
199009,1.80,-1.08
199109,4.83,1.95
199209,2.88,0.00
199309,2.11,-0.77
199409,3.34,0.46
199509,3.00,0.12
199609,2.79,-0.09
199709,2.46,-0.42
199809,1.68,-1.20
199909,3.38,0.50
200009,1.53,-1.35
200109,2.30,-0.58
200209,2.35,-0.53
200309,2.90,0.02
200409,5.52,2.64
200509,4.46,1.58
200609,3.16,0.28
200709,4.05,1.17
200809,3.36,0.48
200909,1.38,-1.50
201009,6.41,3.53
201109,1.21,-1.67
201209,0.61,-2.27
201309,2.45,-0.43
201409,2.36,-0.52
201509,2.71,-0.17
201609,4.62,1.74
201709,3.72,0.84
201809,4.32,1.44
201909,6.12,3.24
202009,1.46,-1.42
202109,2.96,0.08
