Indiana, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,10.11,7.37
195101,3.29,0.55
195201,3.42,0.68
195301,3.06,0.32
195401,2.70,-0.04
195501,2.09,-0.65
195601,1.49,-1.25
195701,2.48,-0.26
195801,1.59,-1.15
195901,4.63,1.89
196001,2.37,-0.37
196101,0.87,-1.87
196201,3.76,1.02
196301,0.98,-1.76
196401,1.80,-0.94
196501,3.73,0.99
196601,1.89,-0.85
196701,1.74,-1.00
196801,2.18,-0.56
196901,5.09,2.35
197001,0.99,-1.75
197101,1.66,-1.08
197201,1.48,-1.26
197301,1.85,-0.89
197401,3.52,0.78
197501,3.84,1.10
197601,2.44,-0.30
197701,1.30,-1.44
197801,2.81,0.07
197901,3.52,0.78
198001,1.35,-1.39
198101,0.42,-2.32
198201,5.33,2.59
198301,1.12,-1.62
198401,0.90,-1.84
198501,1.88,-0.86
198601,0.74,-2.00
198701,1.54,-1.20
198801,1.77,-0.97
198901,2.39,-0.35
199001,2.30,-0.44
199101,2.01,-0.73
199201,1.54,-1.20
199301,3.81,1.07
199401,2.67,-0.07
199501,2.86,0.12
199601,3.12,0.38
199701,3.04,0.30
199801,3.04,0.30
199901,4.92,2.18
200001,2.54,-0.20
200101,1.02,-1.72
200201,2.24,-0.50
200301,1.42,-1.32
200401,3.48,0.74
200501,7.11,4.37
200601,3.28,0.54
200701,4.75,2.01
200801,3.23,0.49
200901,1.62,-1.12
201001,1.52,-1.22
201101,1.50,-1.24
201201,3.40,0.66
201301,4.71,1.97
201401,2.33,-0.41
201501,2.11,-0.63
201601,1.34,-1.40
201701,3.68,0.94
201801,2.05,-0.69
201901,3.50,0.76
202001,4.65,1.91
202101,2.45,-0.29
