Utah, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.61,-0.61
195102,0.74,-0.48
195202,0.68,-0.54
195302,0.56,-0.66
195402,0.45,-0.77
195502,1.53,0.31
195602,0.69,-0.53
195702,0.70,-0.52
195802,1.64,0.42
195902,1.78,0.56
196002,1.55,0.33
196102,0.51,-0.71
196202,2.48,1.26
196302,0.90,-0.32
196402,0.25,-0.97
196502,0.90,-0.32
196602,1.05,-0.17
196702,0.25,-0.97
196802,1.57,0.35
196902,2.35,1.13
197002,0.49,-0.73
197102,1.19,-0.03
197202,0.19,-1.03
197302,0.99,-0.23
197402,0.45,-0.77
197502,0.92,-0.30
197602,1.80,0.58
197702,0.42,-0.80
197802,1.78,0.56
197902,1.22,0.00
198002,2.67,1.45
198102,0.49,-0.73
198202,0.76,-0.46
198302,1.39,0.17
198402,0.78,-0.44
198502,0.68,-0.54
198602,1.91,0.69
198702,1.22,0.00
198802,0.36,-0.86
198902,1.06,-0.16
199002,1.20,-0.02
199102,0.49,-0.73
199202,1.35,0.13
199302,2.36,1.14
199402,1.58,0.36
199502,0.90,-0.32
199602,1.42,0.20
199702,1.00,-0.22
199802,2.33,1.11
199902,0.93,-0.29
200002,1.92,0.70
200102,1.24,0.02
200202,0.28,-0.94
200302,1.47,0.25
200402,1.89,0.67
200502,1.61,0.39
200602,0.56,-0.66
200702,1.05,-0.17
200802,1.53,0.31
200902,0.98,-0.24
201002,1.11,-0.11
201102,1.21,-0.01
201202,1.04,-0.18
201302,0.52,-0.70
201402,1.06,-0.16
201502,0.63,-0.59
201602,0.62,-0.60
201702,1.54,0.32
201802,0.83,-0.39
201902,2.31,1.09
202002,0.71,-0.51
202102,0.92,-0.30
