Washington, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,2.10,0.21
195106,1.29,-0.60
195206,2.45,0.56
195306,2.32,0.43
195406,2.70,0.81
195506,1.50,-0.39
195606,3.01,1.12
195706,1.93,0.04
195806,1.99,0.10
195906,1.90,0.01
196006,0.96,-0.93
196106,1.12,-0.77
196206,1.22,-0.67
196306,1.58,-0.31
196406,2.75,0.86
196506,0.86,-1.03
196606,1.89,0.00
196706,1.57,-0.32
196806,2.47,0.58
196906,1.58,-0.31
197006,0.96,-0.93
197106,2.57,0.68
197206,2.20,0.31
197306,1.83,-0.06
197406,1.40,-0.49
197506,1.46,-0.43
197606,1.39,-0.50
197706,1.12,-0.77
197806,1.28,-0.61
197906,0.94,-0.95
198006,2.35,0.46
198106,3.59,1.70
198206,1.57,-0.32
198306,2.58,0.69
198406,3.20,1.31
198506,2.04,0.15
198606,0.91,-0.98
198706,0.89,-1.00
198806,1.86,-0.03
198906,1.02,-0.87
199006,2.82,0.93
199106,2.48,0.59
199206,2.09,0.20
199306,2.80,0.91
199406,2.12,0.23
199506,2.15,0.26
199606,1.15,-0.74
199706,2.90,1.01
199806,1.61,-0.28
199906,1.86,-0.03
200006,2.14,0.25
200106,2.48,0.59
200206,1.81,-0.08
200306,0.52,-1.37
200406,1.63,-0.26
200506,2.03,0.14
200606,2.23,0.34
200706,1.68,-0.21
200806,1.88,-0.01
200906,0.96,-0.93
201006,3.28,1.39
201106,1.44,-0.45
201206,3.93,2.04
201306,2.26,0.37
201406,1.73,-0.16
201506,0.47,-1.42
201606,1.83,-0.06
201706,1.55,-0.34
201806,1.36,-0.53
201906,1.05,-0.84
202006,2.39,0.50
202106,1.40,-0.49
