New York, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,2.20,-1.13
195104,3.72,0.39
195204,3.58,0.25
195304,3.62,0.29
195404,4.44,1.11
195504,2.71,-0.62
195604,3.77,0.44
195704,3.54,0.21
195804,3.70,0.37
195904,2.81,-0.52
196004,3.43,0.10
196104,5.04,1.71
196204,4.27,0.94
196304,2.58,-0.75
196404,3.39,0.06
196504,2.86,-0.47
196604,1.90,-1.43
196704,3.41,0.08
196804,2.69,-0.64
196904,4.47,1.14
197004,3.10,-0.23
197104,2.04,-1.29
197204,2.92,-0.41
197304,4.95,1.62
197404,2.99,-0.34
197504,2.31,-1.02
197604,3.74,0.41
197704,3.59,0.26
197804,2.12,-1.21
197904,3.87,0.54
198004,4.06,0.73
198104,3.32,-0.01
198204,2.77,-0.56
198304,6.42,3.09
198404,4.05,0.72
198504,1.96,-1.37
198604,2.57,-0.76
198704,4.13,0.80
198804,2.79,-0.54
198904,2.26,-1.07
199004,4.07,0.74
199104,3.87,0.54
199204,3.39,0.06
199304,5.50,2.17
199404,3.61,0.28
199504,2.30,-1.03
199604,5.26,1.93
199704,2.63,-0.70
199804,3.12,-0.21
199904,1.79,-1.54
200004,5.16,1.83
200104,1.18,-2.15
200204,4.06,0.73
200304,2.65,-0.68
200404,3.80,0.47
200504,4.73,1.40
200604,3.36,0.03
200704,4.92,1.59
200804,2.81,-0.52
200904,2.51,-0.82
201004,2.09,-1.24
201104,6.78,3.45
201204,2.90,-0.43
201304,3.10,-0.23
201404,3.57,0.24
201504,3.02,-0.31
201604,2.56,-0.77
201704,4.85,1.52
201804,3.86,0.53
201904,4.35,1.02
202004,3.15,-0.18
202104,3.47,0.14
