Washington, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,6.96,2.22
195102,6.87,2.13
195202,3.36,-1.38
195302,3.81,-0.93
195402,5.72,0.98
195502,4.19,-0.55
195602,4.20,-0.54
195702,5.30,0.56
195802,6.15,1.41
195902,3.70,-1.04
196002,5.12,0.38
196102,10.06,5.32
196202,2.62,-2.12
196302,5.14,0.40
196402,2.09,-2.65
196502,4.64,-0.10
196602,2.87,-1.87
196702,3.75,-0.99
196802,6.00,1.26
196902,3.51,-1.23
197002,3.24,-1.50
197102,4.17,-0.57
197202,7.30,2.56
197302,1.88,-2.86
197402,5.59,0.85
197502,5.49,0.75
197602,5.54,0.80
197702,2.93,-1.81
197802,3.66,-1.08
197902,7.22,2.48
198002,5.83,1.09
198102,6.05,1.31
198202,7.19,2.45
198302,6.39,1.65
198402,4.37,-0.37
198502,3.44,-1.30
198602,5.97,1.23
198702,3.15,-1.59
198802,2.43,-2.31
198902,2.99,-1.75
199002,5.92,1.18
199102,5.15,0.41
199202,3.76,-0.98
199302,0.84,-3.90
199402,5.28,0.54
199502,4.76,0.02
199602,7.71,2.97
199702,3.71,-1.03
199802,4.64,-0.10
199902,9.93,5.19
200002,4.28,-0.46
200102,2.08,-2.66
200202,4.23,-0.51
200302,2.49,-2.25
200402,3.20,-1.54
200502,1.11,-3.63
200602,3.57,-1.17
200702,4.61,-0.13
200802,3.65,-1.09
200902,1.98,-2.76
201002,3.38,-1.36
201102,4.09,-0.65
201202,4.76,0.02
201302,2.76,-1.98
201402,6.28,1.54
201502,4.30,-0.44
201602,5.08,0.34
201702,7.17,2.43
201802,4.39,-0.35
201902,4.09,-0.65
202002,4.92,0.18
202102,5.70,0.96
