Idaho, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.74,1.42
195103,2.17,-0.15
195203,2.16,-0.16
195303,1.77,-0.55
195403,2.24,-0.08
195503,2.04,-0.28
195603,1.73,-0.59
195703,2.97,0.65
195803,2.04,-0.28
195903,1.77,-0.55
196003,2.99,0.67
196103,2.52,0.20
196203,2.42,0.10
196303,1.95,-0.37
196403,2.73,0.41
196503,0.66,-1.66
196603,2.26,-0.06
196703,2.70,0.38
196803,1.61,-0.71
196903,0.90,-1.42
197003,2.45,0.13
197103,3.01,0.69
197203,2.64,0.32
197303,1.87,-0.45
197403,4.31,1.99
197503,2.86,0.54
197603,2.04,-0.28
197703,1.92,-0.40
197803,1.57,-0.75
197903,1.68,-0.64
198003,2.35,0.03
198103,2.06,-0.26
198203,3.32,1.00
198303,3.85,1.53
198403,2.76,0.44
198503,2.08,-0.24
198603,2.30,-0.02
198703,2.35,0.03
198803,2.26,-0.06
198903,4.22,1.90
199003,1.54,-0.78
199103,2.85,0.53
199203,0.87,-1.45
199303,2.95,0.63
199403,0.87,-1.45
199503,4.07,1.75
199603,2.07,-0.25
199703,2.64,0.32
199803,2.17,-0.15
199903,1.61,-0.71
200003,1.92,-0.40
200103,1.58,-0.74
200203,2.39,0.07
200303,3.31,0.99
200403,1.10,-1.22
200503,2.44,0.12
200603,2.69,0.37
200703,1.45,-0.87
200803,2.28,-0.04
200903,3.17,0.85
201003,1.86,-0.46
201103,3.88,1.56
201203,4.25,1.93
201303,1.47,-0.85
201403,3.92,1.60
201503,1.51,-0.81
201603,3.58,1.26
201703,4.14,1.82
201803,2.75,0.43
201903,1.40,-0.92
202003,2.01,-0.31
202103,1.18,-1.14
